id,nombre
ACT000001,Robert De Niro
ACT000002,Jack Nicholson
ACT000003,Marlon Brando
ACT000004,Denzel Washington
ACT000005,Humphrey Bogart
ACT000006,Daniel Day-Lewis
ACT000007,Clark Gable
ACT000008,Leonardo Di
ACT000009,Caprio
ACT000010,Sidney Poitier
ACT000011,Gregory Peck
ACT000012,Tom Hanks
ACT000013,Spencer Tracy
ACT000014,Shah Rukh Khan
ACT000015,Cary Grant
ACT000016,Laurence Olivier
ACT000017,James Stewart
ACT000018,Steve Mc
ACT000019,Queen
ACT000020,Bruce Lee
ACT000021,Henry Fonda
ACT000022,Morgan Freeman
ACT000023,James Cagney
ACT000024,Johnny Depp
ACT000025,Charles Chaplin
ACT000026,Paul Newman
ACT000027,Anthony Hopkins
ACT000028,James Dean
ACT000029,Al Pacino
ACT000030,Kirk Douglas
ACT000031,Marcello Mastroianni
ACT000032,Gene Kelly
ACT000033,Will Smith
ACT000034,Toshir̫ Mifune
ACT000035,Harrison Ford
ACT000036,John Wayne
ACT000037,Mohanlal
ACT000038,Gary Cooper
ACT000039,G̩rard Depardieu
ACT000040,Forest Whitaker
ACT000041,Montgomery Clift
ACT000042,Dustin Hoffman
ACT000043,Charlton Heston
ACT000044,Tom Cruise
ACT000045,Samuel L. Jackson
ACT000046,Peter O'Toole
ACT000047,Robin Williams
ACT000048,Don Cheadle
ACT000049,Antonio Banderas
ACT000050,Eddie Murphy
ACT000051,Omar Sharif
ACT000052,Heath Ledger
ACT000053,Jeff Bridges
ACT000054,Ben Kingsley
ACT000055,Tommy Lee Jones
ACT000056,Robert Redford
ACT000057,Jack Lemmon
ACT000058,Christopher Plummer
ACT000059,George C. Scott
ACT000060,Joaquin Phoenix
ACT000061,Christopher Walken
ACT000062,Philip Seymour Hoffman
ACT000063,George Clooney
ACT000064,Gene Hackman
ACT000065,Bruce Willis
ACT000066,Sean Connery
ACT000067,Ian Mc
ACT000068,Kellen
ACT000069,Russell Crowe
ACT000070,Bill Murray
ACT000071,Nicolas Cage
ACT000072,Joe Pesci
ACT000073,Brad Pitt
ACT000074,Kevin Costner
ACT000075,Donald Sutherland
ACT000076,Clint Eastwood
ACT000077,Michael Douglas
ACT000078,Robert Downey Jr.Peter Sellers
ACT000079,Woody Allen
ACT000080,Mel Gibson
ACT000081,Jim Carrey
ACT000082,Mark Wahlberg
ACT000083,Steve Martin
ACT000084,Javier Bardem
ACT000085,Christoph Waltz
ACT000086,Tim Robbins
ACT000087,Arnold Schwarzenegger
ACT000088,Sylvester Stallone
ACT000089,Viggo Mortensen
ACT000090,Christopher Lee
ACT000091,Geoffrey Rush
ACT000092,Alec Guinness
ACT000093,Richard Burton
ACT000094,Alec Baldwin
ACT000095,James Caan
ACT000096,Chiwetel Ejiofor
ACT000097,Mads Mikkelsen
ACT000098,Ben Stiller
ACT000099,Willem Dafoe
ACT000100,Ed Harris
ACT000101,Harvey Keitel
ACT000102,Jon Voight
ACT000103,Benicio Del Toro
ACT000104,Kevin Bacon
ACT000105,Patrick Swayze
ACT000106,Michael Caine
ACT000107,Robert Duvall
ACT000108,Burt Lancaster
ACT000109,Robert Mitchum
ACT000110,Colin Farrell
ACT000111,William Holden
ACT000112,Edward G. Robinson
ACT000113,William Powell
ACT000114,Jared Leto
ACT000115,Errol Flynn
ACT000116,Groucho Marx
ACT000117,James Mason
ACT000118,Buster Keaton
ACT000119,Orson Welles
ACT000120,Fred Astaire
ACT000121,Bradley Cooper
ACT000122,Gary Oldman
ACT000123,Jude Law
ACT000124,Paul Giamatti
ACT000125,Liam Neeson
ACT000126,Matt Damon
ACT000127,Michael Fassbender
ACT000128,Alan Arkin
ACT000129,Kurt Russell
ACT000130,Jake Gyllenhaal
ACT000131,Ryan Gosling
ACT000132,Colin Firth
ACT000133,Jamie Foxx
ACT000134,Adrien Brody
ACT000135,Roberto Benigni
ACT000136,Jeremy Irons
ACT000137,F. Murray Abraham
ACT000138,Richard Dreyfuss
ACT000139,Peter Finch
ACT000140,Art Carney
ACT000141,Cliff Robertson
ACT000142,Lee Marvin
ACT000143,Rex Harrison
ACT000144,Anthony Quinn
ACT000145,Maximilian Schell
ACT000146,Tom Hardy
ACT000147,David Niven
ACT000148,William Hurt
ACT000149,Yul Brynner
ACT000150,Ernest Borgnine
ACT000151,Benedict Cumberbatch
ACT000152,Rod Steiger
