pelicula_id,actor_id
MOV000021,ACT000088
MOV000062,ACT000038
MOV000089,ACT000060
MOV000066,ACT000004
MOV000098,ACT000009
MOV000072,ACT000030
MOV000062,ACT000062
MOV000071,ACT000030
MOV000098,ACT000093
MOV000097,ACT000057
MOV000098,ACT000097
MOV000075,ACT000018
MOV000045,ACT000063
MOV000020,ACT000047
MOV000009,ACT000011
MOV000025,ACT000032
MOV000034,ACT000037
MOV000059,ACT000067
MOV000044,ACT000006
MOV000030,ACT000051
MOV000092,ACT000019
MOV000040,ACT000009
MOV000004,ACT000091
MOV000015,ACT000053
MOV000004,ACT000080
MOV000009,ACT000022
MOV000081,ACT000025
MOV000003,ACT000057
MOV000099,ACT000022
MOV000097,ACT000037
MOV000009,ACT000069
MOV000035,ACT000051
MOV000049,ACT000019
MOV000010,ACT000091
MOV000019,ACT000050
MOV000027,ACT000072
MOV000001,ACT000007
MOV000062,ACT000099
MOV000091,ACT000047
MOV000057,ACT000087
MOV000100,ACT000035
MOV000017,ACT000046
MOV000039,ACT000075
MOV000093,ACT000069
MOV000030,ACT000061
MOV000044,ACT000052
MOV000096,ACT000060
MOV000061,ACT000017
MOV000040,ACT000050
MOV000019,ACT000020
MOV000057,ACT000052
MOV000086,ACT000046
MOV000073,ACT000014
MOV000044,ACT000044
MOV000086,ACT000047
MOV000040,ACT000037
MOV000021,ACT000026
MOV000044,ACT000100
MOV000092,ACT000039
MOV000035,ACT000005
MOV000030,ACT000007
MOV000067,ACT000098
MOV000001,ACT000093
MOV000025,ACT000017
MOV000058,ACT000016
MOV000078,ACT000093
MOV000047,ACT000066
MOV000093,ACT000051
MOV000064,ACT000037
MOV000020,ACT000070
MOV000044,ACT000073
MOV000018,ACT000080
MOV000067,ACT000002
MOV000033,ACT000095
MOV000038,ACT000008
MOV000085,ACT000012
MOV000069,ACT000062
MOV000081,ACT000043
MOV000008,ACT000019
MOV000084,ACT000040
MOV000083,ACT000063
MOV000030,ACT000056
MOV000090,ACT000009
MOV000087,ACT000016
MOV000086,ACT000074
MOV000005,ACT000085
MOV000069,ACT000097
MOV000019,ACT000070
MOV000053,ACT000070
MOV000086,ACT000062
MOV000023,ACT000043
MOV000081,ACT000053
MOV000051,ACT000040
MOV000060,ACT000093
MOV000065,ACT000003
MOV000008,ACT000042
MOV000006,ACT000088
MOV000087,ACT000020
MOV000035,ACT000010
MOV000007,ACT000063
