butaca_id,ventaentrada_id,funcion_id,nro_fila,nro_columna,tipo_entrada,precio_entrada
BU0000002,EN0000001,FUN000955,R,14,adulto,10.0
BU0000003,EN0000001,FUN000567,V,4,adulto,15.0
BU0000004,EN0000001,FUN000057,I,4,adulto,15.0
BU0000005,EN0000002,FUN000956,X,11,niño,30.0
BU0000006,EN0000003,FUN000981,Y,18,niño,30.0
BU0000007,EN0000003,FUN000448,B,7,niño,15.0
BU0000008,EN0000003,FUN000920,O,17,adulto,30.0
BU0000009,EN0000003,FUN000038,K,1,niño,15.0
BU0000010,EN0000003,FUN000995,U,15,niño,30.0
BU0000011,EN0000004,FUN000544,W,6,adulto,15.0
BU0000012,EN0000005,FUN000277,W,6,niño,30.0
BU0000013,EN0000005,FUN000947,A,10,niño,10.0
BU0000014,EN0000005,FUN000821,D,20,niño,30.0
BU0000015,EN0000005,FUN000954,V,15,niño,10.0
BU0000016,EN0000005,FUN000442,G,3,adulto,22.5
BU0000017,EN0000006,FUN000552,B,20,niño,22.5
BU0000018,EN0000006,FUN000929,R,2,niño,30.0
BU0000019,EN0000007,FUN000353,E,10,niño,15.0
BU0000020,EN0000007,FUN000873,O,4,adulto,10.0
BU0000021,EN0000008,FUN000735,M,11,niño,22.5
BU0000022,EN0000008,FUN000750,W,20,adulto,22.5
BU0000023,EN0000008,FUN000293,V,15,niño,15.0
BU0000024,EN0000008,FUN000765,B,1,adulto,30.0
BU0000025,EN0000009,FUN000548,B,3,niño,22.5
BU0000026,EN0000009,FUN000948,H,4,adulto,15.0
BU0000027,EN0000010,FUN000809,N,17,niño,30.0
BU0000028,EN0000010,FUN000981,C,18,adulto,10.0
BU0000029,EN0000011,FUN000780,S,15,niño,10.0
BU0000030,EN0000011,FUN000425,L,13,niño,22.5
BU0000031,EN0000011,FUN000034,S,10,niño,10.0
BU0000032,EN0000012,FUN000859,W,1,niño,10.0
BU0000033,EN0000012,FUN000671,Y,3,niño,15.0
BU0000034,EN0000012,FUN000974,J,12,adulto,30.0
BU0000035,EN0000013,FUN000701,S,20,adulto,30.0
BU0000036,EN0000013,FUN000463,G,3,adulto,22.5
BU0000037,EN0000013,FUN000633,B,4,niño,30.0
BU0000038,EN0000013,FUN000103,U,15,niño,30.0
BU0000039,EN0000013,FUN000458,M,5,niño,30.0
BU0000040,EN0000014,FUN000526,S,9,adulto,15.0
BU0000041,EN0000015,FUN000189,Z,11,niño,30.0
BU0000042,EN0000016,FUN000386,L,14,niño,15.0
BU0000043,EN0000017,FUN000598,H,18,adulto,10.0
BU0000044,EN0000017,FUN000221,D,2,adulto,15.0
BU0000045,EN0000017,FUN000269,H,14,adulto,10.0
BU0000046,EN0000017,FUN000621,D,6,niño,15.0
BU0000047,EN0000017,FUN000847,H,5,niño,30.0
BU0000048,EN0000018,FUN000676,K,14,adulto,22.5
BU0000049,EN0000018,FUN000856,T,16,adulto,30.0
BU0000050,EN0000018,FUN000150,F,19,adulto,30.0
BU0000051,EN0000018,FUN000258,I,3,niño,22.5
BU0000052,EN0000019,FUN000832,B,17,niño,22.5
BU0000053,EN0000020,FUN000982,D,19,adulto,10.0
BU0000054,EN0000020,FUN000302,A,2,niño,15.0
BU0000055,EN0000021,FUN000073,Q,12,adulto,30.0
BU0000056,EN0000021,FUN000055,L,20,niño,30.0
BU0000057,EN0000021,FUN000614,F,10,niño,10.0
BU0000058,EN0000021,FUN000944,Z,13,niño,22.5
BU0000059,EN0000021,FUN000982,H,17,niño,22.5
BU0000060,EN0000022,FUN000152,O,16,niño,30.0
BU0000061,EN0000022,FUN000740,O,19,adulto,10.0
BU0000062,EN0000022,FUN000075,Y,10,adulto,30.0
BU0000063,EN0000022,FUN000839,P,8,adulto,30.0
BU0000064,EN0000022,FUN000053,C,6,adulto,22.5
BU0000065,EN0000023,FUN000327,Z,11,niño,30.0
BU0000066,EN0000023,FUN000499,N,16,niño,22.5
BU0000067,EN0000023,FUN000596,X,17,adulto,10.0
BU0000068,EN0000024,FUN000261,A,17,adulto,30.0
BU0000069,EN0000024,FUN000618,I,18,adulto,22.5
BU0000070,EN0000024,FUN000412,I,10,niño,30.0
BU0000071,EN0000024,FUN000500,D,1,niño,22.5
BU0000072,EN0000024,FUN000866,A,11,niño,30.0
BU0000073,EN0000025,FUN000575,H,6,adulto,22.5
BU0000074,EN0000025,FUN000611,G,17,adulto,10.0
BU0000075,EN0000025,FUN000176,T,4,adulto,22.5
BU0000076,EN0000026,FUN000446,L,10,adulto,30.0
BU0000077,EN0000026,FUN000096,M,1,niño,15.0
BU0000078,EN0000026,FUN000466,N,5,adulto,10.0
BU0000079,EN0000026,FUN000661,F,14,niño,10.0
BU0000080,EN0000027,FUN000796,K,12,niño,30.0
BU0000081,EN0000027,FUN000876,E,19,adulto,15.0
BU0000082,EN0000027,FUN000287,F,7,adulto,30.0
BU0000083,EN0000027,FUN000312,I,9,niño,22.5
BU0000084,EN0000027,FUN000638,K,17,adulto,15.0
BU0000085,EN0000028,FUN000575,W,8,adulto,15.0
BU0000086,EN0000028,FUN000125,K,15,niño,22.5
BU0000087,EN0000028,FUN000903,L,5,niño,30.0
BU0000088,EN0000028,FUN000234,K,20,niño,15.0
BU0000089,EN0000029,FUN000861,S,13,adulto,15.0
BU0000090,EN0000030,FUN000473,N,18,niño,22.5
BU0000091,EN0000030,FUN000723,F,4,niño,22.5
BU0000092,EN0000030,FUN000904,W,20,niño,15.0
BU0000093,EN0000030,FUN000116,Z,4,adulto,22.5
BU0000094,EN0000030,FUN000582,J,20,adulto,10.0
BU0000095,EN0000031,FUN000484,X,19,adulto,22.5
BU0000096,EN0000031,FUN000668,P,6,niño,22.5
BU0000097,EN0000031,FUN000019,G,20,adulto,22.5
BU0000098,EN0000031,FUN000390,C,15,niño,10.0
BU0000099,EN0000031,FUN000712,E,2,niño,30.0
BU0000100,EN0000032,FUN000405,K,9,adulto,15.0
BU0000101,EN0000032,FUN000136,U,13,adulto,22.5
BU0000102,EN0000032,FUN000656,L,9,adulto,10.0
BU0000103,EN0000032,FUN000483,H,18,niño,22.5
BU0000104,EN0000033,FUN000432,I,16,adulto,15.0
BU0000105,EN0000033,FUN000352,S,19,adulto,22.5
BU0000106,EN0000033,FUN000387,P,12,adulto,22.5
BU0000107,EN0000034,FUN000589,L,19,niño,30.0
BU0000108,EN0000034,FUN000710,A,1,niño,22.5
BU0000109,EN0000034,FUN000409,H,17,adulto,22.5
BU0000110,EN0000034,FUN000819,G,5,adulto,22.5
BU0000111,EN0000034,FUN000001,W,9,niño,30.0
BU0000112,EN0000035,FUN000156,L,6,adulto,15.0
BU0000113,EN0000036,FUN000620,T,14,niño,30.0
BU0000114,EN0000037,FUN000645,N,6,adulto,15.0
BU0000115,EN0000038,FUN000738,Y,9,adulto,22.5
BU0000116,EN0000038,FUN000895,O,9,niño,30.0
BU0000117,EN0000038,FUN000522,U,2,adulto,22.5
BU0000118,EN0000038,FUN000262,Q,19,niño,15.0
BU0000119,EN0000038,FUN000533,G,19,niño,15.0
BU0000120,EN0000039,FUN000032,F,6,niño,30.0
BU0000121,EN0000039,FUN000357,P,19,niño,10.0
BU0000122,EN0000039,FUN000454,S,9,niño,10.0
BU0000123,EN0000039,FUN000787,V,8,niño,30.0
BU0000124,EN0000039,FUN000617,X,6,niño,15.0
BU0000125,EN0000040,FUN000276,N,16,niño,22.5
BU0000126,EN0000041,FUN000155,M,1,niño,30.0
BU0000127,EN0000041,FUN000976,N,19,adulto,22.5
BU0000128,EN0000041,FUN000908,K,16,niño,10.0
BU0000129,EN0000042,FUN000874,Z,17,adulto,22.5
BU0000130,EN0000042,FUN000147,U,19,adulto,15.0
BU0000131,EN0000042,FUN000717,W,14,niño,30.0
BU0000132,EN0000042,FUN000686,M,8,niño,15.0
BU0000133,EN0000042,FUN000071,L,10,niño,30.0
BU0000134,EN0000043,FUN000682,X,6,adulto,22.5
BU0000135,EN0000043,FUN000120,O,1,adulto,30.0
BU0000136,EN0000043,FUN000428,T,6,adulto,15.0
BU0000137,EN0000043,FUN000143,D,2,adulto,30.0
BU0000138,EN0000043,FUN000163,K,18,adulto,22.5
BU0000139,EN0000044,FUN000713,J,17,adulto,15.0
BU0000140,EN0000044,FUN000906,L,20,adulto,30.0
BU0000141,EN0000045,FUN000329,D,1,adulto,30.0
BU0000142,EN0000045,FUN000574,O,14,niño,22.5
BU0000143,EN0000045,FUN000837,U,3,adulto,22.5
BU0000144,EN0000046,FUN000590,N,1,adulto,22.5
BU0000145,EN0000046,FUN000701,M,12,adulto,15.0
BU0000146,EN0000046,FUN000968,K,14,niño,15.0
BU0000147,EN0000047,FUN000514,W,6,adulto,15.0
BU0000148,EN0000048,FUN000528,E,15,adulto,15.0
BU0000149,EN0000048,FUN000202,H,17,adulto,10.0
BU0000150,EN0000048,FUN000165,X,1,niño,22.5
BU0000151,EN0000048,FUN000904,U,7,niño,15.0
BU0000152,EN0000048,FUN000242,Y,8,adulto,22.5
BU0000153,EN0000049,FUN000230,M,19,niño,15.0
BU0000154,EN0000050,FUN000608,V,1,adulto,10.0
BU0000155,EN0000051,FUN000139,S,13,adulto,10.0
BU0000156,EN0000051,FUN000420,F,17,niño,15.0
BU0000157,EN0000051,FUN000510,L,6,niño,22.5
BU0000158,EN0000052,FUN000967,L,1,niño,10.0
BU0000159,EN0000052,FUN000180,F,11,niño,15.0
BU0000160,EN0000052,FUN000091,I,1,adulto,30.0
BU0000161,EN0000053,FUN000221,R,5,niño,22.5
BU0000162,EN0000053,FUN000315,B,16,niño,15.0
BU0000163,EN0000054,FUN000609,X,2,niño,22.5
BU0000164,EN0000054,FUN000620,H,1,niño,30.0
BU0000165,EN0000054,FUN000123,Z,17,adulto,10.0
BU0000166,EN0000054,FUN000242,O,5,niño,30.0
BU0000167,EN0000055,FUN000638,R,3,niño,30.0
BU0000168,EN0000055,FUN000407,G,18,adulto,15.0
BU0000169,EN0000056,FUN000489,A,19,niño,30.0
BU0000170,EN0000056,FUN000842,L,15,niño,22.5
BU0000171,EN0000056,FUN000826,M,17,adulto,10.0
BU0000172,EN0000056,FUN000077,L,17,adulto,15.0
BU0000173,EN0000056,FUN000363,U,5,adulto,15.0
BU0000174,EN0000057,FUN000450,J,20,adulto,10.0
BU0000175,EN0000058,FUN000815,J,17,adulto,15.0
BU0000176,EN0000058,FUN000521,F,14,niño,15.0
BU0000177,EN0000058,FUN000824,L,8,adulto,10.0
BU0000178,EN0000059,FUN000437,V,17,adulto,10.0
BU0000179,EN0000059,FUN000500,P,13,niño,22.5
BU0000180,EN0000059,FUN000842,S,6,adulto,22.5
BU0000181,EN0000059,FUN000947,W,13,adulto,10.0
BU0000182,EN0000059,FUN000080,X,16,adulto,22.5
BU0000183,EN0000060,FUN000122,L,9,adulto,30.0
BU0000184,EN0000060,FUN000404,A,6,niño,10.0
BU0000185,EN0000060,FUN000481,Y,14,adulto,10.0
BU0000186,EN0000060,FUN000312,G,15,adulto,15.0
BU0000187,EN0000061,FUN000195,Z,3,adulto,30.0
BU0000188,EN0000061,FUN000723,J,15,adulto,30.0
BU0000189,EN0000061,FUN000632,Z,20,adulto,10.0
BU0000190,EN0000061,FUN000017,B,14,niño,30.0
BU0000191,EN0000062,FUN000915,N,7,adulto,30.0
BU0000192,EN0000062,FUN000211,K,5,adulto,15.0
BU0000193,EN0000062,FUN000098,J,19,niño,30.0
BU0000194,EN0000063,FUN000335,O,15,adulto,15.0
BU0000195,EN0000063,FUN000125,U,14,adulto,22.5
BU0000196,EN0000063,FUN000062,J,17,niño,30.0
BU0000197,EN0000064,FUN000545,J,6,niño,30.0
BU0000198,EN0000064,FUN000352,H,11,adulto,15.0
BU0000199,EN0000064,FUN000862,P,2,niño,15.0
BU0000200,EN0000064,FUN000726,L,15,adulto,10.0
BU0000201,EN0000064,FUN000566,Z,9,adulto,10.0
BU0000202,EN0000065,FUN000736,E,1,niño,22.5
BU0000203,EN0000066,FUN000847,R,9,niño,10.0
BU0000204,EN0000067,FUN000736,H,18,adulto,15.0
BU0000205,EN0000067,FUN000982,M,3,adulto,15.0
BU0000206,EN0000067,FUN000371,O,17,adulto,10.0
BU0000207,EN0000067,FUN000338,S,19,adulto,15.0
BU0000208,EN0000068,FUN000704,I,10,niño,30.0
BU0000209,EN0000068,FUN000967,Y,10,niño,30.0
BU0000210,EN0000068,FUN000231,P,6,adulto,15.0
BU0000211,EN0000069,FUN000375,N,10,adulto,10.0
BU0000212,EN0000069,FUN000801,X,14,adulto,15.0
BU0000213,EN0000070,FUN000335,O,16,niño,22.5
BU0000214,EN0000070,FUN000601,F,1,adulto,15.0
BU0000215,EN0000070,FUN000129,D,18,niño,10.0
BU0000216,EN0000070,FUN000777,D,13,niño,10.0
BU0000217,EN0000070,FUN000586,N,1,niño,22.5
BU0000218,EN0000071,FUN000366,Q,4,adulto,22.5
BU0000219,EN0000071,FUN000860,W,7,niño,30.0
BU0000220,EN0000071,FUN000911,R,13,adulto,15.0
BU0000221,EN0000071,FUN000713,R,2,adulto,30.0
BU0000222,EN0000072,FUN000884,E,4,adulto,30.0
BU0000223,EN0000072,FUN000075,R,8,adulto,22.5
BU0000224,EN0000072,FUN000162,T,12,adulto,10.0
BU0000225,EN0000072,FUN000178,C,2,niño,22.5
BU0000226,EN0000073,FUN000129,K,15,adulto,30.0
BU0000227,EN0000073,FUN000253,M,17,adulto,15.0
BU0000228,EN0000073,FUN000555,B,3,adulto,10.0
BU0000229,EN0000073,FUN001000,C,18,niño,15.0
BU0000230,EN0000073,FUN000571,C,13,niño,22.5
BU0000231,EN0000074,FUN000446,Y,9,niño,15.0
BU0000232,EN0000074,FUN000136,T,5,adulto,30.0
BU0000233,EN0000074,FUN000893,V,2,adulto,30.0
BU0000234,EN0000074,FUN000307,R,4,adulto,10.0
BU0000235,EN0000074,FUN000359,K,16,adulto,10.0
BU0000236,EN0000075,FUN000199,A,4,niño,22.5
BU0000237,EN0000075,FUN000036,Q,10,adulto,15.0
BU0000238,EN0000075,FUN000515,G,2,adulto,22.5
BU0000239,EN0000075,FUN000808,V,18,niño,22.5
BU0000240,EN0000076,FUN000217,I,3,adulto,30.0
BU0000241,EN0000076,FUN000728,B,8,niño,10.0
BU0000242,EN0000076,FUN000495,D,6,niño,15.0
BU0000243,EN0000076,FUN000322,X,12,niño,30.0
BU0000244,EN0000076,FUN000662,A,15,adulto,22.5
BU0000245,EN0000077,FUN000788,L,12,adulto,10.0
BU0000246,EN0000077,FUN000101,L,19,niño,22.5
BU0000247,EN0000078,FUN000325,G,19,adulto,22.5
BU0000248,EN0000078,FUN000095,H,3,niño,22.5
BU0000249,EN0000078,FUN000824,X,3,adulto,15.0
BU0000250,EN0000079,FUN000021,N,19,niño,30.0
BU0000251,EN0000079,FUN000900,Q,16,adulto,22.5
BU0000252,EN0000079,FUN000543,P,4,adulto,30.0
BU0000253,EN0000080,FUN000312,M,18,adulto,10.0
BU0000254,EN0000080,FUN000814,P,8,niño,30.0
BU0000255,EN0000081,FUN000471,O,18,adulto,15.0
BU0000256,EN0000081,FUN000881,J,6,adulto,10.0
BU0000257,EN0000081,FUN000546,G,20,niño,22.5
BU0000258,EN0000081,FUN000473,R,11,niño,10.0
BU0000259,EN0000081,FUN000454,T,1,niño,22.5
BU0000260,EN0000082,FUN000896,G,18,adulto,15.0
BU0000261,EN0000082,FUN000845,Z,4,niño,15.0
BU0000262,EN0000083,FUN000138,S,17,niño,10.0
BU0000263,EN0000083,FUN000710,Q,13,niño,15.0
BU0000264,EN0000083,FUN000840,B,1,niño,15.0
BU0000265,EN0000084,FUN000079,T,5,adulto,22.5
BU0000266,EN0000084,FUN000303,A,2,adulto,30.0
BU0000267,EN0000084,FUN000795,C,13,adulto,10.0
BU0000268,EN0000084,FUN000618,L,16,adulto,22.5
BU0000269,EN0000085,FUN000998,V,3,adulto,15.0
BU0000270,EN0000085,FUN000863,O,6,adulto,22.5
BU0000271,EN0000085,FUN000688,Z,2,adulto,10.0
BU0000272,EN0000085,FUN000841,R,2,adulto,22.5
BU0000273,EN0000085,FUN000419,C,5,niño,10.0
BU0000274,EN0000086,FUN000506,X,2,adulto,10.0
BU0000275,EN0000086,FUN000670,F,17,niño,22.5
BU0000276,EN0000087,FUN000612,Q,4,niño,15.0
BU0000277,EN0000087,FUN000392,G,10,adulto,15.0
BU0000278,EN0000087,FUN000455,A,9,niño,22.5
BU0000279,EN0000087,FUN000981,K,2,adulto,15.0
BU0000280,EN0000088,FUN000936,I,6,niño,10.0
BU0000281,EN0000088,FUN000411,D,2,adulto,10.0
BU0000282,EN0000089,FUN000205,P,9,adulto,30.0
BU0000283,EN0000089,FUN000169,I,11,adulto,30.0
BU0000284,EN0000089,FUN000284,Z,13,adulto,22.5
BU0000285,EN0000089,FUN000842,P,6,niño,30.0
BU0000286,EN0000089,FUN000913,W,9,niño,30.0
BU0000287,EN0000090,FUN000001,V,8,niño,22.5
BU0000288,EN0000091,FUN000112,O,12,adulto,15.0
BU0000289,EN0000091,FUN000654,E,6,adulto,22.5
BU0000290,EN0000092,FUN000965,U,14,adulto,22.5
BU0000291,EN0000092,FUN000593,H,14,adulto,10.0
BU0000292,EN0000092,FUN000738,Q,16,adulto,10.0
BU0000293,EN0000092,FUN000808,U,14,niño,10.0
BU0000294,EN0000092,FUN000854,C,13,niño,15.0
BU0000295,EN0000093,FUN000739,V,2,adulto,10.0
BU0000296,EN0000093,FUN000677,W,3,niño,10.0
BU0000297,EN0000093,FUN000358,F,19,niño,10.0
BU0000298,EN0000094,FUN000783,R,12,niño,15.0
BU0000299,EN0000095,FUN000296,Y,20,niño,15.0
BU0000300,EN0000095,FUN000545,K,2,niño,10.0
BU0000301,EN0000095,FUN000828,P,10,adulto,30.0
BU0000302,EN0000095,FUN000881,V,11,adulto,30.0
BU0000303,EN0000095,FUN000013,P,14,adulto,22.5
BU0000304,EN0000096,FUN000945,U,19,adulto,22.5
BU0000305,EN0000097,FUN000755,T,16,niño,30.0
BU0000306,EN0000098,FUN000017,J,4,niño,22.5
BU0000307,EN0000098,FUN000832,K,12,adulto,10.0
BU0000308,EN0000098,FUN000277,H,3,adulto,22.5
BU0000309,EN0000098,FUN000013,E,1,niño,30.0
BU0000310,EN0000098,FUN000172,D,18,adulto,22.5
BU0000311,EN0000099,FUN000537,J,15,adulto,15.0
BU0000312,EN0000099,FUN000780,N,13,adulto,22.5
BU0000313,EN0000099,FUN000040,R,13,adulto,15.0
BU0000314,EN0000100,FUN000039,N,16,niño,30.0
BU0000315,EN0000100,FUN000774,D,8,niño,30.0
BU0000316,EN0000100,FUN000738,H,12,niño,22.5
BU0000317,EN0000101,FUN000229,Y,1,niño,22.5
