director_id,pelicula_id
DIR000024,MOV000001
DIR000012,MOV000002
DIR000015,MOV000003
DIR000028,MOV000004
DIR000051,MOV000005
DIR000094,MOV000006
DIR000014,MOV000007
DIR000019,MOV000008
DIR000014,MOV000009
DIR000028,MOV000010
DIR000094,MOV000011
DIR000040,MOV000012
DIR000033,MOV000013
DIR000015,MOV000014
DIR000054,MOV000015
DIR000044,MOV000016
DIR000094,MOV000017
DIR000021,MOV000018
DIR000070,MOV000019
DIR000031,MOV000020
DIR000043,MOV000021
DIR000091,MOV000022
DIR000024,MOV000023
DIR000087,MOV000024
DIR000011,MOV000025
DIR000026,MOV000026
DIR000031,MOV000027
DIR000010,MOV000028
DIR000100,MOV000029
DIR000016,MOV000030
DIR000008,MOV000031
DIR000090,MOV000032
DIR000071,MOV000033
DIR000038,MOV000034
DIR000061,MOV000035
DIR000010,MOV000036
DIR000008,MOV000037
DIR000074,MOV000038
DIR000035,MOV000039
DIR000036,MOV000040
DIR000011,MOV000041
DIR000015,MOV000042
DIR000046,MOV000043
DIR000052,MOV000044
DIR000075,MOV000045
DIR000056,MOV000046
DIR000060,MOV000047
DIR000098,MOV000048
DIR000096,MOV000049
DIR000003,MOV000050
DIR000078,MOV000051
DIR000004,MOV000052
DIR000016,MOV000053
DIR000049,MOV000054
DIR000012,MOV000055
DIR000032,MOV000056
DIR000011,MOV000057
DIR000043,MOV000058
DIR000090,MOV000059
DIR000053,MOV000060
DIR000034,MOV000061
DIR000046,MOV000062
DIR000069,MOV000063
DIR000078,MOV000064
DIR000059,MOV000065
DIR000090,MOV000066
DIR000080,MOV000067
DIR000001,MOV000068
DIR000080,MOV000069
DIR000001,MOV000070
DIR000078,MOV000071
DIR000094,MOV000072
DIR000025,MOV000073
DIR000095,MOV000074
DIR000012,MOV000075
DIR000048,MOV000076
DIR000039,MOV000077
DIR000065,MOV000078
DIR000053,MOV000079
DIR000058,MOV000080
DIR000078,MOV000081
DIR000099,MOV000082
DIR000093,MOV000083
DIR000058,MOV000084
DIR000067,MOV000085
DIR000029,MOV000086
DIR000029,MOV000087
DIR000069,MOV000088
DIR000089,MOV000089
DIR000037,MOV000090
DIR000042,MOV000091
DIR000058,MOV000092
DIR000015,MOV000093
DIR000047,MOV000094
DIR000059,MOV000095
DIR000047,MOV000096
DIR000085,MOV000097
DIR000064,MOV000098
DIR000030,MOV000099
DIR000032,MOV000100
DIR000047,MOV000101
DIR000047,MOV000102
DIR000042,MOV000103
DIR000061,MOV000104
DIR000096,MOV000105
DIR000022,MOV000106
DIR000090,MOV000107
DIR000088,MOV000108
DIR000017,MOV000109
DIR000025,MOV000110
DIR000012,MOV000111
DIR000082,MOV000112
DIR000037,MOV000113
DIR000080,MOV000114
DIR000073,MOV000115
DIR000100,MOV000116
DIR000043,MOV000117
DIR000053,MOV000118
DIR000008,MOV000119
DIR000061,MOV000120
DIR000058,MOV000121
DIR000063,MOV000122
DIR000021,MOV000123
DIR000100,MOV000124
DIR000080,MOV000125
DIR000031,MOV000126
DIR000047,MOV000127
DIR000074,MOV000128
DIR000010,MOV000129
DIR000063,MOV000130
DIR000002,MOV000131
DIR000017,MOV000132
DIR000015,MOV000133
DIR000057,MOV000134
DIR000007,MOV000135
DIR000041,MOV000136
DIR000021,MOV000137
DIR000032,MOV000138
DIR000087,MOV000139
DIR000088,MOV000140
DIR000093,MOV000141
DIR000091,MOV000142
DIR000096,MOV000143
DIR000002,MOV000144
DIR000010,MOV000145
DIR000031,MOV000146
DIR000034,MOV000147
DIR000072,MOV000148
DIR000009,MOV000149
DIR000076,MOV000150
DIR000050,MOV000151
DIR000042,MOV000152
DIR000010,MOV000153
DIR000097,MOV000154
DIR000053,MOV000155
DIR000070,MOV000156
DIR000061,MOV000157
DIR000014,MOV000158
DIR000088,MOV000159
DIR000049,MOV000160
DIR000029,MOV000161
DIR000034,MOV000162
DIR000014,MOV000163
DIR000008,MOV000164
DIR000022,MOV000165
DIR000063,MOV000166
DIR000052,MOV000167
DIR000073,MOV000168
DIR000051,MOV000169
DIR000022,MOV000170
DIR000081,MOV000171
DIR000049,MOV000172
DIR000064,MOV000173
DIR000019,MOV000174
DIR000008,MOV000175
DIR000034,MOV000176
DIR000018,MOV000177
DIR000089,MOV000178
DIR000010,MOV000179
DIR000088,MOV000180
DIR000099,MOV000181
DIR000066,MOV000182
DIR000014,MOV000183
DIR000026,MOV000184
DIR000097,MOV000185
DIR000028,MOV000186
DIR000099,MOV000187
DIR000059,MOV000188
DIR000016,MOV000189
DIR000044,MOV000190
DIR000070,MOV000191
DIR000007,MOV000192
DIR000036,MOV000193
DIR000036,MOV000194
DIR000002,MOV000195
DIR000023,MOV000196
DIR000016,MOV000197
DIR000005,MOV000198
DIR000034,MOV000199
DIR000027,MOV000200
DIR000067,MOV000201
DIR000012,MOV000202
DIR000028,MOV000203
DIR000096,MOV000204
DIR000002,MOV000205
DIR000042,MOV000206
DIR000015,MOV000207
DIR000033,MOV000208
DIR000087,MOV000209
DIR000091,MOV000210
DIR000069,MOV000211
DIR000010,MOV000212
DIR000075,MOV000213
DIR000060,MOV000214
DIR000054,MOV000215
DIR000051,MOV000216
DIR000073,MOV000217
DIR000095,MOV000218
DIR000021,MOV000219
DIR000058,MOV000220
DIR000077,MOV000221
DIR000068,MOV000222
DIR000018,MOV000223
DIR000075,MOV000224
DIR000049,MOV000225
DIR000079,MOV000226
DIR000024,MOV000227
DIR000052,MOV000228
DIR000075,MOV000229
DIR000019,MOV000230
DIR000040,MOV000231
DIR000098,MOV000232
DIR000092,MOV000233
DIR000073,MOV000234
DIR000020,MOV000235
DIR000016,MOV000236
DIR000023,MOV000237
DIR000044,MOV000238
DIR000076,MOV000239
DIR000081,MOV000240
DIR000026,MOV000241
DIR000050,MOV000242
DIR000019,MOV000243
DIR000057,MOV000244
DIR000027,MOV000245
DIR000019,MOV000246
DIR000078,MOV000247
DIR000062,MOV000248
DIR000022,MOV000249
DIR000020,MOV000250
DIR000017,MOV000251
DIR000023,MOV000252
DIR000046,MOV000253
DIR000064,MOV000254
DIR000085,MOV000255
DIR000073,MOV000256
DIR000024,MOV000257
DIR000005,MOV000258
DIR000066,MOV000259
DIR000097,MOV000260
DIR000029,MOV000261
DIR000007,MOV000262
DIR000028,MOV000263
DIR000036,MOV000264
DIR000078,MOV000265
DIR000056,MOV000266
DIR000060,MOV000267
DIR000090,MOV000268
DIR000054,MOV000269
DIR000077,MOV000270
DIR000091,MOV000271
DIR000072,MOV000272
DIR000026,MOV000273
DIR000038,MOV000274
DIR000006,MOV000275
DIR000099,MOV000276
DIR000012,MOV000277
DIR000030,MOV000278
DIR000006,MOV000279
DIR000054,MOV000280
DIR000072,MOV000281
DIR000035,MOV000282
DIR000020,MOV000283
DIR000040,MOV000284
DIR000077,MOV000285
DIR000083,MOV000286
DIR000077,MOV000287
DIR000100,MOV000288
DIR000083,MOV000289
DIR000064,MOV000290
DIR000060,MOV000291
DIR000006,MOV000292
DIR000049,MOV000293
DIR000078,MOV000294
DIR000047,MOV000295
DIR000027,MOV000296
DIR000093,MOV000297
DIR000012,MOV000298
DIR000018,MOV000299
DIR000020,MOV000300
DIR000035,MOV000301
DIR000064,MOV000302
DIR000035,MOV000303
DIR000024,MOV000304
DIR000007,MOV000305
DIR000041,MOV000306
DIR000073,MOV000307
DIR000012,MOV000308
DIR000071,MOV000309
DIR000051,MOV000310
DIR000057,MOV000311
DIR000034,MOV000312
DIR000040,MOV000313
DIR000009,MOV000314
DIR000009,MOV000315
DIR000009,MOV000316
DIR000072,MOV000317
DIR000099,MOV000318
DIR000033,MOV000319
DIR000006,MOV000320
DIR000044,MOV000321
DIR000086,MOV000322
DIR000031,MOV000323
DIR000024,MOV000324
DIR000025,MOV000325
DIR000047,MOV000326
DIR000031,MOV000327
DIR000098,MOV000328
DIR000007,MOV000329
DIR000031,MOV000330
DIR000089,MOV000331
DIR000024,MOV000332
DIR000058,MOV000333
DIR000047,MOV000334
DIR000074,MOV000335
DIR000074,MOV000336
DIR000018,MOV000337
DIR000058,MOV000338
DIR000095,MOV000339
DIR000018,MOV000340
DIR000035,MOV000341
DIR000093,MOV000342
DIR000043,MOV000343
DIR000033,MOV000344
DIR000020,MOV000345
DIR000095,MOV000346
DIR000068,MOV000347
DIR000053,MOV000348
DIR000025,MOV000349
DIR000078,MOV000350
DIR000084,MOV000351
DIR000022,MOV000352
DIR000023,MOV000353
DIR000075,MOV000354
DIR000062,MOV000355
DIR000078,MOV000356
DIR000054,MOV000357
DIR000064,MOV000358
DIR000024,MOV000359
DIR000009,MOV000360
DIR000095,MOV000361
DIR000082,MOV000362
DIR000002,MOV000363
DIR000075,MOV000364
DIR000004,MOV000365
DIR000074,MOV000366
DIR000030,MOV000367
DIR000004,MOV000368
DIR000067,MOV000369
DIR000023,MOV000370
DIR000040,MOV000371
DIR000066,MOV000372
DIR000025,MOV000373
DIR000050,MOV000374
DIR000083,MOV000375
DIR000052,MOV000376
DIR000026,MOV000377
DIR000073,MOV000378
DIR000016,MOV000379
DIR000059,MOV000380
DIR000003,MOV000381
DIR000093,MOV000382
DIR000021,MOV000383
DIR000041,MOV000384
DIR000079,MOV000385
DIR000004,MOV000386
DIR000085,MOV000387
DIR000009,MOV000388
DIR000069,MOV000389
DIR000015,MOV000390
DIR000079,MOV000391
DIR000064,MOV000392
DIR000043,MOV000393
DIR000022,MOV000394
DIR000034,MOV000395
DIR000093,MOV000396
DIR000073,MOV000397
DIR000067,MOV000398
DIR000061,MOV000399
DIR000035,MOV000400
DIR000092,MOV000401
DIR000024,MOV000402
DIR000083,MOV000403
DIR000078,MOV000404
DIR000057,MOV000405
DIR000087,MOV000406
DIR000046,MOV000407
DIR000042,MOV000408
DIR000065,MOV000409
DIR000033,MOV000410
DIR000017,MOV000411
DIR000016,MOV000412
DIR000006,MOV000413
DIR000020,MOV000414
DIR000083,MOV000415
DIR000016,MOV000416
DIR000045,MOV000417
DIR000073,MOV000418
DIR000070,MOV000419
DIR000026,MOV000420
DIR000063,MOV000421
DIR000059,MOV000422
DIR000092,MOV000423
DIR000057,MOV000424
DIR000038,MOV000425
DIR000034,MOV000426
DIR000039,MOV000427
DIR000054,MOV000428
DIR000006,MOV000429
DIR000016,MOV000430
DIR000078,MOV000431
DIR000003,MOV000432
DIR000070,MOV000433
DIR000045,MOV000434
DIR000025,MOV000435
DIR000076,MOV000436
DIR000049,MOV000437
DIR000059,MOV000438
DIR000068,MOV000439
DIR000020,MOV000440
DIR000014,MOV000441
DIR000029,MOV000442
DIR000031,MOV000443
DIR000033,MOV000444
DIR000045,MOV000445
DIR000004,MOV000446
DIR000021,MOV000447
DIR000019,MOV000448
DIR000047,MOV000449
DIR000045,MOV000450
DIR000070,MOV000451
DIR000066,MOV000452
DIR000004,MOV000453
DIR000097,MOV000454
DIR000067,MOV000455
DIR000041,MOV000456
DIR000050,MOV000457
DIR000002,MOV000458
DIR000005,MOV000459
DIR000054,MOV000460
DIR000076,MOV000461
DIR000013,MOV000462
DIR000025,MOV000463
DIR000076,MOV000464
DIR000019,MOV000465
DIR000068,MOV000466
DIR000049,MOV000467
DIR000026,MOV000468
DIR000014,MOV000469
DIR000029,MOV000470
DIR000013,MOV000471
DIR000050,MOV000472
DIR000037,MOV000473
DIR000035,MOV000474
DIR000009,MOV000475
DIR000078,MOV000476
DIR000057,MOV000477
DIR000097,MOV000478
DIR000044,MOV000479
DIR000032,MOV000480
DIR000074,MOV000481
DIR000066,MOV000482
DIR000036,MOV000483
DIR000037,MOV000484
DIR000052,MOV000485
DIR000050,MOV000486
DIR000091,MOV000487
DIR000028,MOV000488
DIR000069,MOV000489
DIR000023,MOV000490
DIR000032,MOV000491
DIR000100,MOV000492
DIR000012,MOV000493
DIR000064,MOV000494
DIR000007,MOV000495
DIR000084,MOV000496
DIR000070,MOV000497
DIR000055,MOV000498
DIR000040,MOV000499
DIR000089,MOV000500
DIR000093,MOV000501
DIR000018,MOV000502
DIR000062,MOV000503
DIR000063,MOV000504
DIR000061,MOV000505
DIR000002,MOV000506
DIR000058,MOV000507
DIR000024,MOV000508
DIR000073,MOV000509
DIR000029,MOV000510
DIR000033,MOV000511
DIR000071,MOV000512
DIR000011,MOV000513
DIR000027,MOV000514
DIR000016,MOV000515
DIR000033,MOV000516
DIR000041,MOV000517
DIR000061,MOV000518
DIR000080,MOV000519
DIR000020,MOV000520
DIR000015,MOV000521
DIR000049,MOV000522
DIR000069,MOV000523
DIR000009,MOV000524
DIR000041,MOV000525
DIR000026,MOV000526
DIR000055,MOV000527
DIR000053,MOV000528
DIR000018,MOV000529
DIR000047,MOV000530
DIR000057,MOV000531
DIR000099,MOV000532
DIR000100,MOV000533
DIR000029,MOV000534
DIR000054,MOV000535
DIR000001,MOV000536
DIR000057,MOV000537
DIR000081,MOV000538
DIR000021,MOV000539
DIR000008,MOV000540
DIR000097,MOV000541
DIR000039,MOV000542
DIR000019,MOV000543
DIR000006,MOV000544
DIR000047,MOV000545
DIR000047,MOV000546
DIR000015,MOV000547
DIR000013,MOV000548
DIR000057,MOV000549
DIR000067,MOV000550
DIR000040,MOV000551
DIR000025,MOV000552
DIR000014,MOV000553
DIR000077,MOV000554
DIR000074,MOV000555
DIR000043,MOV000556
DIR000059,MOV000557
DIR000008,MOV000558
DIR000022,MOV000559
DIR000063,MOV000560
DIR000082,MOV000561
DIR000032,MOV000562
DIR000008,MOV000563
DIR000011,MOV000564
DIR000064,MOV000565
DIR000086,MOV000566
DIR000041,MOV000567
DIR000024,MOV000568
DIR000068,MOV000569
DIR000015,MOV000570
DIR000022,MOV000571
DIR000012,MOV000572
DIR000059,MOV000573
DIR000082,MOV000574
DIR000084,MOV000575
DIR000072,MOV000576
DIR000047,MOV000577
DIR000070,MOV000578
DIR000072,MOV000579
DIR000031,MOV000580
DIR000041,MOV000581
DIR000001,MOV000582
DIR000078,MOV000583
DIR000041,MOV000584
DIR000097,MOV000585
DIR000084,MOV000586
DIR000031,MOV000587
DIR000088,MOV000588
DIR000090,MOV000589
DIR000039,MOV000590
DIR000070,MOV000591
DIR000078,MOV000592
DIR000037,MOV000593
DIR000094,MOV000594
DIR000052,MOV000595
DIR000064,MOV000596
DIR000011,MOV000597
DIR000045,MOV000598
DIR000094,MOV000599
DIR000008,MOV000600
DIR000019,MOV000601
DIR000045,MOV000602
