id,nombre
GP0000001,adolescente
GP0000002,comunista
GP0000003,arte
GP0000004,infantil
GP0000005,bélico
GP0000006,de gánsteres
GP0000007,catástrofe
GP0000008,costumbrista
GP0000009,cristiano
GP0000010,de acción
GP0000011,de animación
GP0000012,de artes marciales
GP0000013,de autor
GP0000014,de aventuras
GP0000015,de ciencia ficción
GP0000016,de misterio
GP0000017,de samuráis
GP0000018,de terror
GP0000019,documental
GP0000020,de explotación
GP0000021,épico
GP0000022,experimental
GP0000023,fantástico
GP0000024,histórico
GP0000025,musica
