id,nombre,descripcion,precio_venta
PR0000001,huckleberries,ycsxmagzasyuflppeiwu,19
PR0000002,heavy cream,aisnuqjdfjhwevlmykut,24
PR0000003,zest,kdajzrqsarjlkxhjkkap,49
PR0000004,pasta,akphwpfvodgztpwjhcob,26
PR0000005,amaretto,cecuarpkkrmepkufocex,15
PR0000006,wine vinegar,svfvjzqcgqrueqlqqjss,20
PR0000007,snap peas,lepbfpvcifwzbssikpkw,33
PR0000008,corn flour,kkkrjmcmfcdjrabrfiqg,48
PR0000009,chard,uishjyiciwvuouowcsbz,39
PR0000010,haddock,jlhzqsbkxtqdqzxbjrku,29
PR0000011,raspberries,fzuufzkfzlpwdttxbwyl,17
PR0000012,English muffins,nsrqibzihicxxkwojtux,29
PR0000013,avocados,lgdkjtzgwqvasspcbuxa,26
PR0000014,chipotle peppers,chdcqdzoadzvzlbmlxga,45
PR0000015,bok choy,mmsdslvnidlkyhlpxmgk,16
PR0000016,provolone,rhbxvuybixzkxbdpjwaj,35
PR0000017,hash browns,fjboetsizkfgtlhanugi,45
PR0000018,capers,utsuvnrheamchvfdkels,18
PR0000019,blue cheese,jdvdolensdzrlumsozxx,24
PR0000020,vinegar,hpkswshhpfzuoohqlbkk,39
PR0000021,dates,nbfaekjbqvtnyizrcbhk,20
PR0000022,jack cheese,pitgxbesulcumwniqmgm,24
PR0000023,walnuts,xezszdzjcupccgiuanym,16
PR0000024,cauliflower,cotpzfbdnpvxbasezsia,29
PR0000025,chili powder,bnlcitsjtywkykmjtyzy,31
PR0000026,olives,nlthmpgbqaipsuwwykke,43
PR0000027,lettuce,mjzwjiwqcjczyfqyazod,41
PR0000028,black olives,dohbmhurgwqfwmyaooag,11
PR0000029,truffles,ulorezxrbcdoqbsbppwp,39
PR0000030,brunoise,kmxvxaslfjxhrvcpuxgm,31
PR0000031,eggs,iiqprhhloeytmhsekkiq,26
PR0000032,lima beans,iwxfskahdfouzsutzvvx,20
PR0000033,bruschetta,cmeecpfknsjegkllmzob,25
PR0000034,celery seeds,cmrdrnppzjoznmaogdsv,14
PR0000035,soybeans,ffgkcajoxtkxnivxtxga,40
PR0000036,custard,zenccknwzqbmtojhxlsu,20
PR0000037,mustard,gxxsecrefmmumtaumnvb,44
PR0000038,half-and-half,sivtvezqgjtghurusrfy,31
PR0000039,coconut oil,yucxlgkpeiihtiuduxso,49
PR0000040,peaches,dkrvuuhguhcaxtoustgb,48
PR0000041,Marsala,obdrtbdzgybhrwnyeonq,23
PR0000042,bean sauce,myxobrwaygnfjarlwbgv,38
