pelicula_id,actor_id
MOV000001,ACT000127
MOV000001,ACT000453
MOV000001,ACT000343
MOV000001,ACT000254
MOV000001,ACT000317
MOV000001,ACT000315
MOV000002,ACT000077
MOV000002,ACT000468
MOV000002,ACT000513
MOV000002,ACT000316
MOV000002,ACT000101
MOV000002,ACT000412
MOV000002,ACT000239
MOV000002,ACT000466
MOV000002,ACT000036
MOV000003,ACT000400
MOV000003,ACT000200
MOV000003,ACT000094
MOV000003,ACT000146
MOV000003,ACT000064
MOV000003,ACT000466
MOV000003,ACT000452
MOV000003,ACT000156
MOV000004,ACT000450
MOV000004,ACT000184
MOV000004,ACT000092
MOV000004,ACT000370
MOV000004,ACT000422
MOV000004,ACT000318
MOV000004,ACT000077
MOV000004,ACT000146
MOV000004,ACT000559
MOV000004,ACT000208
MOV000004,ACT000431
MOV000005,ACT000140
MOV000005,ACT000324
MOV000005,ACT000250
MOV000005,ACT000222
MOV000005,ACT000263
MOV000005,ACT000273
MOV000005,ACT000229
MOV000005,ACT000388
MOV000006,ACT000052
MOV000006,ACT000283
MOV000006,ACT000481
MOV000006,ACT000101
MOV000006,ACT000244
MOV000006,ACT000252
MOV000007,ACT000535
MOV000007,ACT000425
MOV000007,ACT000526
MOV000007,ACT000120
MOV000007,ACT000128
MOV000007,ACT000471
MOV000008,ACT000116
MOV000008,ACT000299
MOV000008,ACT000471
MOV000008,ACT000025
MOV000008,ACT000436
MOV000008,ACT000218
MOV000008,ACT000557
MOV000009,ACT000236
MOV000009,ACT000066
MOV000009,ACT000165
MOV000009,ACT000155
MOV000009,ACT000353
MOV000009,ACT000284
MOV000009,ACT000362
MOV000009,ACT000557
MOV000009,ACT000343
MOV000009,ACT000402
MOV000009,ACT000218
MOV000009,ACT000467
MOV000009,ACT000184
MOV000009,ACT000461
MOV000009,ACT000166
MOV000010,ACT000545
MOV000010,ACT000461
MOV000010,ACT000388
MOV000010,ACT000463
MOV000010,ACT000498
MOV000010,ACT000077
MOV000010,ACT000056
MOV000010,ACT000049
MOV000010,ACT000549
MOV000010,ACT000194
MOV000010,ACT000015
MOV000010,ACT000040
MOV000010,ACT000211
MOV000011,ACT000019
MOV000011,ACT000224
MOV000011,ACT000398
MOV000011,ACT000015
MOV000011,ACT000137
MOV000011,ACT000218
MOV000011,ACT000024
MOV000011,ACT000051
MOV000012,ACT000546
MOV000012,ACT000178
MOV000012,ACT000136
MOV000012,ACT000205
MOV000012,ACT000313
MOV000012,ACT000448
MOV000012,ACT000255
MOV000012,ACT000245
MOV000013,ACT000069
MOV000013,ACT000277
MOV000013,ACT000455
MOV000013,ACT000193
MOV000013,ACT000028
MOV000014,ACT000197
MOV000014,ACT000514
MOV000014,ACT000178
MOV000014,ACT000449
MOV000014,ACT000329
MOV000014,ACT000403
MOV000014,ACT000539
MOV000014,ACT000146
MOV000014,ACT000325
MOV000014,ACT000509
MOV000014,ACT000466
MOV000014,ACT000410
MOV000014,ACT000225
MOV000014,ACT000556
MOV000015,ACT000245
MOV000015,ACT000078
MOV000015,ACT000459
MOV000015,ACT000133
MOV000015,ACT000039
MOV000015,ACT000377
MOV000015,ACT000468
MOV000015,ACT000029
MOV000015,ACT000517
MOV000015,ACT000006
MOV000015,ACT000273
MOV000016,ACT000147
MOV000016,ACT000088
MOV000016,ACT000321
MOV000016,ACT000268
MOV000016,ACT000333
MOV000017,ACT000184
MOV000017,ACT000115
MOV000017,ACT000098
MOV000017,ACT000113
MOV000017,ACT000225
MOV000017,ACT000343
MOV000017,ACT000377
MOV000017,ACT000250
MOV000017,ACT000427
MOV000017,ACT000305
MOV000018,ACT000296
MOV000018,ACT000028
MOV000018,ACT000334
MOV000018,ACT000288
MOV000018,ACT000218
MOV000018,ACT000086
MOV000019,ACT000344
MOV000019,ACT000110
MOV000019,ACT000475
MOV000019,ACT000435
MOV000019,ACT000118
MOV000020,ACT000203
MOV000020,ACT000358
MOV000020,ACT000490
MOV000020,ACT000471
MOV000020,ACT000425
MOV000020,ACT000099
MOV000021,ACT000204
MOV000021,ACT000081
MOV000021,ACT000519
MOV000021,ACT000282
MOV000021,ACT000141
MOV000021,ACT000308
MOV000021,ACT000287
MOV000021,ACT000491
MOV000021,ACT000092
MOV000021,ACT000049
MOV000022,ACT000520
MOV000022,ACT000100
MOV000022,ACT000152
MOV000022,ACT000538
MOV000022,ACT000037
MOV000022,ACT000275
MOV000022,ACT000191
MOV000022,ACT000391
MOV000022,ACT000241
MOV000022,ACT000038
MOV000022,ACT000247
MOV000022,ACT000353
MOV000022,ACT000190
MOV000022,ACT000414
MOV000022,ACT000110
MOV000023,ACT000142
MOV000023,ACT000371
MOV000023,ACT000205
MOV000023,ACT000361
MOV000023,ACT000133
MOV000023,ACT000246
MOV000023,ACT000293
MOV000023,ACT000556
MOV000024,ACT000557
MOV000024,ACT000189
MOV000024,ACT000111
MOV000024,ACT000326
MOV000024,ACT000214
MOV000024,ACT000460
MOV000024,ACT000167
MOV000024,ACT000138
MOV000024,ACT000366
MOV000025,ACT000210
MOV000025,ACT000426
MOV000025,ACT000208
MOV000025,ACT000294
MOV000025,ACT000551
MOV000025,ACT000424
MOV000025,ACT000403
MOV000025,ACT000303
MOV000025,ACT000552
MOV000025,ACT000284
MOV000025,ACT000549
MOV000025,ACT000225
MOV000026,ACT000400
MOV000026,ACT000535
MOV000026,ACT000348
MOV000026,ACT000314
MOV000026,ACT000338
MOV000026,ACT000261
MOV000026,ACT000482
MOV000026,ACT000286
MOV000026,ACT000054
MOV000027,ACT000045
MOV000027,ACT000160
MOV000027,ACT000095
MOV000027,ACT000370
MOV000027,ACT000029
MOV000027,ACT000005
MOV000028,ACT000163
MOV000028,ACT000010
MOV000028,ACT000439
MOV000028,ACT000423
MOV000028,ACT000446
MOV000028,ACT000253
MOV000028,ACT000162
MOV000028,ACT000059
MOV000028,ACT000176
MOV000028,ACT000437
MOV000029,ACT000378
MOV000029,ACT000018
MOV000029,ACT000262
MOV000029,ACT000157
MOV000029,ACT000434
MOV000029,ACT000350
MOV000029,ACT000033
MOV000029,ACT000073
MOV000030,ACT000291
MOV000030,ACT000060
MOV000030,ACT000458
MOV000030,ACT000235
MOV000030,ACT000310
MOV000031,ACT000235
MOV000031,ACT000073
MOV000031,ACT000401
MOV000031,ACT000406
MOV000031,ACT000093
MOV000031,ACT000130
MOV000032,ACT000513
MOV000032,ACT000146
MOV000032,ACT000028
MOV000032,ACT000285
MOV000032,ACT000405
MOV000032,ACT000074
MOV000032,ACT000298
MOV000032,ACT000483
MOV000032,ACT000408
MOV000032,ACT000181
MOV000032,ACT000170
MOV000032,ACT000270
MOV000033,ACT000100
MOV000033,ACT000250
MOV000033,ACT000336
MOV000033,ACT000495
MOV000033,ACT000137
MOV000033,ACT000205
MOV000034,ACT000161
MOV000034,ACT000448
MOV000034,ACT000195
MOV000034,ACT000529
MOV000034,ACT000150
MOV000034,ACT000044
MOV000034,ACT000181
MOV000034,ACT000165
MOV000034,ACT000206
MOV000034,ACT000303
MOV000034,ACT000326
MOV000035,ACT000229
MOV000035,ACT000402
MOV000035,ACT000422
MOV000035,ACT000431
MOV000035,ACT000427
MOV000035,ACT000206
MOV000035,ACT000360
MOV000036,ACT000548
MOV000036,ACT000021
MOV000036,ACT000201
MOV000036,ACT000384
MOV000036,ACT000330
MOV000036,ACT000101
MOV000036,ACT000448
MOV000036,ACT000311
MOV000036,ACT000289
MOV000036,ACT000077
MOV000036,ACT000132
MOV000036,ACT000192
MOV000036,ACT000092
MOV000037,ACT000529
MOV000037,ACT000158
MOV000037,ACT000389
MOV000037,ACT000405
MOV000037,ACT000159
MOV000037,ACT000167
MOV000037,ACT000366
MOV000037,ACT000266
MOV000037,ACT000472
MOV000037,ACT000162
MOV000037,ACT000317
MOV000038,ACT000442
MOV000038,ACT000492
MOV000038,ACT000062
MOV000038,ACT000092
MOV000038,ACT000329
MOV000038,ACT000066
MOV000038,ACT000368
MOV000038,ACT000119
MOV000038,ACT000140
MOV000038,ACT000497
MOV000038,ACT000168
MOV000038,ACT000216
MOV000038,ACT000229
MOV000038,ACT000252
MOV000039,ACT000436
MOV000039,ACT000046
MOV000039,ACT000488
MOV000039,ACT000020
MOV000039,ACT000192
MOV000040,ACT000211
MOV000040,ACT000053
MOV000040,ACT000090
MOV000040,ACT000449
MOV000040,ACT000100
MOV000040,ACT000556
MOV000041,ACT000538
MOV000041,ACT000546
MOV000041,ACT000182
MOV000041,ACT000396
MOV000041,ACT000297
MOV000041,ACT000460
MOV000041,ACT000168
MOV000042,ACT000541
MOV000042,ACT000078
MOV000042,ACT000472
MOV000042,ACT000372
MOV000042,ACT000061
MOV000043,ACT000240
MOV000043,ACT000099
MOV000043,ACT000261
MOV000043,ACT000160
MOV000043,ACT000305
MOV000044,ACT000492
MOV000044,ACT000316
MOV000044,ACT000393
MOV000044,ACT000382
MOV000044,ACT000530
MOV000044,ACT000093
MOV000044,ACT000400
MOV000044,ACT000433
MOV000044,ACT000233
MOV000045,ACT000314
MOV000045,ACT000076
MOV000045,ACT000434
MOV000045,ACT000309
MOV000045,ACT000425
MOV000045,ACT000126
MOV000045,ACT000240
MOV000045,ACT000528
MOV000045,ACT000016
MOV000045,ACT000210
MOV000045,ACT000140
MOV000045,ACT000530
MOV000045,ACT000338
MOV000045,ACT000553
MOV000046,ACT000036
MOV000046,ACT000351
MOV000046,ACT000541
MOV000046,ACT000153
MOV000046,ACT000278
MOV000046,ACT000436
MOV000046,ACT000386
MOV000046,ACT000345
MOV000046,ACT000115
MOV000046,ACT000118
MOV000046,ACT000396
MOV000046,ACT000426
MOV000046,ACT000356
MOV000046,ACT000072
MOV000047,ACT000151
MOV000047,ACT000217
MOV000047,ACT000366
MOV000047,ACT000391
MOV000047,ACT000007
MOV000047,ACT000306
MOV000048,ACT000258
MOV000048,ACT000506
MOV000048,ACT000129
MOV000048,ACT000482
MOV000048,ACT000509
MOV000048,ACT000094
MOV000048,ACT000465
MOV000048,ACT000027
MOV000048,ACT000395
MOV000048,ACT000076
MOV000048,ACT000312
MOV000048,ACT000169
MOV000048,ACT000450
MOV000048,ACT000068
MOV000049,ACT000057
MOV000049,ACT000213
MOV000049,ACT000283
MOV000049,ACT000130
MOV000049,ACT000015
MOV000049,ACT000112
MOV000049,ACT000529
MOV000049,ACT000306
MOV000049,ACT000411
MOV000049,ACT000512
MOV000049,ACT000379
MOV000049,ACT000320
MOV000050,ACT000224
MOV000050,ACT000298
MOV000050,ACT000358
MOV000050,ACT000399
MOV000050,ACT000125
MOV000050,ACT000426
MOV000051,ACT000021
MOV000051,ACT000110
MOV000051,ACT000395
MOV000051,ACT000512
MOV000051,ACT000520
MOV000051,ACT000343
MOV000052,ACT000178
MOV000052,ACT000154
MOV000052,ACT000296
MOV000052,ACT000105
MOV000052,ACT000267
MOV000052,ACT000014
MOV000053,ACT000437
MOV000053,ACT000254
MOV000053,ACT000214
MOV000053,ACT000219
MOV000053,ACT000474
MOV000053,ACT000121
MOV000053,ACT000035
MOV000053,ACT000155
MOV000053,ACT000171
MOV000053,ACT000005
MOV000053,ACT000469
MOV000053,ACT000133
MOV000053,ACT000482
MOV000053,ACT000061
MOV000053,ACT000428
MOV000054,ACT000023
MOV000054,ACT000006
MOV000054,ACT000235
MOV000054,ACT000465
MOV000054,ACT000213
MOV000054,ACT000264
MOV000054,ACT000080
MOV000054,ACT000183
MOV000054,ACT000196
MOV000054,ACT000544
MOV000054,ACT000418
MOV000054,ACT000447
MOV000054,ACT000026
MOV000054,ACT000513
MOV000054,ACT000450
MOV000055,ACT000398
MOV000055,ACT000089
MOV000055,ACT000011
MOV000055,ACT000543
MOV000055,ACT000074
MOV000055,ACT000519
MOV000055,ACT000482
MOV000055,ACT000182
MOV000055,ACT000141
MOV000056,ACT000436
MOV000056,ACT000379
MOV000056,ACT000277
MOV000056,ACT000251
MOV000056,ACT000315
MOV000056,ACT000348
MOV000056,ACT000509
MOV000057,ACT000317
MOV000057,ACT000469
MOV000057,ACT000363
MOV000057,ACT000048
MOV000057,ACT000109
MOV000057,ACT000406
MOV000057,ACT000281
MOV000057,ACT000416
MOV000058,ACT000251
MOV000058,ACT000345
MOV000058,ACT000426
MOV000058,ACT000149
MOV000058,ACT000054
MOV000058,ACT000511
MOV000058,ACT000267
MOV000059,ACT000210
MOV000059,ACT000385
MOV000059,ACT000543
MOV000059,ACT000338
MOV000059,ACT000149
MOV000060,ACT000083
MOV000060,ACT000336
MOV000060,ACT000099
MOV000060,ACT000152
MOV000060,ACT000247
MOV000060,ACT000084
MOV000060,ACT000163
MOV000060,ACT000465
MOV000060,ACT000410
MOV000060,ACT000544
MOV000060,ACT000186
