id,nombre,idioma,fecha_adquisicion,fecha_estreno,genero_id,duracion_h,resena,nivelpublico_id
MOV000001,10 Cloverfield Lane,GB,2021-08-25,2021-09-11,GP0000020,1.0,Maybe best least computer yes suffer low.,RE00000002
MOV000002,12 Angry Men,GB,2021-11-07,2021-11-29,GP0000015,1.75,Behavior commercial election million beautiful watch include.,RE00000001
MOV000003,12 Monkeys,GB,2021-06-09,2021-06-10,GP0000018,1.0,Factor computer avoid particularly life forget everything.,RE00000004
MOV000004,2001 Maniacs,GB,2021-07-28,2021-08-18,GP0000014,1.0,Turn sense east in alone our truth.,RE00000003
MOV000005,2001: A Space Odyssey,GB,2021-12-01,2021-12-11,GP0000020,2.0,Pull end tax rather school.,RE00000001
MOV000006,2010: The Year We Make Contact,GB,2021-10-23,2021-10-27,GP0000023,2.0,Try technology work too.,RE00000001
MOV000007,25th Hour,GB,2021-10-05,2021-10-24,GP0000010,2.0,Large become her every special what want.,RE00000002
MOV000008,28 Weeks Later,GB,2021-11-14,2021-12-06,GP0000025,1.0,Authority teacher risk three family.,RE00000004
MOV000009,3 Idiots (2009),GB,2021-03-23,2021-04-13,GP0000014,1.5,Enough nothing statement data.,RE00000002
MOV000010,300,GB,2021-01-26,2021-01-26,GP0000017,1.0,Suggest your key assume front.,RE00000002
MOV000011,31,GB,2021-05-20,2021-06-14,GP0000018,1.0,Strategy believe view nor either any.,RE00000003
MOV000012,8 Women,GB,2021-09-23,2021-10-16,GP0000003,2.0,Bank those tree.,RE00000002
MOV000013,8½,GB,2021-04-14,2021-05-04,GP0000004,1.75,Tv hundred happen else hear behind he.,RE00000003
MOV000014,A Nightmare on Elm Street (Freddy Krueger Series),GB,2021-08-15,2021-08-20,GP0000019,1.75,Toward trial health scientist design include.,RE00000003
MOV000015,Abbott and Costello Meet Frankenstein,GB,2021-03-26,2021-04-22,GP0000017,1.0,Consumer speak cup allow send ok shoulder clearly.,RE00000004
MOV000016,Absentia,GB,2021-07-12,2021-08-02,GP0000005,1.5,Remember adult candidate late approach reflect.,RE00000003
MOV000017,Adaptation,GB,2021-03-30,2021-04-08,GP0000002,2.0,Discuss long call hear read.,RE00000001
MOV000018,"Addams Family, The",GB,2021-04-21,2021-05-14,GP0000002,1.75,Anything world research ask hear her side.,RE00000004
MOV000019,"Adventures of Buckaroo Banzai, The",GB,2021-05-21,2021-05-23,GP0000020,1.0,Off notice yes resource brother my majority.,RE00000003
MOV000020,After Hours,GB,2021-08-03,2021-08-07,GP0000021,1.75,Often form teach others last significant rest.,RE00000003
MOV000021,After Life,GB,2021-11-27,2021-12-19,GP0000001,1.0,Morning despite shoulder.,RE00000002
MOV000022,Against the Wall,GB,2021-12-11,2022-01-04,GP0000022,1.75,Sound surface international water I event different sort.,RE00000004
MOV000023,"Aguirre, Wrath of God",GB,2021-09-14,2021-10-07,GP0000014,1.0,Citizen old little you.,RE00000004
MOV000024,Aiyyaa (2012),GB,2021-02-08,2021-03-04,GP0000008,2.0,Officer young past move so.,RE00000001
MOV000025,Akira,GB,2021-08-24,2021-09-02,GP0000015,1.0,A will down military event hear car.,RE00000004
MOV000026,Aladdin,GB,2021-11-03,2021-11-13,GP0000015,2.0,Reflect think hold foot sell toward.,RE00000002
MOV000027,Alan Partridge Alpha Papa,GB,2021-12-11,2021-12-28,GP0000008,1.0,Talk couple Republican recently likely high.,RE00000002
MOV000028,Alice in Wonderland,GB,2021-02-09,2021-03-06,GP0000020,1.0,Drop laugh expert represent tonight relate how.,RE00000002
MOV000029,Alien (Series),GB,2021-07-24,2021-07-25,GP0000012,2.0,Off worker seat responsibility owner some.,RE00000001
MOV000030,Alita Battle Angel,GB,2021-01-17,2021-01-28,GP0000002,2.0,Apply artist PM call join door.,RE00000003
MOV000031,All About Eve,GB,2021-08-31,2021-09-07,GP0000002,1.0,Space majority goal bag economy long at.,RE00000001
MOV000032,All Cheerleaders Die,GB,2021-09-20,2021-09-30,GP0000020,2.0,Cold fill certain body of writer increase.,RE00000004
MOV000033,All the Boys Love Mandy Lane,GB,2021-10-15,2021-11-02,GP0000002,1.75,Glass always draw area coach adult.,RE00000001
MOV000034,Alphaville,GB,2021-04-09,2021-05-04,GP0000003,2.0,Low such man attack movie reduce pull.,RE00000004
MOV000035,Altered States,GB,2021-02-03,2021-02-10,GP0000007,1.5,Pass approach sister class history.,RE00000004
MOV000036,Amadeus,GB,2021-05-17,2021-05-26,GP0000013,2.0,Same miss actually win risk.,RE00000001
MOV000037,Amar Akbar Anthony (1977),GB,2021-11-14,2021-11-24,GP0000002,1.5,Follow economy table phone least figure tough.,RE00000002
MOV000038,Amazon Women on the Moon,GB,2021-03-19,2021-04-15,GP0000010,2.0,South short for tonight heart yourself.,RE00000003
MOV000039,Amelie,GB,2021-03-19,2021-04-08,GP0000020,1.75,Us story attorney.,RE00000004
MOV000040,American Beauty,GB,2021-01-09,2021-01-19,GP0000006,2.0,By field movement discuss choice improve return.,RE00000002
MOV000041,American Buffalo,GB,2021-06-14,2021-06-18,GP0000023,2.0,See cause away instead crime tough quite feeling.,RE00000004
MOV000042,American History X,GB,2021-02-28,2021-03-15,GP0000006,2.0,Boy three treat.,RE00000002
MOV000043,American Honey,GB,2021-04-04,2021-04-06,GP0000018,1.75,Paper reduce avoid.,RE00000001
MOV000044,American Mary,GB,2021-07-25,2021-08-08,GP0000021,1.5,Quality method know himself concern three information product.,RE00000001
MOV000045,American Movie,GB,2021-09-28,2021-10-01,GP0000019,1.0,By third husband degree test friend another.,RE00000001
MOV000046,American Psycho,GB,2021-10-10,2021-10-27,GP0000007,1.75,Avoid to somebody difference officer again.,RE00000004
MOV000047,"American Scream, The",GB,2021-10-22,2021-11-06,GP0000021,1.0,Usually bad leave allow in natural cultural.,RE00000003
MOV000048,American Sniper,GB,2021-07-27,2021-08-08,GP0000025,1.0,Listen occur card beat edge open town.,RE00000003
MOV000049,An American Werewolf in London,GB,2021-06-14,2021-06-23,GP0000014,1.75,Since authority never entire media front history.,RE00000002
MOV000050,An Evening With Beverly Luff Linn,GB,2021-11-25,2021-12-09,GP0000014,1.75,Us sure sound because wide mean radio.,RE00000003
MOV000051,Anand (1971),GB,2021-10-01,2021-10-11,GP0000002,1.5,Her turn off tell industry.,RE00000001
MOV000052,Andaz Apna Apna (1994),GB,2021-07-08,2021-07-23,GP0000013,1.75,Drive store must court present manager data.,RE00000004
MOV000053,Angst,GB,2021-01-10,2021-01-13,GP0000011,2.0,Direction forget something from change money.,RE00000003
MOV000054,Ankur (1974),GB,2021-06-11,2021-07-10,GP0000002,1.5,Debate bag allow charge few.,RE00000001
MOV000055,Annie Hall,GB,2021-11-09,2021-12-03,GP0000019,1.5,Him somebody item person improve identify run treatment.,RE00000001
MOV000056,Anomalisa,GB,2021-02-04,2021-02-17,GP0000001,1.75,Create central item cold.,RE00000004
MOV000057,Antichrist,GB,2021-05-17,2021-05-25,GP0000007,1.75,Political beat some rise parent.,RE00000002
MOV000058,"Apartment, The",GB,2021-12-08,2022-01-04,GP0000007,1.75,Discuss matter agency question policy.,RE00000001
MOV000059,Apt Pupil,GB,2021-06-30,2021-07-29,GP0000022,1.5,Finally wear everybody risk right.,RE00000003
MOV000060,Ardh Satya (1983),GB,2021-04-10,2021-04-19,GP0000022,1.0,Year record draw sea oil lead nearly travel.,RE00000004
MOV000061,"Aristocrats, The",GB,2021-06-05,2021-06-18,GP0000016,2.0,Series individual factor save staff drop issue.,RE00000003
MOV000062,Arth (1982),GB,2021-03-16,2021-04-06,GP0000024,1.0,Player forward hard left son material blue.,RE00000003
MOV000063,"Artist, The",GB,2021-10-25,2021-11-05,GP0000020,1.75,Standard including although energy study drug.,RE00000001
MOV000064,"As Above, So Below",GB,2021-06-13,2021-06-27,GP0000014,1.75,Air generation activity late area involve.,RE00000002
MOV000065,As the Gods Will,GB,2021-09-25,2021-10-06,GP0000013,1.5,Minute case report.,RE00000004
