cliente_id,membresia_id
C00000001,MEM0000003
C00000002,MEM0000002
C00000003,MEM0000004
C00000004,MEM0000001
C00000005,MEM0000002
C00000006,MEM0000003
C00000007,MEM0000003
C00000008,MEM0000001
C00000009,MEM0000004
C00000010,MEM0000001
C00000011,MEM0000002
C00000012,MEM0000004
C00000013,MEM0000001
C00000014,MEM0000001
C00000015,MEM0000001
C00000016,MEM0000004
C00000017,MEM0000004
C00000018,MEM0000002
C00000019,MEM0000001
C00000020,MEM0000002
C00000021,MEM0000002
C00000022,MEM0000004
C00000023,MEM0000001
C00000024,MEM0000001
C00000025,MEM0000003
C00000026,MEM0000002
C00000027,MEM0000003
C00000028,MEM0000004
C00000029,MEM0000001
C00000030,MEM0000002
C00000031,MEM0000001
C00000032,MEM0000002
C00000033,MEM0000003
C00000034,MEM0000002
C00000035,MEM0000002
C00000036,MEM0000001
C00000037,MEM0000002
C00000038,MEM0000003
C00000039,MEM0000002
C00000040,MEM0000002
C00000041,MEM0000001
C00000042,MEM0000002
C00000043,MEM0000002
C00000044,MEM0000001
C00000045,MEM0000002
C00000046,MEM0000003
C00000047,MEM0000002
C00000048,MEM0000001
C00000049,MEM0000001
C00000050,MEM0000001
C00000051,MEM0000004
C00000052,MEM0000004
C00000053,MEM0000001
C00000054,MEM0000002
C00000055,MEM0000004
C00000056,MEM0000004
C00000057,MEM0000004
C00000058,MEM0000004
C00000059,MEM0000003
C00000060,MEM0000003
C00000061,MEM0000002
C00000062,MEM0000003
C00000063,MEM0000002
C00000064,MEM0000004
C00000065,MEM0000001
C00000066,MEM0000002
C00000067,MEM0000003
C00000068,MEM0000003
C00000069,MEM0000001
C00000070,MEM0000001
C00000071,MEM0000004
C00000072,MEM0000002
C00000073,MEM0000004
C00000074,MEM0000001
C00000075,MEM0000002
C00000076,MEM0000002
C00000077,MEM0000001
C00000078,MEM0000001
C00000079,MEM0000001
C00000080,MEM0000001
C00000081,MEM0000004
C00000082,MEM0000003
C00000083,MEM0000001
C00000084,MEM0000002
C00000085,MEM0000004
C00000086,MEM0000004
C00000087,MEM0000001
C00000088,MEM0000002
C00000089,MEM0000004
C00000090,MEM0000002
C00000091,MEM0000003
C00000092,MEM0000001
C00000093,MEM0000004
C00000094,MEM0000004
C00000095,MEM0000001
C00000096,MEM0000002
C00000097,MEM0000003
C00000098,MEM0000001
C00000099,MEM0000001
C00000100,MEM0000001
C00000101,MEM0000001
C00000102,MEM0000003
C00000103,MEM0000003
C00000104,MEM0000001
C00000105,MEM0000001
C00000106,MEM0000001
C00000107,MEM0000001
C00000108,MEM0000003
C00000109,MEM0000003
C00000110,MEM0000003
C00000111,MEM0000001
C00000112,MEM0000003
C00000113,MEM0000001
C00000114,MEM0000001
C00000115,MEM0000004
C00000116,MEM0000001
C00000117,MEM0000003
C00000118,MEM0000002
C00000119,MEM0000003
C00000120,MEM0000002
C00000121,MEM0000002
C00000122,MEM0000002
C00000123,MEM0000002
C00000124,MEM0000004
C00000125,MEM0000003
C00000126,MEM0000004
C00000127,MEM0000002
C00000128,MEM0000003
C00000129,MEM0000002
C00000130,MEM0000002
C00000131,MEM0000004
C00000132,MEM0000003
C00000133,MEM0000004
C00000134,MEM0000002
C00000135,MEM0000002
C00000136,MEM0000003
C00000137,MEM0000001
C00000138,MEM0000001
C00000139,MEM0000003
C00000140,MEM0000003
C00000141,MEM0000003
C00000142,MEM0000003
C00000143,MEM0000002
C00000144,MEM0000004
C00000145,MEM0000002
C00000146,MEM0000004
C00000147,MEM0000001
C00000148,MEM0000003
C00000149,MEM0000002
C00000150,MEM0000004
C00000151,MEM0000003
C00000152,MEM0000003
C00000153,MEM0000003
C00000154,MEM0000004
C00000155,MEM0000002
C00000156,MEM0000001
C00000157,MEM0000001
C00000158,MEM0000001
C00000159,MEM0000002
C00000160,MEM0000004
C00000161,MEM0000001
C00000162,MEM0000003
C00000163,MEM0000001
C00000164,MEM0000002
C00000165,MEM0000004
C00000166,MEM0000002
C00000167,MEM0000003
C00000168,MEM0000002
C00000169,MEM0000003
C00000170,MEM0000004
C00000171,MEM0000001
C00000172,MEM0000004
C00000173,MEM0000003
C00000174,MEM0000002
C00000175,MEM0000001
C00000176,MEM0000002
C00000177,MEM0000003
C00000178,MEM0000002
C00000179,MEM0000002
C00000180,MEM0000001
C00000181,MEM0000003
C00000182,MEM0000003
C00000183,MEM0000004
C00000184,MEM0000003
C00000185,MEM0000004
C00000186,MEM0000004
C00000187,MEM0000003
C00000188,MEM0000004
C00000189,MEM0000002
C00000190,MEM0000004
C00000191,MEM0000002
C00000192,MEM0000001
C00000193,MEM0000002
C00000194,MEM0000001
C00000195,MEM0000003
C00000196,MEM0000002
C00000197,MEM0000001
C00000198,MEM0000001
C00000199,MEM0000001
C00000200,MEM0000001
C00000201,MEM0000001
C00000202,MEM0000002
C00000203,MEM0000004
C00000204,MEM0000001
C00000205,MEM0000002
C00000206,MEM0000001
C00000207,MEM0000002
C00000208,MEM0000002
C00000209,MEM0000003
C00000210,MEM0000003
C00000211,MEM0000003
C00000212,MEM0000001
C00000213,MEM0000004
C00000214,MEM0000002
C00000215,MEM0000004
C00000216,MEM0000003
C00000217,MEM0000001
C00000218,MEM0000004
C00000219,MEM0000003
C00000220,MEM0000003
C00000221,MEM0000004
C00000222,MEM0000004
C00000223,MEM0000003
C00000224,MEM0000001
C00000225,MEM0000003
C00000226,MEM0000001
C00000227,MEM0000003
C00000228,MEM0000002
C00000229,MEM0000003
C00000230,MEM0000003
C00000231,MEM0000004
C00000232,MEM0000003
C00000233,MEM0000002
C00000234,MEM0000002
C00000235,MEM0000002
C00000236,MEM0000003
C00000237,MEM0000004
C00000238,MEM0000003
C00000239,MEM0000004
C00000240,MEM0000002
C00000241,MEM0000002
C00000242,MEM0000004
C00000243,MEM0000004
C00000244,MEM0000004
C00000245,MEM0000001
C00000246,MEM0000002
C00000247,MEM0000002
C00000248,MEM0000004
C00000249,MEM0000003
C00000250,MEM0000004
C00000251,MEM0000003
C00000252,MEM0000004
C00000253,MEM0000001
C00000254,MEM0000004
C00000255,MEM0000004
C00000256,MEM0000004
C00000257,MEM0000002
C00000258,MEM0000004
C00000259,MEM0000004
C00000260,MEM0000004
C00000261,MEM0000004
C00000262,MEM0000003
C00000263,MEM0000004
C00000264,MEM0000002
C00000265,MEM0000002
C00000266,MEM0000003
C00000267,MEM0000002
C00000268,MEM0000003
C00000269,MEM0000004
C00000270,MEM0000002
C00000271,MEM0000003
C00000272,MEM0000001
C00000273,MEM0000002
C00000274,MEM0000001
C00000275,MEM0000002
C00000276,MEM0000003
C00000277,MEM0000003
C00000278,MEM0000004
C00000279,MEM0000004
C00000280,MEM0000002
C00000281,MEM0000003
C00000282,MEM0000001
C00000283,MEM0000003
C00000284,MEM0000002
C00000285,MEM0000002
C00000286,MEM0000002
C00000287,MEM0000003
C00000288,MEM0000001
C00000289,MEM0000004
C00000290,MEM0000003
C00000291,MEM0000004
C00000292,MEM0000001
C00000293,MEM0000001
C00000294,MEM0000004
C00000295,MEM0000001
C00000296,MEM0000004
C00000297,MEM0000003
C00000298,MEM0000001
C00000299,MEM0000002
C00000300,MEM0000001
C00000301,MEM0000001
C00000302,MEM0000001
C00000303,MEM0000001
C00000304,MEM0000002
C00000305,MEM0000003
C00000306,MEM0000002
C00000307,MEM0000003
C00000308,MEM0000004
C00000309,MEM0000002
C00000310,MEM0000003
C00000311,MEM0000003
C00000312,MEM0000004
C00000313,MEM0000004
C00000314,MEM0000002
C00000315,MEM0000002
C00000316,MEM0000003
C00000317,MEM0000003
