id,colaborador_id,usuario_id,tipocolaborador_id
UC0000001,CL0000001,US0000001,TP00003
UC0000002,CL0000002,US0000002,TP00003
UC0000003,CL0000003,US0000003,TP00001
UC0000004,CL0000004,US0000004,TP00001
UC0000005,CL0000005,US0000005,TP00003
UC0000006,CL0000006,US0000006,TP00002
UC0000007,CL0000007,US0000007,TP00003
UC0000008,CL0000008,US0000008,TP00002
UC0000009,CL0000009,US0000009,TP00003
UC0000010,CL0000010,US0000010,TP00002
UC0000011,CL0000011,US0000011,TP00002
UC0000012,CL0000012,US0000012,TP00002
UC0000013,CL0000013,US0000013,TP00003
UC0000014,CL0000014,US0000014,TP00001
UC0000015,CL0000015,US0000015,TP00001
UC0000016,CL0000016,US0000016,TP00001
UC0000017,CL0000017,US0000017,TP00003
UC0000018,CL0000018,US0000018,TP00001
UC0000019,CL0000019,US0000019,TP00001
UC0000020,CL0000020,US0000020,TP00002
UC0000021,CL0000021,US0000021,TP00001
UC0000022,CL0000022,US0000022,TP00002
UC0000023,CL0000023,US0000023,TP00001
UC0000024,CL0000024,US0000024,TP00001
UC0000025,CL0000025,US0000025,TP00002
UC0000026,CL0000026,US0000026,TP00002
UC0000027,CL0000027,US0000027,TP00003
UC0000028,CL0000028,US0000028,TP00003
UC0000029,CL0000029,US0000029,TP00003
UC0000030,CL0000030,US0000030,TP00002
UC0000031,CL0000031,US0000031,TP00003
UC0000032,CL0000032,US0000032,TP00002
UC0000033,CL0000033,US0000033,TP00001
UC0000034,CL0000034,US0000034,TP00001
UC0000035,CL0000035,US0000035,TP00002
UC0000036,CL0000036,US0000036,TP00001
UC0000037,CL0000037,US0000037,TP00001
UC0000038,CL0000038,US0000038,TP00001
UC0000039,CL0000039,US0000039,TP00001
UC0000040,CL0000040,US0000040,TP00002
UC0000041,CL0000041,US0000041,TP00003
UC0000042,CL0000042,US0000042,TP00003
UC0000043,CL0000043,US0000043,TP00003
UC0000044,CL0000044,US0000044,TP00002
UC0000045,CL0000045,US0000045,TP00002
UC0000046,CL0000046,US0000046,TP00002
UC0000047,CL0000047,US0000047,TP00003
UC0000048,CL0000048,US0000048,TP00001
UC0000049,CL0000049,US0000049,TP00001
UC0000050,CL0000050,US0000050,TP00001
UC0000051,CL0000051,US0000051,TP00002
UC0000052,CL0000052,US0000052,TP00001
UC0000053,CL0000053,US0000053,TP00003
UC0000054,CL0000054,US0000054,TP00003
UC0000055,CL0000055,US0000055,TP00001
UC0000056,CL0000056,US0000056,TP00001
