id,venta_id
EN0000001,VE0074190
EN0000002,VE0028234
EN0000003,VE0058828
EN0000004,VE0010664
EN0000005,VE0082047
EN0000006,VE0095513
EN0000007,VE0017710
EN0000008,VE0091270
EN0000009,VE0014826
EN0000010,VE0053871
EN0000011,VE0031115
EN0000012,VE0054833
EN0000013,VE0041142
EN0000014,VE0030035
EN0000015,VE0002640
EN0000016,VE0016405
EN0000017,VE0082314
EN0000018,VE0046469
EN0000019,VE0023402
EN0000020,VE0024439
EN0000021,VE0040389
EN0000022,VE0008291
EN0000023,VE0086110
EN0000024,VE0080003
EN0000025,VE0022558
EN0000026,VE0042815
EN0000027,VE0068463
EN0000028,VE0035497
EN0000029,VE0024021
EN0000030,VE0095979
EN0000031,VE0067253
EN0000032,VE0038378
EN0000033,VE0062129
EN0000034,VE0083935
EN0000035,VE0035261
EN0000036,VE0022400
EN0000037,VE0005687
EN0000038,VE0093929
EN0000039,VE0042828
EN0000040,VE0003888
EN0000041,VE0011041
EN0000042,VE0045332
EN0000043,VE0068080
EN0000044,VE0041603
EN0000045,VE0002644
EN0000046,VE0096373
EN0000047,VE0002704
EN0000048,VE0026352
EN0000049,VE0075399
EN0000050,VE0005928
EN0000051,VE0094475
EN0000052,VE0086491
EN0000053,VE0011253
EN0000054,VE0096042
EN0000055,VE0055286
EN0000056,VE0092106
EN0000057,VE0000064
EN0000058,VE0040372
EN0000059,VE0042685
EN0000060,VE0033930
EN0000061,VE0036573
EN0000062,VE0098234
EN0000063,VE0088061
EN0000064,VE0050753
EN0000065,VE0057849
EN0000066,VE0039542
EN0000067,VE0019386
EN0000068,VE0079249
EN0000069,VE0037170
EN0000070,VE0046038
EN0000071,VE0096921
EN0000072,VE0000384
EN0000073,VE0095018
EN0000074,VE0025079
EN0000075,VE0021854
EN0000076,VE0000739
EN0000077,VE0083050
EN0000078,VE0010967
EN0000079,VE0063985
EN0000080,VE0097682
EN0000081,VE0029256
EN0000082,VE0076667
EN0000083,VE0022244
EN0000084,VE0009013
EN0000085,VE0068077
EN0000086,VE0005083
EN0000087,VE0021422
EN0000088,VE0046124
EN0000089,VE0098858
EN0000090,VE0075224
EN0000091,VE0007937
EN0000092,VE0066348
EN0000093,VE0084152
EN0000094,VE0015993
EN0000095,VE0079909
EN0000096,VE0038783
EN0000097,VE0014263
EN0000098,VE0056148
EN0000099,VE0097047
EN0000100,VE0093479
EN0000101,VE0081909
EN0000102,VE0097733
EN0000103,VE0056293
EN0000104,VE0059043
EN0000105,VE0021717
EN0000106,VE0018182
EN0000107,VE0041928
EN0000108,VE0088865
EN0000109,VE0080084
EN0000110,VE0026572
EN0000111,VE0034915
EN0000112,VE0034747
EN0000113,VE0086015
EN0000114,VE0072930
EN0000115,VE0004587
EN0000116,VE0061070
EN0000117,VE0014133
EN0000118,VE0021471
EN0000119,VE0073744
EN0000120,VE0049534
EN0000121,VE0067294
EN0000122,VE0070721
EN0000123,VE0051795
EN0000124,VE0022381
EN0000125,VE0016716
EN0000126,VE0021162
EN0000127,VE0094126
EN0000128,VE0059413
EN0000129,VE0097020
EN0000130,VE0087298
EN0000131,VE0021309
EN0000132,VE0054133
EN0000133,VE0056778
EN0000134,VE0001166
EN0000135,VE0037113
EN0000136,VE0029222
EN0000137,VE0053999
EN0000138,VE0030378
EN0000139,VE0023788
EN0000140,VE0028424
EN0000141,VE0000215
EN0000142,VE0039712
EN0000143,VE0062825
EN0000144,VE0055211
EN0000145,VE0002975
EN0000146,VE0044175
EN0000147,VE0035433
EN0000148,VE0048612
EN0000149,VE0093037
EN0000150,VE0018043
EN0000151,VE0038098
EN0000152,VE0023535
EN0000153,VE0092309
EN0000154,VE0021194
EN0000155,VE0071100
EN0000156,VE0035059
