venta_id,producto_id,cantidad,precio
VE0050469,PR0000073,4,60
VE0026455,PR0000197,5,105
VE0062694,PR0000003,5,90
VE0066322,PR0000374,2,36
VE0090928,PR0000087,4,144
VE0026939,PR0000182,1,15
VE0070837,PR0000133,5,90
VE0020139,PR0000362,4,64
VE0032145,PR0000092,3,150
VE0015826,PR0000193,4,192
VE0031927,PR0000164,4,132
VE0074169,PR0000162,5,215
VE0089945,PR0000407,5,170
VE0026366,PR0000277,2,58
VE0093839,PR0000148,1,12
VE0021276,PR0000352,4,80
VE0053268,PR0000108,1,50
VE0003166,PR0000174,3,63
VE0084691,PR0000332,5,235
VE0082156,PR0000159,3,150
VE0039310,PR0000371,3,30
VE0034258,PR0000309,1,35
VE0058756,PR0000138,3,117
VE0040329,PR0000188,4,76
VE0019838,PR0000345,4,120
VE0026371,PR0000397,2,54
VE0008511,PR0000294,4,176
VE0058787,PR0000324,3,75
VE0054534,PR0000304,2,60
VE0069553,PR0000251,4,124
VE0055338,PR0000197,2,42
VE0077085,PR0000335,2,22
VE0017622,PR0000353,3,39
VE0008543,PR0000390,3,126
VE0032448,PR0000409,4,128
VE0029532,PR0000336,2,86
VE0043006,PR0000033,2,68
VE0056956,PR0000290,2,80
VE0074846,PR0000231,5,210
VE0047296,PR0000397,4,108
VE0052645,PR0000183,1,15
VE0002576,PR0000200,1,16
VE0022510,PR0000196,3,57
VE0019860,PR0000346,3,114
VE0088902,PR0000330,5,130
VE0046427,PR0000223,2,78
VE0096647,PR0000358,5,175
VE0087243,PR0000330,1,26
VE0015058,PR0000093,4,100
VE0084732,PR0000135,1,30
VE0072124,PR0000209,3,108
VE0098764,PR0000065,4,176
VE0041457,PR0000112,2,56
VE0031443,PR0000248,5,220
VE0028441,PR0000225,2,72
VE0064427,PR0000294,2,88
VE0080742,PR0000276,1,37
VE0032641,PR0000241,1,11
VE0034664,PR0000340,1,37
VE0071923,PR0000271,2,28
VE0052786,PR0000254,4,68
VE0085263,PR0000358,4,140
VE0021595,PR0000157,4,188
VE0038203,PR0000095,5,135
VE0041796,PR0000361,4,112
VE0062110,PR0000093,1,25
VE0050500,PR0000071,3,51
VE0031367,PR0000047,1,33
VE0035785,PR0000094,2,20
VE0030432,PR0000199,1,20
VE0061011,PR0000001,4,188
VE0031566,PR0000403,3,30
VE0049352,PR0000268,4,176
VE0018812,PR0000278,5,210
VE0050757,PR0000372,5,170
VE0012831,PR0000335,4,44
VE0071997,PR0000311,2,86
VE0015432,PR0000290,2,80
VE0070825,PR0000181,3,39
VE0024499,PR0000364,5,170
VE0066742,PR0000133,5,90
VE0003681,PR0000141,1,42
VE0054351,PR0000330,5,130
VE0047972,PR0000343,1,46
VE0086414,PR0000024,1,13
VE0066487,PR0000255,2,82
VE0054487,PR0000094,4,40
VE0002765,PR0000162,4,172
VE0097548,PR0000162,3,129
VE0087966,PR0000104,3,138
VE0044182,PR0000188,4,76
VE0071675,PR0000236,1,29
VE0016999,PR0000097,4,120
VE0083088,PR0000097,5,150
VE0004804,PR0000109,4,44
VE0058762,PR0000012,2,42
VE0008857,PR0000172,1,49
VE0030262,PR0000117,2,42
VE0029224,PR0000117,2,42
VE0092744,PR0000297,3,147
VE0062535,PR0000353,1,13
VE0055085,PR0000229,2,36
VE0064773,PR0000180,3,93
VE0083740,PR0000324,2,50
VE0071171,PR0000189,2,24
VE0091859,PR0000136,5,75
VE0016546,PR0000050,5,85
VE0041872,PR0000258,2,86
VE0038730,PR0000322,3,120
VE0038881,PR0000401,5,155
VE0030974,PR0000051,2,32
VE0004177,PR0000019,2,32
VE0017315,PR0000230,2,34
VE0096261,PR0000269,3,48
VE0075585,PR0000116,2,74
VE0048545,PR0000320,1,32
VE0035093,PR0000025,1,16
VE0030880,PR0000362,4,64
VE0037589,PR0000145,1,41
VE0093427,PR0000143,2,22
VE0024749,PR0000168,1,32
VE0017850,PR0000178,2,26
VE0094828,PR0000299,2,32
VE0081863,PR0000122,3,147
VE0022391,PR0000265,5,55
VE0015969,PR0000112,1,28
VE0045259,PR0000369,4,104
VE0015047,PR0000199,4,80
VE0016249,PR0000137,5,250
VE0043095,PR0000319,2,24
VE0096478,PR0000045,2,82
VE0007226,PR0000216,2,42
VE0064210,PR0000408,4,148
VE0056638,PR0000214,5,90
VE0009375,PR0000181,2,26
VE0070367,PR0000307,4,180
VE0002101,PR0000305,3,75
VE0060385,PR0000341,5,210
VE0007291,PR0000147,1,36
VE0070911,PR0000294,3,132
VE0005124,PR0000343,1,46
VE0071177,PR0000332,4,188
VE0009519,PR0000023,2,46
VE0027565,PR0000165,1,28
VE0042585,PR0000089,2,20
VE0094069,PR0000105,5,120
VE0022919,PR0000153,3,114
VE0093809,PR0000337,3,138
VE0014332,PR0000150,4,192
VE0048817,PR0000003,5,90
VE0076620,PR0000302,4,96
VE0037529,PR0000058,1,20
VE0032389,PR0000244,4,56
VE0007368,PR0000241,4,44
VE0092941,PR0000073,2,30
VE0043982,PR0000325,2,24
VE0000175,PR0000122,1,49
VE0002644,PR0000302,4,96
VE0034840,PR0000194,4,64
VE0035804,PR0000036,2,60
VE0093749,PR0000220,3,60
VE0047794,PR0000111,5,215
VE0020249,PR0000202,5,85
VE0050427,PR0000256,4,112
VE0049921,PR0000308,1,29
VE0082514,PR0000028,2,78
VE0042475,PR0000355,5,200
VE0030906,PR0000264,4,168
VE0018286,PR0000113,4,52
VE0045528,PR0000323,2,100
VE0014400,PR0000240,2,66
VE0055225,PR0000134,4,168
VE0085937,PR0000032,1,19
VE0020666,PR0000393,5,165
VE0076910,PR0000294,3,132
VE0084399,PR0000022,4,88
VE0044570,PR0000041,5,240
VE0030155,PR0000202,3,51
VE0058579,PR0000282,5,155
VE0010553,PR0000403,3,30
VE0097331,PR0000091,1,42
VE0028720,PR0000304,5,150
VE0075118,PR0000011,3,96
VE0076083,PR0000310,2,76
VE0085959,PR0000265,5,55
VE0042815,PR0000249,1,30
VE0071028,PR0000405,4,124
VE0048116,PR0000028,5,195
VE0054586,PR0000283,4,104
VE0029737,PR0000006,5,145
VE0001339,PR0000217,3,93
VE0046169,PR0000052,5,175
VE0077142,PR0000278,5,210
VE0080362,PR0000355,1,40
VE0006071,PR0000264,5,210
VE0099516,PR0000332,4,188
VE0070161,PR0000189,2,24
VE0099488,PR0000138,4,156
VE0021629,PR0000367,4,192
VE0098836,PR0000043,1,16
VE0093610,PR0000291,5,100
VE0085607,PR0000005,3,123
VE0039997,PR0000386,5,65
VE0089050,PR0000230,4,68
VE0064414,PR0000400,4,116
VE0016235,PR0000395,4,164
VE0078996,PR0000194,3,48
VE0010959,PR0000122,4,196
VE0045975,PR0000371,5,50
VE0010934,PR0000004,1,45
VE0002872,PR0000269,5,80
VE0062224,PR0000025,3,48
VE0050339,PR0000180,2,62
VE0060537,PR0000318,5,130
VE0003705,PR0000072,5,50
VE0047275,PR0000083,5,200
VE0056041,PR0000363,5,140
VE0002477,PR0000196,3,57
VE0013779,PR0000088,4,200
VE0086501,PR0000198,2,42
VE0028993,PR0000161,3,51
VE0065465,PR0000021,5,110
VE0092611,PR0000250,5,105
VE0017074,PR0000049,3,48
VE0058282,PR0000258,5,215
VE0055223,PR0000195,5,90
VE0021067,PR0000085,1,29
VE0084968,PR0000323,4,200
VE0018892,PR0000095,4,108
VE0017866,PR0000238,5,230
VE0033593,PR0000313,4,164
VE0073344,PR0000254,3,51
VE0050244,PR0000070,5,170
VE0088761,PR0000281,1,16
VE0092869,PR0000023,4,92
VE0096371,PR0000215,4,196
VE0033254,PR0000020,5,170
VE0036587,PR0000151,5,155
VE0045212,PR0000093,3,75
VE0032044,PR0000105,1,24
VE0018301,PR0000356,5,140
VE0075635,PR0000126,4,76
VE0090526,PR0000247,4,184
VE0064334,PR0000092,2,100
VE0018575,PR0000321,5,240
VE0002265,PR0000118,1,29
VE0046803,PR0000039,5,80
VE0072282,PR0000106,4,112
VE0047381,PR0000391,5,240
VE0061854,PR0000315,5,200
VE0072939,PR0000264,2,84
VE0045137,PR0000248,5,220
VE0031807,PR0000036,1,30
VE0015043,PR0000268,4,176
VE0059955,PR0000280,3,57
VE0007135,PR0000029,2,68
VE0058781,PR0000045,1,41
VE0076932,PR0000012,5,105
VE0032940,PR0000375,1,30
VE0014065,PR0000067,4,168
VE0098223,PR0000155,5,120
VE0046656,PR0000103,5,60
VE0086772,PR0000387,1,45
VE0019645,PR0000067,4,168
VE0039317,PR0000178,5,65
VE0069898,PR0000235,2,60
VE0079091,PR0000212,3,78
VE0090703,PR0000380,2,90
VE0026833,PR0000389,3,102
VE0017351,PR0000166,5,190
VE0030460,PR0000183,2,30
VE0068886,PR0000309,3,105
VE0061211,PR0000219,1,16
VE0056235,PR0000074,2,80
VE0063209,PR0000167,3,150
VE0060771,PR0000144,5,235
VE0008944,PR0000141,5,210
VE0053411,PR0000227,4,168
VE0094422,PR0000346,1,38
VE0085850,PR0000407,4,136
VE0034582,PR0000200,4,64
VE0030986,PR0000330,1,26
VE0072535,PR0000279,5,140
VE0095231,PR0000402,4,148
VE0090463,PR0000329,3,84
VE0059221,PR0000098,1,39
VE0052023,PR0000372,2,68
VE0028792,PR0000330,1,26
VE0031147,PR0000315,3,120
VE0056325,PR0000231,1,42
VE0078776,PR0000065,5,220
VE0074120,PR0000194,3,48
VE0045613,PR0000314,4,96
VE0078123,PR0000048,4,196
VE0067249,PR0000124,5,115
VE0042569,PR0000056,1,46
VE0044417,PR0000049,2,32
VE0093843,PR0000354,1,11
VE0047008,PR0000127,5,95
VE0037869,PR0000358,5,175
VE0013315,PR0000360,1,12
VE0084247,PR0000307,1,45
VE0040558,PR0000050,2,34
VE0064131,PR0000158,1,34
VE0013501,PR0000185,4,48
VE0033539,PR0000253,1,43
VE0090600,PR0000384,3,63
VE0092379,PR0000089,1,10
VE0018181,PR0000201,4,52
VE0096152,PR0000170,4,88
VE0067626,PR0000180,4,124
VE0076149,PR0000037,4,136
VE0051460,PR0000022,5,110
VE0013885,PR0000193,4,192
VE0015285,PR0000302,3,72
VE0081031,PR0000387,5,225
VE0080739,PR0000069,2,26
VE0032212,PR0000339,4,56
VE0065930,PR0000398,5,235
VE0005234,PR0000263,5,215
VE0094470,PR0000001,1,47
VE0050153,PR0000117,3,63
VE0022490,PR0000002,4,96
VE0095874,PR0000380,2,90
VE0072010,PR0000246,1,24
VE0033495,PR0000358,2,70
VE0051030,PR0000209,5,180
VE0089173,PR0000125,3,81
VE0026433,PR0000392,4,148
VE0021717,PR0000209,3,108
VE0098705,PR0000192,4,168
VE0085094,PR0000154,1,14
VE0046027,PR0000030,2,44
VE0039816,PR0000168,3,96
