id,nivel_permiso
CL0000001,megausuario
CL0000002,megausuario
CL0000003,megausuario
CL0000004,megausuario
CL0000005,superusuario
CL0000006,megausuario
CL0000007,superusuario
CL0000008,superusuario
CL0000009,megausuario
CL0000010,megausuario
CL0000011,megausuario
CL0000012,megausuario
CL0000013,megausuario
CL0000014,megausuario
CL0000015,megausuario
CL0000016,megausuario
CL0000017,superusuario
CL0000018,superusuario
CL0000019,superusuario
CL0000020,megausuario
CL0000021,megausuario
CL0000022,megausuario
CL0000023,megausuario
CL0000024,superusuario
CL0000025,megausuario
CL0000026,superusuario
CL0000027,megausuario
CL0000028,megausuario
CL0000029,megausuario
CL0000030,megausuario
CL0000031,superusuario
CL0000032,superusuario
CL0000033,superusuario
CL0000034,superusuario
CL0000035,superusuario
CL0000036,megausuario
CL0000037,megausuario
CL0000038,megausuario
CL0000039,superusuario
CL0000040,superusuario
CL0000041,superusuario
CL0000042,superusuario
CL0000043,superusuario
CL0000044,superusuario
CL0000045,megausuario
CL0000046,superusuario
CL0000047,superusuario
CL0000048,superusuario
CL0000049,megausuario
CL0000050,superusuario
CL0000051,megausuario
CL0000052,megausuario
CL0000053,megausuario
CL0000054,megausuario
CL0000055,superusuario
CL0000056,superusuario
CL0000057,superusuario
CL0000058,superusuario
CL0000059,megausuario
CL0000060,superusuario
CL0000061,megausuario
CL0000062,superusuario
CL0000063,megausuario
CL0000064,megausuario
CL0000065,superusuario
CL0000066,superusuario
CL0000067,megausuario
CL0000068,superusuario
CL0000069,superusuario
CL0000070,megausuario
CL0000071,megausuario
CL0000072,superusuario
CL0000073,superusuario
CL0000074,megausuario
CL0000075,megausuario
CL0000076,superusuario
CL0000077,superusuario
CL0000078,superusuario
CL0000079,superusuario
CL0000080,superusuario
CL0000081,megausuario
CL0000082,superusuario
CL0000083,superusuario
CL0000084,superusuario
CL0000085,superusuario
CL0000086,superusuario
CL0000087,megausuario
CL0000088,megausuario
CL0000089,superusuario
CL0000090,megausuario
CL0000091,megausuario
CL0000092,megausuario
CL0000093,megausuario
CL0000094,superusuario
CL0000095,superusuario
CL0000096,megausuario
CL0000097,megausuario
CL0000098,superusuario
CL0000099,superusuario
CL0000100,megausuario
CL0000101,superusuario
CL0000102,superusuario
CL0000103,superusuario
CL0000104,megausuario
CL0000105,megausuario
CL0000106,superusuario
CL0000107,superusuario
CL0000108,superusuario
CL0000109,megausuario
CL0000110,superusuario
CL0000111,megausuario
CL0000112,superusuario
CL0000113,superusuario
CL0000114,superusuario
CL0000115,megausuario
CL0000116,megausuario
CL0000117,megausuario
CL0000118,superusuario
CL0000119,superusuario
CL0000120,megausuario
CL0000121,megausuario
CL0000122,superusuario
CL0000123,megausuario
CL0000124,megausuario
CL0000125,superusuario
CL0000126,megausuario
CL0000127,superusuario
CL0000128,megausuario
CL0000129,megausuario
CL0000130,megausuario
CL0000131,megausuario
CL0000132,megausuario
CL0000133,megausuario
CL0000134,megausuario
CL0000135,megausuario
CL0000136,megausuario
CL0000137,megausuario
CL0000138,superusuario
CL0000139,megausuario
CL0000140,superusuario
CL0000141,megausuario
CL0000142,superusuario
CL0000143,megausuario
CL0000144,megausuario
CL0000145,superusuario
CL0000146,megausuario
CL0000147,megausuario
CL0000148,megausuario
CL0000149,superusuario
CL0000150,megausuario
CL0000151,superusuario
CL0000152,megausuario
CL0000153,superusuario
CL0000154,superusuario
CL0000155,superusuario
CL0000156,superusuario
CL0000157,megausuario
CL0000158,megausuario
CL0000159,superusuario
CL0000160,superusuario
CL0000161,superusuario
CL0000162,megausuario
CL0000163,megausuario
CL0000164,megausuario
CL0000165,megausuario
CL0000166,megausuario
CL0000167,megausuario
CL0000168,megausuario
CL0000169,superusuario
CL0000170,superusuario
CL0000171,superusuario
CL0000172,superusuario
CL0000173,superusuario
CL0000174,superusuario
CL0000175,megausuario
CL0000176,superusuario
CL0000177,megausuario
CL0000178,megausuario
CL0000179,superusuario
CL0000180,superusuario
CL0000181,superusuario
CL0000182,megausuario
CL0000183,superusuario
CL0000184,megausuario
CL0000185,megausuario
CL0000186,superusuario
CL0000187,megausuario
CL0000188,superusuario
CL0000189,superusuario
CL0000190,megausuario
CL0000191,superusuario
CL0000192,megausuario
CL0000193,superusuario
CL0000194,megausuario
CL0000195,megausuario
CL0000196,megausuario
CL0000197,superusuario
CL0000198,superusuario
CL0000199,superusuario
CL0000200,megausuario
CL0000201,superusuario
CL0000202,superusuario
CL0000203,superusuario
CL0000204,megausuario
CL0000205,megausuario
CL0000206,megausuario
CL0000207,superusuario
CL0000208,megausuario
CL0000209,megausuario
CL0000210,megausuario
CL0000211,superusuario
CL0000212,superusuario
CL0000213,superusuario
CL0000214,megausuario
CL0000215,superusuario
CL0000216,superusuario
CL0000217,megausuario
CL0000218,superusuario
CL0000219,superusuario
CL0000220,superusuario
CL0000221,superusuario
CL0000222,superusuario
CL0000223,superusuario
CL0000224,superusuario
CL0000225,megausuario
CL0000226,megausuario
CL0000227,megausuario
CL0000228,megausuario
CL0000229,superusuario
CL0000230,superusuario
CL0000231,megausuario
CL0000232,superusuario
CL0000233,megausuario
CL0000234,megausuario
CL0000235,megausuario
CL0000236,megausuario
CL0000237,megausuario
CL0000238,megausuario
CL0000239,superusuario
CL0000240,megausuario
CL0000241,megausuario
CL0000242,superusuario
CL0000243,megausuario
CL0000244,superusuario
CL0000245,megausuario
CL0000246,superusuario
CL0000247,superusuario
CL0000248,megausuario
CL0000249,megausuario
CL0000250,megausuario
CL0000251,superusuario
CL0000252,megausuario
CL0000253,superusuario
CL0000254,superusuario
CL0000255,superusuario
CL0000256,superusuario
CL0000257,superusuario
CL0000258,megausuario
CL0000259,superusuario
CL0000260,megausuario
CL0000261,megausuario
CL0000262,superusuario
CL0000263,superusuario
CL0000264,superusuario
CL0000265,superusuario
CL0000266,megausuario
CL0000267,megausuario
CL0000268,superusuario
CL0000269,megausuario
CL0000270,superusuario
CL0000271,superusuario
CL0000272,megausuario
CL0000273,superusuario
CL0000274,megausuario
CL0000275,megausuario
CL0000276,megausuario
CL0000277,megausuario
CL0000278,superusuario
CL0000279,megausuario
CL0000280,megausuario
CL0000281,megausuario
CL0000282,superusuario
CL0000283,superusuario
CL0000284,megausuario
CL0000285,superusuario
CL0000286,superusuario
CL0000287,megausuario
CL0000288,megausuario
CL0000289,megausuario
CL0000290,superusuario
CL0000291,superusuario
CL0000292,superusuario
CL0000293,megausuario
CL0000294,superusuario
CL0000295,superusuario
CL0000296,superusuario
CL0000297,megausuario
CL0000298,megausuario
CL0000299,superusuario
CL0000300,superusuario
CL0000301,superusuario
CL0000302,megausuario
CL0000303,superusuario
CL0000304,superusuario
CL0000305,megausuario
CL0000306,superusuario
CL0000307,superusuario
CL0000308,superusuario
CL0000309,superusuario
CL0000310,megausuario
CL0000311,superusuario
CL0000312,megausuario
CL0000313,superusuario
CL0000314,superusuario
CL0000315,superusuario
CL0000316,superusuario
CL0000317,megausuario
CL0000318,megausuario
CL0000319,megausuario
CL0000320,superusuario
CL0000321,superusuario
CL0000322,superusuario
CL0000323,superusuario
CL0000324,superusuario
CL0000325,superusuario
CL0000326,superusuario
CL0000327,superusuario
CL0000328,superusuario
CL0000329,megausuario
CL0000330,megausuario
CL0000331,superusuario
CL0000332,superusuario
CL0000333,superusuario
CL0000334,megausuario
CL0000335,megausuario
CL0000336,superusuario
CL0000337,megausuario
CL0000338,megausuario
CL0000339,megausuario
CL0000340,megausuario
CL0000341,megausuario
CL0000342,megausuario
CL0000343,megausuario
CL0000344,superusuario
CL0000345,superusuario
CL0000346,megausuario
CL0000347,superusuario
CL0000348,superusuario
CL0000349,superusuario
CL0000350,superusuario
CL0000351,megausuario
CL0000352,megausuario
CL0000353,superusuario
CL0000354,superusuario
CL0000355,superusuario
CL0000356,superusuario
CL0000357,megausuario
CL0000358,superusuario
CL0000359,megausuario
CL0000360,megausuario
CL0000361,megausuario
CL0000362,megausuario
CL0000363,superusuario
CL0000364,megausuario
CL0000365,superusuario
CL0000366,megausuario
CL0000367,megausuario
CL0000368,superusuario
CL0000369,superusuario
CL0000370,megausuario
CL0000371,megausuario
CL0000372,superusuario
CL0000373,megausuario
CL0000374,megausuario
CL0000375,megausuario
CL0000376,megausuario
CL0000377,superusuario
CL0000378,megausuario
CL0000379,superusuario
CL0000380,megausuario
CL0000381,superusuario
CL0000382,superusuario
CL0000383,superusuario
CL0000384,megausuario
CL0000385,megausuario
CL0000386,superusuario
CL0000387,megausuario
CL0000388,superusuario
CL0000389,superusuario
CL0000390,megausuario
CL0000391,megausuario
CL0000392,megausuario
CL0000393,megausuario
CL0000394,superusuario
CL0000395,superusuario
CL0000396,megausuario
CL0000397,superusuario
CL0000398,superusuario
CL0000399,megausuario
CL0000400,superusuario
CL0000401,megausuario
CL0000402,megausuario
CL0000403,megausuario
CL0000404,superusuario
CL0000405,megausuario
CL0000406,superusuario
CL0000407,superusuario
CL0000408,superusuario
CL0000409,superusuario
CL0000410,megausuario
CL0000411,megausuario
CL0000412,superusuario
CL0000413,superusuario
CL0000414,megausuario
CL0000415,megausuario
CL0000416,superusuario
CL0000417,megausuario
CL0000418,megausuario
CL0000419,megausuario
CL0000420,superusuario
CL0000421,superusuario
CL0000422,superusuario
CL0000423,megausuario
CL0000424,megausuario
CL0000425,megausuario
CL0000426,superusuario
CL0000427,megausuario
CL0000428,megausuario
CL0000429,superusuario
CL0000430,superusuario
CL0000431,megausuario
CL0000432,megausuario
CL0000433,superusuario
CL0000434,superusuario
CL0000435,superusuario
CL0000436,superusuario
CL0000437,superusuario
CL0000438,superusuario
CL0000439,megausuario
CL0000440,megausuario
CL0000441,megausuario
CL0000442,superusuario
CL0000443,megausuario
CL0000444,megausuario
CL0000445,megausuario
CL0000446,superusuario
CL0000447,megausuario
CL0000448,superusuario
CL0000449,megausuario
CL0000450,superusuario
CL0000451,superusuario
CL0000452,superusuario
CL0000453,superusuario
CL0000454,megausuario
CL0000455,megausuario
CL0000456,megausuario
CL0000457,megausuario
CL0000458,megausuario
CL0000459,superusuario
CL0000460,megausuario
CL0000461,superusuario
CL0000462,megausuario
CL0000463,megausuario
CL0000464,megausuario
CL0000465,superusuario
CL0000466,megausuario
CL0000467,megausuario
CL0000468,superusuario
CL0000469,megausuario
CL0000470,megausuario
CL0000471,superusuario
CL0000472,superusuario
CL0000473,megausuario
CL0000474,megausuario
CL0000475,superusuario
CL0000476,superusuario
CL0000477,megausuario
CL0000478,megausuario
CL0000479,megausuario
CL0000480,megausuario
CL0000481,megausuario
CL0000482,superusuario
CL0000483,superusuario
CL0000484,superusuario
CL0000485,superusuario
CL0000486,superusuario
CL0000487,superusuario
CL0000488,megausuario
CL0000489,superusuario
CL0000490,megausuario
CL0000491,superusuario
CL0000492,superusuario
CL0000493,megausuario
CL0000494,superusuario
CL0000495,superusuario
CL0000496,superusuario
CL0000497,megausuario
CL0000498,superusuario
CL0000499,superusuario
CL0000500,megausuario
CL0000501,megausuario
CL0000502,megausuario
CL0000503,megausuario
CL0000504,superusuario
CL0000505,megausuario
CL0000506,superusuario
CL0000507,megausuario
CL0000508,superusuario
CL0000509,megausuario
CL0000510,megausuario
CL0000511,megausuario
CL0000512,superusuario
CL0000513,superusuario
CL0000514,superusuario
CL0000515,megausuario
CL0000516,megausuario
CL0000517,megausuario
CL0000518,megausuario
CL0000519,superusuario
CL0000520,megausuario
CL0000521,superusuario
CL0000522,megausuario
CL0000523,megausuario
CL0000524,superusuario
CL0000525,megausuario
CL0000526,megausuario
CL0000527,superusuario
CL0000528,superusuario
CL0000529,superusuario
CL0000530,superusuario
CL0000531,superusuario
CL0000532,megausuario
CL0000533,megausuario
CL0000534,superusuario
CL0000535,megausuario
CL0000536,megausuario
CL0000537,superusuario
CL0000538,megausuario
CL0000539,superusuario
CL0000540,superusuario
CL0000541,megausuario
CL0000542,superusuario
CL0000543,superusuario
CL0000544,megausuario
CL0000545,megausuario
CL0000546,megausuario
CL0000547,megausuario
CL0000548,megausuario
CL0000549,megausuario
CL0000550,superusuario
CL0000551,megausuario
CL0000552,superusuario
CL0000553,superusuario
CL0000554,megausuario
CL0000555,megausuario
CL0000556,megausuario
CL0000557,superusuario
CL0000558,superusuario
CL0000559,megausuario
CL0000560,megausuario
CL0000561,megausuario
CL0000562,megausuario
CL0000563,superusuario
CL0000564,superusuario
CL0000565,megausuario
CL0000566,megausuario
CL0000567,megausuario
CL0000568,superusuario
CL0000569,megausuario
CL0000570,megausuario
CL0000571,megausuario
CL0000572,megausuario
CL0000573,megausuario
CL0000574,superusuario
CL0000575,megausuario
CL0000576,megausuario
CL0000577,megausuario
CL0000578,superusuario
CL0000579,megausuario
CL0000580,megausuario
CL0000581,megausuario
CL0000582,superusuario
CL0000583,superusuario
CL0000584,megausuario
CL0000585,superusuario
CL0000586,superusuario
CL0000587,superusuario
CL0000588,megausuario
CL0000589,superusuario
CL0000590,superusuario
CL0000591,superusuario
CL0000592,megausuario
CL0000593,megausuario
CL0000594,superusuario
CL0000595,superusuario
CL0000596,megausuario
CL0000597,megausuario
CL0000598,megausuario
CL0000599,megausuario
CL0000600,superusuario
CL0000601,superusuario
CL0000602,superusuario
CL0000603,megausuario
CL0000604,megausuario
CL0000605,megausuario
CL0000606,megausuario
CL0000607,superusuario
CL0000608,superusuario
CL0000609,megausuario
CL0000610,superusuario
CL0000611,superusuario
CL0000612,superusuario
CL0000613,megausuario
CL0000614,megausuario
CL0000615,megausuario
CL0000616,superusuario
CL0000617,megausuario
CL0000618,megausuario
CL0000619,megausuario
CL0000620,megausuario
CL0000621,megausuario
CL0000622,megausuario
CL0000623,superusuario
CL0000624,megausuario
CL0000625,superusuario
CL0000626,superusuario
CL0000627,megausuario
CL0000628,superusuario
CL0000629,superusuario
CL0000630,megausuario
CL0000631,superusuario
CL0000632,superusuario
CL0000633,superusuario
CL0000634,superusuario
CL0000635,superusuario
CL0000636,megausuario
CL0000637,megausuario
CL0000638,megausuario
CL0000639,superusuario
CL0000640,superusuario
CL0000641,megausuario
CL0000642,superusuario
CL0000643,superusuario
CL0000644,megausuario
CL0000645,superusuario
CL0000646,superusuario
CL0000647,superusuario
CL0000648,superusuario
CL0000649,superusuario
CL0000650,megausuario
CL0000651,superusuario
CL0000652,superusuario
CL0000653,superusuario
CL0000654,superusuario
CL0000655,superusuario
CL0000656,megausuario
CL0000657,superusuario
CL0000658,superusuario
CL0000659,megausuario
CL0000660,superusuario
CL0000661,megausuario
CL0000662,megausuario
CL0000663,superusuario
CL0000664,superusuario
CL0000665,superusuario
CL0000666,megausuario
CL0000667,megausuario
CL0000668,superusuario
CL0000669,megausuario
CL0000670,superusuario
CL0000671,superusuario
CL0000672,superusuario
CL0000673,superusuario
CL0000674,superusuario
CL0000675,superusuario
CL0000676,superusuario
CL0000677,superusuario
CL0000678,superusuario
CL0000679,superusuario
CL0000680,superusuario
CL0000681,superusuario
CL0000682,megausuario
CL0000683,megausuario
CL0000684,megausuario
CL0000685,megausuario
CL0000686,superusuario
CL0000687,superusuario
CL0000688,superusuario
CL0000689,superusuario
CL0000690,megausuario
CL0000691,megausuario
CL0000692,megausuario
CL0000693,superusuario
CL0000694,superusuario
CL0000695,megausuario
CL0000696,megausuario
CL0000697,megausuario
CL0000698,megausuario
CL0000699,superusuario
CL0000700,superusuario
CL0000701,megausuario
CL0000702,superusuario
CL0000703,superusuario
CL0000704,superusuario
CL0000705,megausuario
CL0000706,megausuario
CL0000707,megausuario
CL0000708,megausuario
CL0000709,superusuario
CL0000710,megausuario
CL0000711,superusuario
CL0000712,superusuario
CL0000713,superusuario
CL0000714,megausuario
CL0000715,megausuario
CL0000716,superusuario
CL0000717,megausuario
CL0000718,megausuario
CL0000719,megausuario
CL0000720,superusuario
CL0000721,megausuario
CL0000722,megausuario
CL0000723,superusuario
CL0000724,megausuario
CL0000725,megausuario
CL0000726,superusuario
CL0000727,superusuario
CL0000728,megausuario
CL0000729,superusuario
CL0000730,superusuario
CL0000731,superusuario
CL0000732,megausuario
CL0000733,megausuario
CL0000734,megausuario
CL0000735,superusuario
CL0000736,megausuario
CL0000737,superusuario
CL0000738,megausuario
CL0000739,megausuario
CL0000740,megausuario
CL0000741,megausuario
CL0000742,megausuario
CL0000743,superusuario
CL0000744,megausuario
CL0000745,megausuario
CL0000746,superusuario
CL0000747,superusuario
CL0000748,megausuario
CL0000749,superusuario
CL0000750,superusuario
CL0000751,megausuario
CL0000752,superusuario
CL0000753,superusuario
CL0000754,megausuario
CL0000755,superusuario
CL0000756,megausuario
CL0000757,megausuario
CL0000758,superusuario
CL0000759,megausuario
CL0000760,superusuario
CL0000761,superusuario
CL0000762,megausuario
CL0000763,superusuario
CL0000764,megausuario
CL0000765,superusuario
CL0000766,superusuario
CL0000767,superusuario
CL0000768,megausuario
CL0000769,megausuario
CL0000770,superusuario
CL0000771,superusuario
CL0000772,megausuario
CL0000773,megausuario
CL0000774,megausuario
CL0000775,superusuario
CL0000776,megausuario
CL0000777,superusuario
CL0000778,megausuario
CL0000779,superusuario
CL0000780,megausuario
CL0000781,megausuario
CL0000782,superusuario
CL0000783,superusuario
CL0000784,megausuario
CL0000785,superusuario
CL0000786,megausuario
CL0000787,megausuario
CL0000788,megausuario
CL0000789,superusuario
CL0000790,megausuario
CL0000791,superusuario
CL0000792,megausuario
CL0000793,superusuario
CL0000794,megausuario
CL0000795,superusuario
CL0000796,megausuario
CL0000797,superusuario
CL0000798,megausuario
CL0000799,megausuario
CL0000800,superusuario
CL0000801,megausuario
CL0000802,megausuario
CL0000803,superusuario
CL0000804,megausuario
CL0000805,superusuario
CL0000806,superusuario
CL0000807,superusuario
CL0000808,megausuario
CL0000809,megausuario
CL0000810,superusuario
CL0000811,megausuario
CL0000812,megausuario
CL0000813,superusuario
CL0000814,megausuario
CL0000815,megausuario
CL0000816,megausuario
CL0000817,megausuario
CL0000818,superusuario
CL0000819,superusuario
CL0000820,megausuario
CL0000821,superusuario
CL0000822,superusuario
CL0000823,megausuario
CL0000824,megausuario
CL0000825,superusuario
CL0000826,superusuario
CL0000827,superusuario
CL0000828,superusuario
CL0000829,superusuario
CL0000830,megausuario
CL0000831,megausuario
CL0000832,superusuario
CL0000833,megausuario
CL0000834,megausuario
CL0000835,superusuario
CL0000836,superusuario
CL0000837,megausuario
CL0000838,megausuario
CL0000839,superusuario
CL0000840,megausuario
CL0000841,megausuario
CL0000842,superusuario
CL0000843,superusuario
CL0000844,megausuario
CL0000845,superusuario
CL0000846,megausuario
CL0000847,superusuario
CL0000848,superusuario
CL0000849,superusuario
CL0000850,megausuario
CL0000851,superusuario
CL0000852,superusuario
CL0000853,superusuario
CL0000854,megausuario
CL0000855,megausuario
CL0000856,megausuario
CL0000857,superusuario
CL0000858,superusuario
CL0000859,superusuario
CL0000860,superusuario
CL0000861,superusuario
CL0000862,superusuario
CL0000863,megausuario
CL0000864,megausuario
CL0000865,megausuario
CL0000866,megausuario
CL0000867,megausuario
CL0000868,superusuario
CL0000869,superusuario
CL0000870,superusuario
CL0000871,megausuario
CL0000872,megausuario
CL0000873,megausuario
CL0000874,superusuario
CL0000875,superusuario
CL0000876,megausuario
CL0000877,megausuario
CL0000878,superusuario
CL0000879,superusuario
CL0000880,megausuario
CL0000881,megausuario
CL0000882,megausuario
CL0000883,megausuario
CL0000884,superusuario
CL0000885,superusuario
CL0000886,superusuario
CL0000887,megausuario
CL0000888,megausuario
CL0000889,superusuario
CL0000890,superusuario
CL0000891,superusuario
CL0000892,megausuario
CL0000893,superusuario
CL0000894,superusuario
CL0000895,megausuario
CL0000896,megausuario
CL0000897,superusuario
CL0000898,superusuario
CL0000899,megausuario
