butaca_id,ventaentrada_id,funcion_id,nro_fila,nro_columna,tipo_entrada,precio_entrada
BU0000002,EN0000001,FUN003686,M,18,adulto,30.0
BU0000003,EN0000002,FUN004050,I,20,niño,15.0
BU0000004,EN0000003,FUN004694,R,5,niño,30.0
BU0000005,EN0000003,FUN001958,U,11,adulto,10.0
BU0000006,EN0000003,FUN004481,Y,2,adulto,15.0
BU0000007,EN0000004,FUN003030,D,6,niño,30.0
BU0000008,EN0000005,FUN009352,K,15,adulto,10.0
BU0000009,EN0000006,FUN003578,Q,15,niño,15.0
BU0000010,EN0000006,FUN008705,F,3,niño,22.5
BU0000011,EN0000006,FUN004306,M,9,niño,30.0
BU0000012,EN0000006,FUN009460,J,16,niño,10.0
BU0000013,EN0000006,FUN000353,U,6,adulto,22.5
BU0000014,EN0000007,FUN006800,A,6,adulto,22.5
BU0000015,EN0000007,FUN007016,W,16,niño,10.0
BU0000016,EN0000007,FUN008801,N,20,adulto,22.5
BU0000017,EN0000007,FUN003093,N,19,adulto,30.0
BU0000018,EN0000007,FUN007003,R,2,niño,22.5
BU0000019,EN0000008,FUN006827,V,3,adulto,22.5
BU0000020,EN0000008,FUN001576,N,16,niño,15.0
BU0000021,EN0000008,FUN004676,I,19,adulto,15.0
BU0000022,EN0000008,FUN007670,Q,19,adulto,30.0
BU0000023,EN0000008,FUN008711,A,4,niño,15.0
BU0000024,EN0000009,FUN008872,M,1,adulto,30.0
BU0000025,EN0000009,FUN005175,I,8,niño,15.0
BU0000026,EN0000009,FUN001769,A,11,niño,30.0
BU0000027,EN0000009,FUN008613,A,19,adulto,10.0
BU0000028,EN0000009,FUN000333,P,14,niño,30.0
BU0000029,EN0000010,FUN004600,H,13,niño,10.0
BU0000030,EN0000010,FUN008018,Q,6,adulto,10.0
BU0000031,EN0000011,FUN005646,L,2,niño,10.0
BU0000032,EN0000011,FUN008175,M,11,niño,30.0
BU0000033,EN0000011,FUN004272,G,2,adulto,10.0
BU0000034,EN0000011,FUN005133,N,17,niño,22.5
BU0000035,EN0000011,FUN005245,R,7,adulto,30.0
BU0000036,EN0000012,FUN007655,R,16,adulto,15.0
BU0000037,EN0000013,FUN008536,H,17,adulto,10.0
BU0000038,EN0000013,FUN003414,D,10,niño,15.0
BU0000039,EN0000013,FUN008689,Z,8,niño,22.5
BU0000040,EN0000013,FUN002946,H,1,adulto,15.0
BU0000041,EN0000014,FUN005982,U,9,adulto,10.0
BU0000042,EN0000014,FUN009977,H,5,niño,22.5
BU0000043,EN0000015,FUN003294,T,16,adulto,10.0
BU0000044,EN0000015,FUN008315,M,1,niño,10.0
BU0000045,EN0000016,FUN002525,C,15,adulto,30.0
BU0000046,EN0000016,FUN004941,I,20,niño,10.0
BU0000047,EN0000016,FUN008055,E,2,adulto,10.0
BU0000048,EN0000016,FUN008400,B,19,adulto,10.0
BU0000049,EN0000017,FUN005129,M,2,niño,15.0
BU0000050,EN0000017,FUN005167,Y,7,adulto,10.0
BU0000051,EN0000017,FUN004881,W,8,adulto,15.0
BU0000052,EN0000017,FUN006123,O,11,niño,10.0
BU0000053,EN0000017,FUN009195,S,3,niño,22.5
BU0000054,EN0000018,FUN006046,K,14,niño,10.0
BU0000055,EN0000018,FUN003639,N,17,adulto,30.0
BU0000056,EN0000019,FUN004571,F,9,niño,15.0
BU0000057,EN0000019,FUN007925,H,17,niño,30.0
BU0000058,EN0000019,FUN001181,K,9,niño,10.0
BU0000059,EN0000020,FUN009541,A,10,adulto,15.0
BU0000060,EN0000021,FUN005731,Y,3,niño,10.0
BU0000061,EN0000021,FUN008549,Y,1,niño,22.5
BU0000062,EN0000021,FUN008100,D,10,adulto,10.0
BU0000063,EN0000022,FUN003369,D,19,adulto,22.5
BU0000064,EN0000022,FUN004715,U,19,niño,22.5
