id,nombre
DIR000001,Dodo Abashidze
DIR000002,George Abbott
DIR000003,Norman Abbott
DIR000004,Phil Abraham
DIR000005,Jim Abrahams
DIR000006,Abiola Abrams
DIR000007,J. J. Abrams
DIR000008,Ivan Abramson
DIR000009,Hany Abu-Assad
DIR000010,Tengiz Abuladze
DIR000011,Herbert Achternbusch
DIR000012,Andy Ackerman
DIR000013,Andrew Adamson
DIR000014,Anita W. Addison
DIR000015,Maren Ade
DIR000016,Carine Adler
DIR000017,Percy Adlon
DIR000018,John G. Adolfi
DIR000019,Franklin Adreon
DIR000020,Ben Affleck
DIR000021,Casey Affleck
DIR000022,Neil Affleck
DIR000023,Andrew Agnew
DIR000024,Alejandro Agresti
DIR000025,Joe Ahearne
DIR000026,Caroline Aherne
DIR000027,Abdel Rahim Ahmed
DIR000028,Aqeel Ahmed
DIR000029,Alexandre Aja
DIR000030,Chantal Akerman
DIR000031,Desiree Akhavan
DIR000032,Fatih Akın
DIR000033,Moustapha Akkad
DIR000034,R. Kan Albay
DIR000035,Barbara Albert
DIR000036,Félix Enríquez Alcalá
DIR000037,Alan Alda
DIR000038,Robert Aldrich
DIR000039,Tomás Gutiérrez Alea
DIR000040,Grigori Aleksandrov
DIR000041,Victoria Aleksanyan
DIR000042,Chris Alexander
DIR000043,David Alexander
DIR000044,Jason Alexander
DIR000045,John Alexander
DIR000046,Sherman Alexie
DIR000047,Ozzie Alfonso
DIR000048,Khalik Allah
DIR000049,Marc Allégret
DIR000050,Yves Allégret
DIR000051,Elizabeth Allen
DIR000052,Irwin Allen
DIR000053,Lewis Allen
DIR000054,Woody Allen
DIR000055,Syed Ali Raza Usama
DIR000056,Mairzee Almas
DIR000057,Pedro Almodóvar
DIR000058,Paul Almond
DIR000059,Robert Altman
DIR000060,Fede Álvarez
DIR000061,Silvio Amadio
DIR000062,Mathieu Amalric
DIR000063,Rod Amateau
DIR000064,Ned Ambler
DIR000065,Gianni Amelio
DIR000066,Alejandro Amenábar
DIR000067,Jon Amiel
DIR000068,Ana Lily Amirpour
DIR000069,Dev Anand
DIR000070,Sean Anders
DIR000071,Thom Andersen
DIR000072,Bob Anderson
DIR000073,Brad Anderson
DIR000074,Broncho Billy Anderson
DIR000075,Deborah Anderson
DIR000076,Gordon Anderson
DIR000077,Lindsay Anderson
DIR000078,Michael Anderson
DIR000079,Mitch Anderson
DIR000080,Paul Thomas Anderson
DIR000081,Paul W. S. Anderson
DIR000082,Wes Anderson
DIR000083,Roy Andersson
DIR000084,Metodi Andonov
DIR000085,Raoul André
DIR000086,Bryan Andrews
DIR000087,Kostas Andritsos
DIR000088,Theo Angelopoulos
DIR000089,Kenneth Anger
DIR000090,Threes Anna
DIR000091,Graham Annable
DIR000092,Ken Annakin
DIR000093,Jean-Jacques Annaud
DIR000094,Hideaki Anno
DIR000095,Arnold Antonin
DIR000096,Michelangelo Antonioni
DIR000097,Pan Anzi
DIR000098,Judd Apatow
DIR000099,Oscar Apfel
DIR000100,Michael Apted
DIR000101,Gregg Araki
DIR000102,Alfonso Aráu
DIR000103,Roscoe Arbuckle
DIR000104,Denys Arcand
DIR000105,George Archainbaud
DIR000106,Wes Archer
DIR000107,Jane Arden
DIR000108,Emile Ardolino
DIR000109,Asia Argento
DIR000110,Dario Argento
DIR000111,Adam Arkin
DIR000112,Allan Arkush
DIR000113,Serena Armitage
DIR000114,Dionciel Armstrong
DIR000115,Gillian Armstrong
DIR000116,Andrea Arnold
DIR000117,Jack Arnold
DIR000118,Darren Aronofsky
DIR000119,Fernando Arrabal
DIR000120,Miguel Arteta
DIR000121,Dorothy Arzner
DIR000122,Dinara Asanova
DIR000123,Hal Ashby
DIR000124,John Mallory Asher
DIR000125,Anthony Asquith
DIR000126,Olivier Assayas
DIR000127,Ari Aster
DIR000128,Carlos Atanes
DIR000129,Richard Attenborough
DIR000130,Dan Attias
DIR000131,David Attwood
DIR000132,Jacques Audiard
DIR000133,Jacqueline Audry
DIR000134,John H. Auer
DIR000135,Bille August
DIR000136,Claude Autant-Lara
DIR000137,Aram Avakian
DIR000138,Roger Avary
DIR000139,Pupi Avati
DIR000140,Ilya Averbakh
DIR000141,Tex Avery
DIR000142,John G. Avildsen
DIR000143,Jon Avnet
DIR000144,David Ayer
DIR000145,Dan Aykroyd
DIR000146,Richard Ayoade
DIR000147,Nabil Ayouch
DIR000148,Mary Ayubi
DIR000149,Aclan Bates
DIR000150,Jamie Babbit
DIR000151,Héctor Babenco
DIR000152,Lloyd Bacon
DIR000153,Clarence G. Badger
DIR000154,John Badham
DIR000155,Bae Yong-Kyun
DIR000156,Cindy Baer
DIR000157,Prince Bagdasarian
DIR000158,King Baggot
