director_id,pelicula_id
DIR003000,MOV000001
DIR002792,MOV000002
DIR001420,MOV000003
DIR000112,MOV000004
DIR000046,MOV000005
DIR001809,MOV000006
DIR001408,MOV000007
DIR002199,MOV000008
DIR000202,MOV000009
DIR001501,MOV000010
DIR002750,MOV000011
DIR002236,MOV000012
DIR001598,MOV000013
DIR002990,MOV000014
DIR002844,MOV000015
DIR000126,MOV000016
DIR002022,MOV000017
DIR000936,MOV000018
DIR002140,MOV000019
DIR002644,MOV000020
DIR000751,MOV000021
DIR002244,MOV000022
DIR000283,MOV000023
DIR000940,MOV000024
DIR001976,MOV000025
DIR002454,MOV000026
DIR002907,MOV000027
DIR001936,MOV000028
DIR002901,MOV000029
DIR001124,MOV000030
DIR002608,MOV000031
DIR001803,MOV000032
DIR002171,MOV000033
DIR000477,MOV000034
DIR000397,MOV000035
DIR002318,MOV000036
DIR002871,MOV000037
DIR001988,MOV000038
DIR000328,MOV000039
DIR000722,MOV000040
DIR002079,MOV000041
DIR000641,MOV000042
DIR002388,MOV000043
DIR001173,MOV000044
DIR001529,MOV000045
DIR001940,MOV000046
DIR002398,MOV000047
DIR001997,MOV000048
DIR000151,MOV000049
DIR001457,MOV000050
DIR002271,MOV000051
DIR002744,MOV000052
DIR002012,MOV000053
DIR001676,MOV000054
DIR003000,MOV000055
DIR000180,MOV000056
DIR002950,MOV000057
DIR002335,MOV000058
DIR001171,MOV000059
DIR001533,MOV000060
DIR001012,MOV000061
DIR001675,MOV000062
DIR001467,MOV000063
DIR002123,MOV000064
DIR002248,MOV000065
DIR002061,MOV000066
DIR002666,MOV000067
DIR000452,MOV000068
DIR001694,MOV000069
DIR000950,MOV000070
DIR001244,MOV000071
DIR001535,MOV000072
DIR000893,MOV000073
DIR000777,MOV000074
DIR002875,MOV000075
DIR001467,MOV000076
DIR001446,MOV000077
DIR001576,MOV000078
DIR002477,MOV000079
DIR002929,MOV000080
DIR002070,MOV000081
DIR001747,MOV000082
DIR000244,MOV000083
DIR002819,MOV000084
DIR001513,MOV000085
DIR001606,MOV000086
DIR002231,MOV000087
DIR000032,MOV000088
DIR001767,MOV000089
DIR001308,MOV000090
DIR000066,MOV000091
DIR002111,MOV000092
DIR001278,MOV000093
DIR000114,MOV000094
DIR000341,MOV000095
DIR001173,MOV000096
DIR001318,MOV000097
DIR001492,MOV000098
DIR001973,MOV000099
DIR000722,MOV000100
DIR002003,MOV000101
DIR000577,MOV000102
DIR002626,MOV000103
DIR002531,MOV000104
DIR002470,MOV000105
DIR002692,MOV000106
DIR002268,MOV000107
DIR001014,MOV000108
DIR002805,MOV000109
DIR000408,MOV000110
DIR000734,MOV000111
DIR001756,MOV000112
DIR003027,MOV000113
DIR000457,MOV000114
DIR000861,MOV000115
DIR002179,MOV000116
DIR001622,MOV000117
DIR002273,MOV000118
DIR000555,MOV000119
DIR000212,MOV000120
DIR002860,MOV000121
DIR001391,MOV000122
DIR002222,MOV000123
DIR000019,MOV000124
DIR001092,MOV000125
