funcion_id,sala_id,pelicula_id,fecha,hora
FUN000001,SL0015431,MOV001100,2021-11-12,14:20:28
FUN000002,SL0004044,MOV000003,2021-10-01,12:40:59
FUN000003,SL0000895,MOV001262,2021-11-27,08:49:22
FUN000004,SL0076346,MOV000121,2021-12-17,20:27:28
FUN000005,SL0021624,MOV000091,2021-11-27,16:55:22
FUN000006,SL0049153,MOV000086,2021-09-10,15:09:27
FUN000007,SL0061772,MOV000862,2021-10-30,18:42:55
FUN000008,SL0057495,MOV000323,2021-12-07,04:16:51
FUN000009,SL0067464,MOV000120,2022-01-02,15:12:57
FUN000010,SL0060013,MOV000402,2021-10-08,12:50:34
FUN000011,SL0054913,MOV000216,2021-10-15,19:41:34
FUN000012,SL0054273,MOV001206,2021-12-21,18:04:21
FUN000013,SL0000613,MOV000860,2021-11-06,00:58:44
FUN000014,SL0008190,MOV001303,2021-10-25,23:05:00
FUN000015,SL0000920,MOV001416,2021-11-12,15:18:45
FUN000016,SL0041450,MOV001055,2022-01-07,12:38:04
FUN000017,SL0017550,MOV000161,2021-11-02,21:15:14
FUN000018,SL0058480,MOV000816,2021-11-01,23:59:47
FUN000019,SL0036692,MOV000674,2021-12-24,13:37:47
FUN000020,SL0064577,MOV000151,2021-05-18,08:09:04
FUN000021,SL0001516,MOV000410,2021-11-06,11:23:19
FUN000022,SL0043613,MOV001369,2021-09-26,19:46:28
FUN000023,SL0063102,MOV000944,2021-11-25,14:16:49
FUN000024,SL0015789,MOV000452,2021-08-24,20:25:52
FUN000025,SL0014669,MOV000373,2021-12-14,01:56:57
FUN000026,SL0064686,MOV000257,2021-11-25,17:59:38
FUN000027,SL0029280,MOV000555,2021-11-16,03:05:01
FUN000028,SL0062803,MOV000967,2021-12-21,05:33:06
FUN000029,SL0009525,MOV001106,2021-06-24,11:33:00
FUN000030,SL0015747,MOV000090,2021-12-05,19:35:29
FUN000031,SL0060909,MOV001188,2021-09-25,10:35:47
FUN000032,SL0046652,MOV001115,2021-10-07,09:20:11
FUN000033,SL0012624,MOV000097,2021-06-26,16:15:00
FUN000034,SL0076553,MOV001020,2021-07-26,15:45:04
FUN000035,SL0008150,MOV001277,2021-12-24,09:17:58
FUN000036,SL0026793,MOV000564,2021-08-31,09:59:59
FUN000037,SL0024877,MOV000921,2021-10-16,08:20:37
FUN000038,SL0052186,MOV000454,2021-11-10,15:47:48
FUN000039,SL0004372,MOV001109,2021-08-02,19:09:39
FUN000040,SL0052674,MOV001328,2021-02-25,08:23:52
FUN000041,SL0058262,MOV000659,2022-01-10,12:25:22
FUN000042,SL0009582,MOV000490,2021-10-07,08:57:40
FUN000043,SL0035967,MOV001055,2022-01-07,22:53:28
FUN000044,SL0045544,MOV000357,2021-11-03,09:42:39
FUN000045,SL0075970,MOV000956,2021-10-12,04:37:48
FUN000046,SL0039946,MOV001106,2021-11-23,11:55:48
FUN000047,SL0031224,MOV000052,2021-09-12,11:44:36
FUN000048,SL0043147,MOV000352,2021-12-09,03:16:21
FUN000049,SL0060002,MOV000232,2021-09-01,05:25:12
FUN000050,SL0043893,MOV001095,2021-11-23,13:44:56
FUN000051,SL0011882,MOV000563,2021-12-08,10:54:58
FUN000052,SL0002353,MOV000630,2021-10-12,16:37:18
FUN000053,SL0071437,MOV000387,2021-10-28,20:35:59
FUN000054,SL0051105,MOV001430,2022-01-03,03:32:57
FUN000055,SL0024627,MOV000212,2022-01-10,14:53:08
FUN000056,SL0038613,MOV000413,2021-11-22,21:51:56
FUN000057,SL0047328,MOV000207,2021-12-15,16:48:28
FUN000058,SL0063180,MOV001004,2022-01-07,12:48:11
FUN000059,SL0038821,MOV000146,2021-10-23,07:39:43
FUN000060,SL0013215,MOV000642,2021-09-28,12:26:04
FUN000061,SL0023557,MOV000940,2021-10-13,19:21:42
FUN000062,SL0027236,MOV000705,2021-08-15,21:50:35
FUN000063,SL0062769,MOV000746,2021-12-10,07:46:01
FUN000064,SL0018213,MOV001008,2022-01-10,20:33:39
FUN000065,SL0075236,MOV000656,2021-10-13,06:08:36
FUN000066,SL0056108,MOV000707,2021-07-23,06:03:34
FUN000067,SL0002693,MOV000479,2021-12-07,10:27:27
FUN000068,SL0034634,MOV000223,2021-04-09,13:07:33
FUN000069,SL0021380,MOV000736,2021-11-20,16:29:25
FUN000070,SL0067912,MOV001010,2022-01-05,21:04:41
FUN000071,SL0033005,MOV000572,2021-05-28,09:25:28
FUN000072,SL0047825,MOV001285,2021-11-08,08:20:20
FUN000073,SL0036750,MOV001405,2021-04-24,12:35:16
FUN000074,SL0048050,MOV000608,2021-11-08,21:17:09
FUN000075,SL0040426,MOV000629,2021-09-16,17:27:00
FUN000076,SL0039798,MOV000282,2021-11-23,10:08:15
FUN000077,SL0044731,MOV001077,2021-12-18,05:53:22
FUN000078,SL0020398,MOV000234,2021-12-14,03:00:14
FUN000079,SL0058494,MOV001416,2021-11-09,23:22:44
FUN000080,SL0022382,MOV000171,2021-10-03,00:29:45
FUN000081,SL0073489,MOV001043,2022-01-03,00:31:07
FUN000082,SL0001214,MOV000545,2021-11-24,03:38:54
FUN000083,SL0033910,MOV000796,2021-10-19,14:42:54
FUN000084,SL0068796,MOV000831,2021-12-30,11:27:41
FUN000085,SL0053215,MOV001219,2021-12-30,04:59:55
FUN000086,SL0070797,MOV001341,2021-11-15,22:01:41
FUN000087,SL0074717,MOV000520,2021-08-15,00:22:57
FUN000088,SL0059010,MOV000439,2021-12-26,05:05:36
FUN000089,SL0002896,MOV000764,2021-06-01,12:59:37
FUN000090,SL0040357,MOV000917,2021-12-08,04:00:09
FUN000091,SL0037116,MOV000372,2021-08-12,22:10:43
FUN000092,SL0036940,MOV000111,2021-04-22,03:07:06
FUN000093,SL0000756,MOV000192,2021-12-23,16:20:21
FUN000094,SL0018828,MOV001059,2021-04-21,15:44:09
FUN000095,SL0064389,MOV001312,2021-05-17,17:13:56
FUN000096,SL0075483,MOV000251,2021-06-23,13:45:17
FUN000097,SL0067664,MOV000679,2021-12-21,15:21:50
FUN000098,SL0003910,MOV000526,2021-12-13,12:19:34
FUN000099,SL0068461,MOV001070,2022-01-09,05:00:12
FUN000100,SL0007348,MOV000523,2021-04-11,16:52:46
FUN000101,SL0045501,MOV000675,2021-11-17,20:37:00
FUN000102,SL0072761,MOV000278,2021-09-21,16:29:59
FUN000103,SL0039033,MOV000461,2021-12-28,21:43:52
FUN000104,SL0003700,MOV000605,2021-09-23,18:39:13
FUN000105,SL0030807,MOV000639,2022-01-04,19:22:36
FUN000106,SL0053868,MOV000827,2021-12-24,04:41:31
FUN000107,SL0015128,MOV000313,2021-08-31,19:11:11
FUN000108,SL0037586,MOV000347,2021-10-17,00:21:46
FUN000109,SL0006192,MOV000729,2021-09-11,05:53:47
FUN000110,SL0009207,MOV000937,2021-12-31,21:13:07
FUN000111,SL0031083,MOV000549,2021-10-01,23:17:03
FUN000112,SL0064341,MOV000746,2021-03-06,08:28:49
FUN000113,SL0045983,MOV001393,2021-09-03,04:06:44
FUN000114,SL0033882,MOV000401,2021-12-16,02:07:59
FUN000115,SL0010340,MOV001244,2021-06-13,10:38:34
FUN000116,SL0068524,MOV000947,2021-11-22,04:38:40
FUN000117,SL0066170,MOV000177,2021-10-17,15:55:11
FUN000118,SL0014649,MOV000461,2022-01-09,17:25:54
FUN000119,SL0012063,MOV001054,2021-09-21,01:00:36
FUN000120,SL0047895,MOV000591,2022-01-10,07:15:09
FUN000121,SL0039728,MOV001041,2021-09-03,06:31:16
FUN000122,SL0010424,MOV000255,2021-06-09,15:02:05
FUN000123,SL0002150,MOV000823,2021-07-14,15:45:11
FUN000124,SL0071499,MOV000308,2022-01-08,21:59:14
FUN000125,SL0038896,MOV000408,2021-10-08,21:53:54
FUN000126,SL0046343,MOV000013,2021-12-03,21:49:26
FUN000127,SL0001231,MOV000076,2021-07-27,05:03:06
FUN000128,SL0073968,MOV000926,2021-09-09,13:10:11
FUN000129,SL0029804,MOV000015,2021-12-16,23:29:05
FUN000130,SL0051279,MOV000314,2021-04-23,14:35:39
FUN000131,SL0035733,MOV000626,2021-12-24,15:14:50
FUN000132,SL0035507,MOV000412,2021-10-01,07:40:22
FUN000133,SL0007111,MOV000522,2021-06-25,08:16:09
FUN000134,SL0061914,MOV001091,2021-03-28,18:27:35
FUN000135,SL0062694,MOV000133,2021-03-25,07:30:05
FUN000136,SL0028669,MOV000773,2022-01-06,14:05:14
FUN000137,SL0034511,MOV000265,2021-11-27,17:13:23
FUN000138,SL0012748,MOV000414,2021-12-29,20:09:28
FUN000139,SL0061622,MOV000328,2021-07-13,04:25:15
FUN000140,SL0034378,MOV000968,2021-06-17,19:55:21
FUN000141,SL0038554,MOV000789,2021-12-26,01:36:19
FUN000142,SL0039393,MOV001386,2021-08-11,09:00:30
FUN000143,SL0037377,MOV000987,2021-10-26,20:07:14
FUN000144,SL0025560,MOV001244,2021-07-06,15:44:03
FUN000145,SL0027720,MOV001155,2021-10-25,12:40:54
FUN000146,SL0012926,MOV000018,2021-10-07,17:03:50
FUN000147,SL0039234,MOV001100,2021-12-19,01:33:16
FUN000148,SL0073739,MOV000275,2021-11-14,01:36:49
FUN000149,SL0034146,MOV000520,2021-09-21,06:35:46
FUN000150,SL0002757,MOV001134,2021-12-07,01:52:44
FUN000151,SL0042606,MOV000806,2021-08-03,21:56:28
FUN000152,SL0068545,MOV001404,2021-06-09,18:44:35
FUN000153,SL0067467,MOV000982,2021-03-10,14:03:14
FUN000154,SL0064692,MOV001337,2022-01-03,13:28:32
FUN000155,SL0010313,MOV001008,2022-01-07,14:58:31
FUN000156,SL0060430,MOV000727,2021-08-25,17:19:48
FUN000157,SL0020934,MOV001317,2021-12-23,10:02:47
FUN000158,SL0039457,MOV000919,2021-08-30,03:28:41
FUN000159,SL0011247,MOV000151,2022-01-05,17:45:26
FUN000160,SL0054627,MOV000403,2021-12-09,22:25:24
FUN000161,SL0062653,MOV000616,2021-09-25,13:38:05
FUN000162,SL0067852,MOV000239,2021-12-15,23:28:06
FUN000163,SL0049170,MOV001038,2021-05-22,21:23:13
FUN000164,SL0053361,MOV001348,2021-07-12,17:44:14
FUN000165,SL0019771,MOV000519,2021-04-30,19:59:11
FUN000166,SL0048922,MOV001348,2021-10-26,08:58:20
FUN000167,SL0061811,MOV000602,2021-12-17,04:12:51
FUN000168,SL0055088,MOV000790,2022-01-07,03:48:40
FUN000169,SL0076064,MOV000187,2021-09-12,18:39:19
FUN000170,SL0011780,MOV000102,2021-06-15,21:59:11
FUN000171,SL0039361,MOV001179,2021-05-06,05:20:22
FUN000172,SL0045006,MOV001000,2021-06-03,05:32:31
FUN000173,SL0068762,MOV001307,2021-11-25,08:52:43
FUN000174,SL0019261,MOV001250,2021-05-13,19:35:37
FUN000175,SL0071656,MOV000533,2021-09-29,20:37:28
FUN000176,SL0058321,MOV000023,2021-12-18,07:11:31
FUN000177,SL0062311,MOV001196,2021-10-20,17:17:03
FUN000178,SL0026892,MOV001120,2021-12-24,14:08:22
FUN000179,SL0063423,MOV000510,2021-08-03,20:21:59
FUN000180,SL0064838,MOV001239,2021-11-05,13:18:47
FUN000181,SL0014441,MOV001338,2021-12-25,12:03:33
FUN000182,SL0024746,MOV000235,2021-08-06,18:31:26
FUN000183,SL0064365,MOV000147,2021-12-27,20:21:46
FUN000184,SL0055928,MOV001336,2021-12-25,14:01:07
FUN000185,SL0057380,MOV001353,2021-12-12,09:33:33
FUN000186,SL0069381,MOV000860,2021-06-29,12:10:14
FUN000187,SL0042555,MOV000872,2021-09-22,23:25:15
FUN000188,SL0071857,MOV001293,2021-11-26,03:15:18
FUN000189,SL0032832,MOV000850,2022-01-04,02:49:49
FUN000190,SL0005365,MOV001190,2021-12-25,21:32:24
FUN000191,SL0075782,MOV000646,2021-12-24,04:59:25
FUN000192,SL0073866,MOV000817,2021-12-07,12:37:56
FUN000193,SL0040877,MOV000817,2021-10-04,18:10:23
FUN000194,SL0069555,MOV000575,2021-06-29,18:47:20
FUN000195,SL0021959,MOV000920,2021-10-20,03:57:39
FUN000196,SL0054524,MOV000912,2021-09-05,19:14:20
FUN000197,SL0024781,MOV000799,2021-05-06,14:44:42
FUN000198,SL0056934,MOV000958,2021-08-15,14:19:24
FUN000199,SL0052920,MOV000622,2021-12-13,00:21:47
FUN000200,SL0038797,MOV001262,2021-11-24,16:37:06
FUN000201,SL0032406,MOV000417,2021-11-27,01:49:15
FUN000202,SL0043643,MOV001113,2021-03-10,20:46:52
FUN000203,SL0043579,MOV000933,2021-12-26,13:56:39
FUN000204,SL0034054,MOV000718,2021-07-03,05:39:55
FUN000205,SL0019632,MOV000222,2021-09-15,16:54:13
FUN000206,SL0075181,MOV000493,2021-10-17,14:56:26
FUN000207,SL0011390,MOV000749,2022-01-08,04:58:06
FUN000208,SL0004368,MOV001031,2021-12-03,06:25:20
FUN000209,SL0042581,MOV001069,2022-01-07,13:38:48
FUN000210,SL0015911,MOV000307,2021-11-19,06:05:46
FUN000211,SL0027537,MOV000006,2021-11-22,14:42:01
FUN000212,SL0058090,MOV000385,2021-05-13,04:45:27
FUN000213,SL0062515,MOV000185,2021-12-28,11:01:27
FUN000214,SL0037491,MOV000148,2021-12-15,00:57:02
FUN000215,SL0039110,MOV000165,2021-12-08,17:21:56
FUN000216,SL0008364,MOV000707,2021-03-25,07:02:16
FUN000217,SL0008872,MOV000418,2021-12-17,02:32:30
FUN000218,SL0075290,MOV000363,2021-12-07,12:30:38
FUN000219,SL0008690,MOV000966,2021-12-31,19:18:52
FUN000220,SL0051964,MOV000641,2021-11-13,16:05:19
FUN000221,SL0039947,MOV000340,2021-12-29,00:08:18
FUN000222,SL0075078,MOV000539,2021-12-20,20:02:55
FUN000223,SL0011725,MOV001187,2021-10-26,17:27:23
FUN000224,SL0029396,MOV000240,2021-12-11,23:00:29
FUN000225,SL0047087,MOV000921,2021-09-25,10:33:18
FUN000226,SL0049332,MOV001101,2021-12-13,01:36:32
FUN000227,SL0032765,MOV000430,2021-11-13,18:37:56
FUN000228,SL0022472,MOV000479,2021-12-31,19:44:29
FUN000229,SL0042433,MOV000988,2021-09-29,21:58:00
FUN000230,SL0034136,MOV000577,2021-12-23,21:55:29
FUN000231,SL0013752,MOV001158,2021-09-27,05:06:40
FUN000232,SL0010490,MOV000028,2021-12-21,06:16:28
FUN000233,SL0013923,MOV000516,2021-07-08,13:41:00
FUN000234,SL0019366,MOV001143,2021-06-06,04:48:58
FUN000235,SL0034846,MOV000764,2021-07-19,21:02:01
FUN000236,SL0039717,MOV000116,2021-11-15,17:06:34
FUN000237,SL0072536,MOV000558,2022-01-06,07:58:17
FUN000238,SL0048500,MOV001379,2021-10-01,20:56:19
FUN000239,SL0041890,MOV001204,2022-01-01,13:40:35
FUN000240,SL0021976,MOV000310,2021-05-26,17:02:33
FUN000241,SL0027804,MOV000057,2022-01-05,19:26:35
FUN000242,SL0068745,MOV000600,2022-01-07,05:23:24
FUN000243,SL0040917,MOV000541,2021-04-18,01:49:09
FUN000244,SL0012720,MOV000104,2021-09-12,04:55:27
FUN000245,SL0008006,MOV000370,2021-10-28,16:31:58
FUN000246,SL0065007,MOV000623,2021-11-15,04:45:47
FUN000247,SL0001624,MOV001209,2021-05-22,06:47:08
FUN000248,SL0035614,MOV000674,2021-08-23,10:20:32
FUN000249,SL0029561,MOV001199,2021-12-29,22:27:36
FUN000250,SL0016875,MOV000526,2021-11-30,15:30:50
FUN000251,SL0010766,MOV000222,2021-10-24,06:06:01
FUN000252,SL0024262,MOV001374,2021-04-01,00:44:39
FUN000253,SL0039742,MOV000543,2021-10-11,09:26:28
FUN000254,SL0006577,MOV001015,2021-10-21,05:06:42
FUN000255,SL0066182,MOV000533,2021-09-29,03:36:59
FUN000256,SL0050495,MOV000359,2021-11-02,00:03:29
FUN000257,SL0062226,MOV001204,2021-12-25,07:16:04
FUN000258,SL0018552,MOV001185,2021-09-23,06:40:07
FUN000259,SL0069774,MOV001209,2021-05-31,21:44:19
FUN000260,SL0046472,MOV000873,2021-11-11,07:10:00
FUN000261,SL0061568,MOV000379,2021-10-04,00:08:48
FUN000262,SL0018692,MOV000070,2022-01-08,15:27:50
FUN000263,SL0067598,MOV000534,2021-12-02,21:10:43
FUN000264,SL0059642,MOV001119,2021-09-13,20:11:31
FUN000265,SL0040273,MOV001255,2021-12-23,10:05:50
FUN000266,SL0059989,MOV000002,2021-10-11,02:20:04
FUN000267,SL0045538,MOV001210,2021-11-22,13:32:20
FUN000268,SL0021466,MOV000800,2021-03-24,18:18:55
FUN000269,SL0074523,MOV001236,2021-12-04,22:16:45
FUN000270,SL0022642,MOV000105,2021-12-19,18:27:41
FUN000271,SL0058033,MOV000119,2022-01-03,15:22:51
FUN000272,SL0068018,MOV001049,2021-09-04,17:35:26
FUN000273,SL0013148,MOV001402,2022-01-09,15:03:42
FUN000274,SL0070382,MOV000602,2021-12-20,19:03:01
FUN000275,SL0015230,MOV000992,2021-10-27,21:02:23
FUN000276,SL0074807,MOV000016,2021-09-29,22:55:59
FUN000277,SL0065160,MOV001249,2021-12-09,00:20:16
FUN000278,SL0016466,MOV000779,2021-08-12,03:42:01
