,id,nombre,idioma,fecha_adquisicion,fecha_estreno,genero_id,duracion_h,resena,nivelpublico_id
0,MOV000001,10 Cloverfield Lane,GB,2021-02-15,2021-02-25,GP0000002,1.75,Hand blue important.,RE00000001
1,MOV000002,12 Angry Men,GB,2021-09-06,2021-09-14,GP0000013,1.75,One beautiful media idea build fund very.,RE00000001
2,MOV000003,12 Monkeys,GB,2021-09-11,2021-09-13,GP0000003,1.5,Animal available forget a thought.,RE00000001
3,MOV000004,2001 Maniacs,GB,2021-02-04,2021-03-01,GP0000018,1.75,The speech sister.,RE00000001
4,MOV000005,2001: A Space Odyssey,GB,2021-11-19,2021-11-19,GP0000001,1.0,Statement exactly speak including time run trouble.,RE00000003
5,MOV000006,2010: The Year We Make Contact,GB,2021-07-31,2021-08-03,GP0000003,1.0,Building western watch so.,RE00000003
6,MOV000007,25th Hour,GB,2021-05-26,2021-06-15,GP0000010,1.75,Language week full garden especially rich.,RE00000001
7,MOV000008,28 Weeks Later,GB,2021-11-30,2021-12-03,GP0000019,1.75,Theory much first seat business how challenge.,RE00000004
8,MOV000009,3 Idiots (2009),GB,2021-11-23,2021-12-07,GP0000001,1.0,Turn tough road national tough.,RE00000002
9,MOV000010,300,GB,2021-02-02,2021-02-07,GP0000022,1.0,Cause such local stock success ahead movement.,RE00000004
10,MOV000011,31,GB,2021-04-26,2021-05-01,GP0000023,1.0,Movie window pressure position.,RE00000002
11,MOV000012,8 Women,GB,2021-07-23,2021-08-13,GP0000021,1.75,Writer organization fight land improve police.,RE00000003
12,MOV000013,8½,GB,2021-09-05,2021-09-29,GP0000007,2.0,Cause commercial road me military brother.,RE00000003
13,MOV000014,A Nightmare on Elm Street (Freddy Krueger Series),GB,2021-09-04,2021-09-20,GP0000016,2.0,This role suffer teach race world professor.,RE00000003
14,MOV000015,Abbott and Costello Meet Frankenstein,GB,2021-11-16,2021-12-15,GP0000021,1.75,Throw institution spend look last among rest paper.,RE00000004
15,MOV000016,Absentia,GB,2021-08-17,2021-08-19,GP0000002,1.75,Executive draw major enough fight hope approach.,RE00000002
16,MOV000017,Adaptation,GB,2021-11-28,2021-12-11,GP0000024,2.0,Available agreement behavior involve well from.,RE00000004
