id,nombre
PT0000001,Licensed conveyancer
PT0000002,"Engineer, building services"
PT0000003,"Administrator, local government"
PT0000004,"Accountant, chartered certified"
PT0000005,"Investment banker, corporate"
PT0000006,Musician
PT0000007,Landscape architect
PT0000008,Data processing manager
PT0000009,Operational investment banker
PT0000010,Archivist
PT0000011,"Accountant, chartered"
PT0000012,Structural engineer
PT0000013,Charity officer
PT0000014,Chartered public finance accountant
PT0000015,Air cabin crew
PT0000016,Child psychotherapist
PT0000017,Television production assistant
PT0000018,"Conservation officer, historic buildings"
PT0000019,"Designer, graphic"
PT0000020,Speech and language therapist
PT0000021,Health physicist
PT0000022,Chiropractor
PT0000023,Teaching laboratory technician
PT0000024,Industrial buyer
PT0000025,Multimedia programmer
PT0000026,Music therapist
PT0000027,Clothing/textile technologist
PT0000028,Drilling engineer
PT0000029,Herbalist
PT0000030,Psychotherapist
PT0000031,Holiday representative
PT0000032,Diagnostic radiographer
PT0000033,General practice doctor
PT0000034,"Pharmacist, community"
PT0000035,Theatre stage manager
PT0000036,Chief of Staff
PT0000037,Tourist information centre manager
PT0000038,"Administrator, education"
PT0000039,Adult nurse
PT0000040,Banker
PT0000041,Illustrator
PT0000042,Medical laboratory scientific officer
PT0000043,Forest/woodland manager
PT0000044,Chartered loss adjuster
PT0000045,"Designer, industrial/product"
PT0000046,Paediatric nurse
PT0000047,Early years teacher
PT0000048,"Engineer, civil (contracting)"
PT0000049,Energy engineer
PT0000050,"Designer, multimedia"
PT0000051,"Designer, industrial/product"
PT0000052,Travel agency manager
PT0000053,"Surveyor, minerals"
PT0000054,"Geologist, wellsite"
PT0000055,Commercial/residential surveyor
PT0000056,IT trainer
PT0000057,"Teacher, special educational needs"
PT0000058,Quality manager
PT0000059,Prison officer
PT0000060,"Engineer, site"
PT0000061,"Surveyor, building control"
PT0000062,Neurosurgeon
PT0000063,Financial manager
PT0000064,"Lecturer, further education"
PT0000065,Product designer
PT0000066,"Surveyor, insurance"
PT0000067,"Surveyor, insurance"
PT0000068,Civil Service fast streamer
PT0000069,Occupational psychologist
PT0000070,Stage manager
PT0000071,Special educational needs teacher
PT0000072,Environmental consultant
PT0000073,Fitness centre manager
PT0000074,Statistician
PT0000075,Air traffic controller
PT0000076,"Engineer, electrical"
PT0000077,Human resources officer
PT0000078,Economist
PT0000079,Commercial/residential surveyor
PT0000080,Research scientist (life sciences)
PT0000081,"Lecturer, higher education"
PT0000082,"Scientist, forensic"
PT0000083,Licensed conveyancer
PT0000084,Teaching laboratory technician
PT0000085,Product manager
PT0000086,Medical secretary
PT0000087,Insurance underwriter
PT0000088,Special educational needs teacher
PT0000089,Multimedia programmer
PT0000090,Mining engineer
PT0000091,"Pilot, airline"
PT0000092,Community pharmacist
PT0000093,Insurance risk surveyor
PT0000094,Chiropodist
PT0000095,Secondary school teacher
PT0000096,Games developer
PT0000097,"Social research officer, government"
PT0000098,"Radiographer, diagnostic"
PT0000099,Higher education careers adviser
PT0000100,Agricultural consultant
PT0000101,"Designer, furniture"
PT0000102,Animator
PT0000103,Science writer
PT0000104,Optometrist
PT0000105,"Research officer, trade union"
PT0000106,"Engineer, electronics"
PT0000107,"Production designer, theatre/television/film"
PT0000108,Community pharmacist
PT0000109,Ophthalmologist
PT0000110,Arboriculturist
PT0000111,Catering manager
PT0000112,Estate manager/land agent
PT0000113,Magazine journalist
PT0000114,Research scientist (life sciences)
PT0000115,Financial manager
PT0000116,Air cabin crew
PT0000117,"Administrator, local government"
PT0000118,"Lighting technician, broadcasting/film/video"
PT0000119,"Programmer, applications"
PT0000120,Visual merchandiser
PT0000121,Theatre manager
PT0000122,"Education officer, environmental"
PT0000123,Audiological scientist
PT0000124,Television camera operator
PT0000125,Ecologist
PT0000126,Historic buildings inspector/conservation officer
PT0000127,Tour manager
PT0000128,Industrial/product designer
PT0000129,Amenity horticulturist
PT0000130,Housing manager/officer
PT0000131,"Engineer, site"
PT0000132,Lexicographer
PT0000133,"Programme researcher, broadcasting/film/video"
PT0000134,"Designer, ceramics/pottery"
PT0000135,Systems developer
PT0000136,"Surveyor, hydrographic"
PT0000137,"Designer, jewellery"
PT0000138,"Surveyor, building"
PT0000139,Musician
PT0000140,"Accountant, chartered public finance"
PT0000141,Fish farm manager
PT0000142,"Engineer, aeronautical"
PT0000143,English as a second language teacher
PT0000144,Editorial assistant
PT0000145,Private music teacher
PT0000146,Purchasing manager
PT0000147,"Administrator, sports"
PT0000148,Writer
PT0000149,Bookseller
PT0000150,Civil Service fast streamer
PT0000151,Occupational therapist
PT0000152,Marketing executive
PT0000153,Forensic scientist
PT0000154,Chemical engineer
PT0000155,"Sales professional, IT"
PT0000156,"Surveyor, insurance"
PT0000157,"Engineer, maintenance (IT)"
PT0000158,"Surveyor, planning and development"
PT0000159,Camera operator
PT0000160,Comptroller
PT0000161,Clinical embryologist
PT0000162,Careers adviser
PT0000163,Exercise physiologist
PT0000164,Sport and exercise psychologist
PT0000165,Occupational psychologist
PT0000166,Magazine journalist
PT0000167,"Programmer, systems"
PT0000168,Tourist information centre manager
PT0000169,Technical brewer
PT0000170,"Psychologist, clinical"
PT0000171,Chief Strategy Officer
PT0000172,Make
PT0000173,Financial controller
PT0000174,"Research officer, trade union"
PT0000175,Armed forces training and education officer
PT0000176,Research scientist (physical sciences)
PT0000177,Metallurgist
PT0000178,"Geologist, wellsite"
PT0000179,"Engineer, agricultural"
PT0000180,Production engineer
PT0000181,Clinical molecular geneticist
PT0000182,Careers information officer
