id,sede_id,numero_sala,n_butacas
SL0000001,S00000001,1,50
SL0000002,S00000001,2,20
SL0000003,S00000001,3,45
SL0000004,S00000001,4,30
SL0000005,S00000001,5,50
SL0000006,S00000002,1,20
SL0000007,S00000002,2,50
SL0000008,S00000002,3,50
SL0000009,S00000002,4,45
SL0000010,S00000002,5,20
SL0000011,S00000002,6,35
SL0000012,S00000002,7,45
SL0000013,S00000002,8,45
SL0000014,S00000002,9,45
SL0000015,S00000002,10,30
SL0000016,S00000003,1,30
SL0000017,S00000003,2,45
SL0000018,S00000003,3,50
SL0000019,S00000003,4,30
SL0000020,S00000003,5,45
SL0000021,S00000003,6,50
SL0000022,S00000003,7,30
SL0000023,S00000003,8,30
SL0000024,S00000004,1,35
SL0000025,S00000004,2,50
SL0000026,S00000004,3,45
SL0000027,S00000004,4,30
SL0000028,S00000004,5,50
SL0000029,S00000004,6,20
SL0000030,S00000004,7,30
SL0000031,S00000004,8,50
SL0000032,S00000005,1,50
SL0000033,S00000005,2,50
SL0000034,S00000005,3,50
SL0000035,S00000005,4,35
SL0000036,S00000005,5,45
SL0000037,S00000005,6,30
SL0000038,S00000005,7,50
SL0000039,S00000005,8,50
SL0000040,S00000006,1,50
SL0000041,S00000006,2,35
SL0000042,S00000006,3,50
SL0000043,S00000006,4,50
SL0000044,S00000006,5,30
SL0000045,S00000006,6,45
SL0000046,S00000006,7,20
SL0000047,S00000006,8,50
SL0000048,S00000006,9,30
SL0000049,S00000006,10,30
SL0000050,S00000007,1,30
SL0000051,S00000007,2,45
SL0000052,S00000007,3,35
SL0000053,S00000007,4,20
SL0000054,S00000007,5,30
SL0000055,S00000007,6,30
SL0000056,S00000007,7,35
SL0000057,S00000007,8,20
SL0000058,S00000007,9,45
SL0000059,S00000007,10,35
SL0000060,S00000008,1,50
SL0000061,S00000008,2,45
SL0000062,S00000008,3,50
SL0000063,S00000008,4,20
SL0000064,S00000008,5,20
SL0000065,S00000008,6,35
SL0000066,S00000008,7,20
SL0000067,S00000008,8,45
SL0000068,S00000008,9,50
SL0000069,S00000008,10,50
SL0000070,S00000009,1,45
SL0000071,S00000009,2,30
SL0000072,S00000009,3,20
SL0000073,S00000009,4,20
SL0000074,S00000009,5,20
SL0000075,S00000009,6,30
SL0000076,S00000009,7,45
SL0000077,S00000009,8,50
SL0000078,S00000010,1,30
SL0000079,S00000010,2,35
SL0000080,S00000010,3,50
SL0000081,S00000010,4,45
SL0000082,S00000010,5,30
SL0000083,S00000010,6,50
SL0000084,S00000010,7,45
SL0000085,S00000010,8,35
SL0000086,S00000011,1,35
SL0000087,S00000011,2,30
SL0000088,S00000011,3,35
SL0000089,S00000011,4,45
SL0000090,S00000011,5,45
SL0000091,S00000011,6,35
SL0000092,S00000011,7,20
SL0000093,S00000011,8,50
SL0000094,S00000012,1,45
SL0000095,S00000012,2,50
SL0000096,S00000012,3,20
SL0000097,S00000012,4,35
SL0000098,S00000012,5,30
SL0000099,S00000012,6,45
SL0000100,S00000012,7,20
SL0000101,S00000012,8,20
SL0000102,S00000013,1,35
SL0000103,S00000013,2,30
SL0000104,S00000013,3,20
SL0000105,S00000013,4,35
SL0000106,S00000013,5,35
SL0000107,S00000013,6,35
SL0000108,S00000013,7,35
SL0000109,S00000013,8,50
SL0000110,S00000014,1,30
