id,nombre,direccion,departamento,distrito,n_salas
S00000001,Cinemania Cove 1,46257 Renee River,Alexstad,Ashley Hills,5
S00000002,Cinemania Hollow 2,214 Charles Spring Suite 612,Wintersland,Mitchell Trail,10
S00000003,Cinemania Harbor 3,1724 Megan Village Suite 107,West Colleenbury,Johnson Extension,8
S00000004,Cinemania Trail 4,0809 Samantha Burg Suite 109,Katiefort,Juan Summit,8
S00000005,Cinemania Ferry 5,41318 Skinner Loop,South Cindyside,Porter Rapids,8
S00000006,Cinemania Ranch 6,68767 Mark Loaf,Port Cathyhaven,Ivan Lodge,10
S00000007,Cinemania Extension 7,6358 Ramsey Tunnel,Kelleystad,Monica Corner,10
S00000008,Cinemania Road 8,766 Christina Square,Mcdonaldstad,Samuel Street,10
S00000009,Cinemania Squares 9,019 Walker Gardens Apt. 090,Troyview,Mccoy Islands,8
S00000010,Cinemania Forges 10,98997 Grace Locks,West Cindy,Garcia Inlet,8
S00000011,Cinemania Street 11,2833 Miller Ways Suite 594,South Lauraburgh,Mercer Stravenue,8
S00000012,Cinemania Rapid 12,62721 Barbara Inlet,Jacobshire,Lester Dam,8
S00000013,Cinemania Roads 13,8165 Joy Spring,Lake Bryanhaven,Jose Streets,8
S00000014,Cinemania Cliff 14,59054 Michelle Gateway Apt. 527,Jennifermouth,Meyers Terrace,10
S00000015,Cinemania Fort 15,76116 Moore Points Apt. 551,Edwardsmouth,Chavez Port,10
S00000016,Cinemania Stravenue 16,073 Moreno Mill,New Josephview,John Stravenue,5
S00000017,Cinemania Lights 17,76962 Bradley Parkways,South Candice,Carter Roads,5
S00000018,Cinemania Squares 18,8668 Key Street Apt. 212,Arianaborough,Alexis Stream,10
S00000019,Cinemania Drive 19,9473 Daniel Lights Apt. 953,Lake Carlos,Joshua Avenue,10
S00000020,Cinemania Ports 20,823 Lisa Estates,South Donald,Conrad Orchard,5
S00000021,Cinemania Overpass 21,355 Goodman Burgs,Lake Francismouth,Jason Crescent,5
S00000022,Cinemania Keys 22,243 Fowler Falls Apt. 813,New Latoyaberg,Patricia Passage,5
S00000023,Cinemania Center 23,90664 Annette Well Apt. 322,Roachview,Erika Grove,10
S00000024,Cinemania Loop 24,960 Dennis Valley,New Jennifer,Paul Road,8
S00000025,Cinemania Branch 25,39223 Kimberly Mill,Ashleehaven,Benjamin Glen,8
S00000026,Cinemania Garden 26,0829 Jamie Hollow Suite 227,Jessicastad,Miller Knoll,5
S00000027,Cinemania Ports 27,56480 Joan Point Apt. 511,Rachelside,Matthew Tunnel,10
S00000028,Cinemania Forks 28,05255 Williams Walk Apt. 496,Hintonbury,Kathleen Walks,5
S00000029,Cinemania Roads 29,17755 Allison Lakes,Sherryhaven,Robert Walks,8
S00000030,Cinemania Mountain 30,7756 Elliott Harbor Apt. 627,Smithmouth,Bradley Drives,5
S00000031,Cinemania Road 31,545 Blair Ports Apt. 432,Courtneyville,Heather Well,5
S00000032,Cinemania Plains 32,88464 Shaffer Passage Apt. 813,Knightchester,Michael Glen,10
S00000033,Cinemania Ville 33,29226 Brandon Centers,Lyonsfurt,Ryan Streets,8
S00000034,Cinemania Ramp 34,269 Underwood Fall Apt. 195,Andersonborough,Christina Ports,8
S00000035,Cinemania Stream 35,7725 Bender Station,New Josephmouth,Schmidt Lodge,10
S00000036,Cinemania Trace 36,040 Ford Falls,Seanchester,Nielsen Roads,10
S00000037,Cinemania Route 37,5633 Alicia Parkways Suite 379,East Kellychester,Garcia Islands,8
S00000038,Cinemania Terrace 38,53739 Avila Forge,East Kimberly,Teresa Plains,5
S00000039,Cinemania Unions 39,26154 Aguilar Vista,Lake Sarah,Roth Well,8
S00000040,Cinemania Springs 40,102 Cook Oval Apt. 595,Lake Timothyfurt,Tammy Manor,8
S00000041,Cinemania Lock 41,2203 David Brooks,Lake Kevinland,Nichols Gateway,5
S00000042,Cinemania Keys 42,865 Lisa Shoals Suite 530,Carrieside,Harris Run,10
S00000043,Cinemania Route 43,06461 Christopher Island,Jonville,Mays Mountains,5
S00000044,Cinemania Coves 44,339 Mitchell Passage,Shannonburgh,Dawn Parks,5
S00000045,Cinemania Lane 45,628 Wood Circle,Michaelborough,Flores Ports,10
S00000046,Cinemania Harbor 46,434 Terry Camp Suite 767,Richardsside,Garrett Lodge,10
S00000047,Cinemania Street 47,49871 Megan Terrace,Malloryshire,Scott Squares,10
S00000048,Cinemania Loaf 48,3438 Jones Tunnel,Amandatown,Wilson Square,8
S00000049,Cinemania Crescent 49,8834 Lee Street,West Michaelville,Anthony Square,8
S00000050,Cinemania Common 50,181 Jennifer Mews,South Markfurt,Jacobson Fields,10
S00000051,Cinemania Squares 51,64018 Amy Park Apt. 934,Nicoleborough,Sharp Row,8
S00000052,Cinemania Cape 52,1850 Robert Mountains,New Craig,Lisa Shore,8
S00000053,Cinemania Union 53,1601 Flores Freeway Apt. 111,Moyerton,Amy Forges,5
S00000054,Cinemania Alley 54,86215 Natasha Locks Suite 051,Patrickfurt,Daniels Lane,10
S00000055,Cinemania Gateway 55,322 Perez Lodge,Shortborough,Linda Rapids,8
S00000056,Cinemania Plaza 56,931 Bullock Glens,Davisburgh,Combs Meadow,5
S00000057,Cinemania Mountains 57,21592 Daisy Way,Porterville,Miller Path,10
S00000058,Cinemania Island 58,170 Terrance Grove,Freemanville,Richardson Run,5
S00000059,Cinemania Drives 59,66176 Renee Forge,Chenshire,White Points,10
S00000060,Cinemania Oval 60,208 Martin Harbor Suite 679,Perezville,Laura Falls,8
S00000061,Cinemania Locks 61,01348 Rodriguez Spurs Apt. 510,Port Rickville,Foley Pass,5
S00000062,Cinemania Walks 62,7033 Kyle Key Suite 517,Marshallland,Virginia Park,8
S00000063,Cinemania Crescent 63,4951 Anthony Stravenue Apt. 217,Salazarton,Nathan Wall,10
S00000064,Cinemania Lake 64,319 Laura Divide,Garyview,Robert Parkways,8
S00000065,Cinemania View 65,9257 Hill Throughway Suite 732,North Cindyview,Frost Junction,8
S00000066,Cinemania Tunnel 66,9554 Jordan Estate,Evansland,Smith Mount,5
S00000067,Cinemania Ridge 67,2390 Daniel Vista,Karenville,Nelson Ridge,8
S00000068,Cinemania Track 68,7161 Lynn Unions,Bentleymouth,Taylor View,5
S00000069,Cinemania Wall 69,12123 Terry Trace Suite 777,Laurastad,Hill Via,10
S00000070,Cinemania Pine 70,909 Sanchez Mountain Apt. 714,Walkermouth,Figueroa Track,10
S00000071,Cinemania Pines 71,6791 Kurt Course,East Joshua,Phillip Lane,5
S00000072,Cinemania Island 72,8701 Stanley Oval,Wigginstown,Brown Squares,10
S00000073,Cinemania Wall 73,2163 Mark Lights,East Catherine,Young Turnpike,10
S00000074,Cinemania Ridge 74,736 Chaney Brooks Suite 346,Nelsonport,Robin Groves,10
S00000075,Cinemania Garden 75,935 Andrew Square,Parkerside,Andrea Mount,8
S00000076,Cinemania Highway 76,76875 Moore Garden Apt. 058,Leonardbury,Larry Spur,8
S00000077,Cinemania Trafficway 77,034 Chung Plain,Mcconnellchester,Melanie Trafficway,10
S00000078,Cinemania Park 78,48058 Jessica Expressway,West Brandiburgh,Moore Ways,10
S00000079,Cinemania Dam 79,6740 Nicholas Isle,North Gabriel,Mitchell Stream,8
S00000080,Cinemania Dale 80,890 Winters Glens Apt. 240,Troyside,Gill Isle,10
S00000081,Cinemania Heights 81,241 Mays Manors,West Scottshire,Elizabeth Plaza,8
S00000082,Cinemania Pass 82,9748 Reyes Fall,Nicholasbury,Ramsey Junction,5
S00000083,Cinemania Valley 83,876 Schwartz Underpass Suite 673,East Jasonstad,Thomas Mills,8
S00000084,Cinemania Brook 84,8162 Peters Spur,West Lynn,Macias Wall,10
S00000085,Cinemania Ridges 85,69742 Pace Terrace,North Kevin,Eric Valleys,8
S00000086,Cinemania Prairie 86,9945 Hunt Summit,New Benjamin,Mosley Key,8
S00000087,Cinemania Underpass 87,77483 Bonnie Dam,Port Tracy,Robinson Junctions,5
S00000088,Cinemania Isle 88,201 Villa Springs Apt. 621,South Justin,Mercedes Orchard,5
S00000089,Cinemania Flat 89,3076 Kevin Rapids,Mckinneyton,Angie Garden,8
S00000090,Cinemania Lodge 90,9965 Henry Run,Port Jenniferport,Chavez Squares,5
S00000091,Cinemania Dam 91,04019 Billy Rapid Apt. 665,Robinmouth,Mary Stream,5
S00000092,Cinemania Roads 92,603 Cassidy Motorway,Gonzalezberg,Hinton Mount,8
S00000093,Cinemania Extensions 93,06883 Wanda Mall,Port Allisonland,Lawrence Vista,8
S00000094,Cinemania Prairie 94,07174 Carla Extension,Simpsonbury,Steven Shores,8
S00000095,Cinemania Falls 95,79248 Bean Burgs,East Calvin,Gonzalez Viaduct,10
S00000096,Cinemania Streets 96,6158 Sarah Gardens Suite 698,Grahamborough,Marshall Summit,8
S00000097,Cinemania Views 97,7294 Long Center Suite 990,Floresborough,Brandon Extension,10
S00000098,Cinemania Curve 98,41648 Kathryn Point Suite 738,North Jasonburgh,Logan Isle,5
S00000099,Cinemania Drive 99,923 Laura Shores,New Zachary,Dudley Port,10
S00000100,Cinemania Points 100,0674 Burns Burg Apt. 204,New Sandra,Mary Hills,5
S00000101,Cinemania Key 101,1972 Mitchell Ranch,Port Allisonland,Davis Circle,8
S00000102,Cinemania Crescent 102,6805 Antonio Streets,Barrland,Andrew Ports,10
S00000103,Cinemania Port 103,94439 Theresa Corners Suite 846,Lake Travisshire,Porter Junction,5
S00000104,Cinemania Grove 104,953 Parker Trail Suite 835,East Franklinchester,Daniel Harbor,5
S00000105,Cinemania Way 105,64268 Nelson Harbor,Shawborough,Diana Harbor,8
S00000106,Cinemania Fort 106,197 Lisa Isle,Lake Dannybury,William Creek,8
S00000107,Cinemania Turnpike 107,3563 Lynn Ridges,Bryantfort,William Summit,10
S00000108,Cinemania Expressway 108,145 Watkins River,West Johnstad,Smith Pine,5
S00000109,Cinemania Knolls 109,3084 Ricardo Mill Apt. 082,Mariaborough,Eric Drives,5
S00000110,Cinemania Garden 110,3496 Harmon Gateway Apt. 550,Myerston,Garcia Mills,8
S00000111,Cinemania Skyway 111,3487 Darlene Walk,Lake Amberbury,Kristopher Grove,10
S00000112,Cinemania Shoal 112,41407 Espinoza Harbor,Huynhton,Zachary Station,10
S00000113,Cinemania Inlet 113,688 Michael Landing Apt. 253,Barrburgh,Michael Estate,10
S00000114,Cinemania Pike 114,66504 Ashley Ports Apt. 975,South Jasonfurt,Thomas Throughway,5
S00000115,Cinemania Street 115,144 Ashley Grove Apt. 606,New Melanie,Alicia Club,8
S00000116,Cinemania Flats 116,067 Ashley Island,Bowerston,Joseph Plaza,10
S00000117,Cinemania Meadow 117,911 Saunders Isle Suite 843,South Josephstad,Amy Freeway,8
S00000118,Cinemania Roads 118,86843 Sara Plaza,Richardsonville,Edward Crossing,8
S00000119,Cinemania Island 119,0295 Mendoza Mission Apt. 770,Hartfort,Lucas Loaf,5
S00000120,Cinemania Lock 120,83372 Riggs Radial Suite 622,Lake Jeffrey,Winters Forge,8
S00000121,Cinemania Street 121,153 Karen Vista Apt. 282,Johnburgh,Amber Via,10
S00000122,Cinemania Port 122,67014 Keith River Apt. 236,New James,Charlene Mills,10
S00000123,Cinemania Harbor 123,21460 Melinda Drive,Parsonstown,Joshua Roads,10
S00000124,Cinemania Mission 124,999 Byrd Stravenue,New Caitlin,Moyer Keys,8
S00000125,Cinemania Prairie 125,79614 Kelly Village,East Davidfurt,Bruce Glen,8
S00000126,Cinemania Land 126,4622 Joseph Estate Suite 669,Joyceville,Torres Keys,10
S00000127,Cinemania Walks 127,559 Aaron Burg,Rodneymouth,Danielle Branch,5
S00000128,Cinemania Circles 128,5472 Jensen Junction Apt. 621,Perryhaven,Edwards Square,10
S00000129,Cinemania Forks 129,5801 Christine Haven Suite 366,Lake Cindychester,Amanda Ridge,5
S00000130,Cinemania Divide 130,5522 Benjamin Garden,New Jonathanborough,Brooks Pine,10
S00000131,Cinemania Greens 131,171 Christopher Viaduct Apt. 349,South Christopher,Julie Crescent,5
S00000132,Cinemania Run 132,7448 Jacob Greens,Nelsonhaven,Mark Road,5
S00000133,Cinemania Terrace 133,1839 Nicole Pine Suite 129,East Scott,Hernandez Stream,5
S00000134,Cinemania Rapids 134,32870 Kathryn Trafficway,Mcdonaldmouth,John Squares,5
S00000135,Cinemania Summit 135,062 Young Motorway Suite 456,Port Scotthaven,Brad Crossing,8
S00000136,Cinemania Lake 136,819 Jennifer Street,Gonzalesbury,Katie Lodge,5
S00000137,Cinemania Center 137,5200 Oconnor Harbors Suite 011,Port Stevenfurt,Daugherty Glens,8
S00000138,Cinemania Plaza 138,74529 James Oval,Lake Kelly,Pamela Creek,5
S00000139,Cinemania Camp 139,676 Scott Loaf Apt. 419,West Jamesfurt,Erika Square,10
S00000140,Cinemania Summit 140,106 Whitaker Islands Suite 706,North John,Mills Fields,5
S00000141,Cinemania Ports 141,76969 Long Avenue,South Alexanderbury,Kristina Ville,8
S00000142,Cinemania Extension 142,7466 Mays Station Suite 843,East Jonathanton,Kenneth Plains,10
S00000143,Cinemania Curve 143,2920 Thomas Springs Apt. 428,Stephensshire,Alec Island,10
S00000144,Cinemania Station 144,66523 Melissa Harbor Apt. 024,Danielleborough,Joseph Shoals,8
S00000145,Cinemania Parkways 145,820 Ariel Lakes Apt. 680,North Shane,Brian Stravenue,10
S00000146,Cinemania Burgs 146,225 Cooper Villages Apt. 836,East Ashleyshire,Luke Mission,8
S00000147,Cinemania Viaduct 147,829 Jacqueline Highway,New Edwardchester,Martinez Haven,8
S00000148,Cinemania Extensions 148,7421 Nicole Pike,North Deborahborough,Jonathan Mission,10
S00000149,Cinemania Way 149,958 Patricia Highway Apt. 820,Jessicaton,Wood Keys,10
S00000150,Cinemania Bypass 150,824 Fuller Squares Apt. 975,North Patrickland,Castro Extension,10
S00000151,Cinemania Views 151,7004 Mcconnell Meadows,Pattersonside,Carter Ridge,5
S00000152,Cinemania Locks 152,48880 Tammy Parkway Apt. 986,New Melissaburgh,Stephens Plains,8
S00000153,Cinemania Meadow 153,01777 Boone Fords Apt. 764,Stewartland,Robert Lake,10
S00000154,Cinemania Springs 154,7832 Mindy Meadows,Robertsonburgh,James Hills,10
S00000155,Cinemania Track 155,6118 Allison Crossroad Apt. 928,Martinezchester,Kevin Village,10
S00000156,Cinemania Cape 156,99373 Cordova Club Suite 996,Lake Shawn,Hill Parkway,10
S00000157,Cinemania Valley 157,9410 Kendra Point,West Kathleen,Brandon Cove,5
S00000158,Cinemania Island 158,309 Thomas Station Suite 836,Port Jennifer,Jimenez Port,8
S00000159,Cinemania Mill 159,6859 Moore Trail,Kochfurt,Nunez Square,5
S00000160,Cinemania Drives 160,05585 Peterson Highway,Aprilborough,Sean Gateway,10
S00000161,Cinemania Motorway 161,36090 Norman Way,Lake Jasonchester,Alicia Pine,5
S00000162,Cinemania Stravenue 162,85174 Escobar Locks Apt. 997,Robertshire,Reynolds Loaf,8
S00000163,Cinemania Crossroad 163,0605 Jenkins Square Apt. 979,Kennedyborough,Katelyn Villages,5
S00000164,Cinemania Throughway 164,70369 Mia Estates Suite 307,Lake Johnborough,Galvan Pines,8
S00000165,Cinemania Mills 165,6055 Ford Spring,Margaretburgh,Smith Station,5
S00000166,Cinemania Gardens 166,755 Hernandez Ridge Apt. 699,East Beverlyside,Marissa Rest,5
S00000167,Cinemania Forges 167,7723 Debra Shores Suite 186,West Luis,Jones Mountain,5
S00000168,Cinemania Village 168,043 Blackwell Points,New Jasonfort,Olivia Cape,10
S00000169,Cinemania Greens 169,19096 Tammy Mountains Suite 928,Dickersonshire,Heather Circle,5
S00000170,Cinemania Point 170,3380 Antonio Roads,Dawnton,Melinda Row,10
S00000171,Cinemania Well 171,36310 Morgan Lights Apt. 691,East Williammouth,Jennifer Forest,8
S00000172,Cinemania Plain 172,0579 Martinez Stravenue,Lake Tamarabury,Wesley Pine,10
S00000173,Cinemania Isle 173,94509 Susan Expressway,Dianaview,Kimberly Landing,10
S00000174,Cinemania Roads 174,081 Hudson Ridge Apt. 808,Lake Danaside,Alison Mills,5
S00000175,Cinemania Underpass 175,55366 Jeffrey Path,Huntershire,Smith Plain,10
S00000176,Cinemania Hollow 176,233 Molina Shoals Suite 157,Erinchester,Morrison Mountains,10
S00000177,Cinemania Isle 177,34132 Richard Estate,Lake Candice,Brianna Estates,5
S00000178,Cinemania Passage 178,2698 Miller Manors,Ramireztown,Hansen Walks,8
S00000179,Cinemania Plaza 179,858 Lauren Forest Apt. 909,Mariaberg,Kayla Freeway,8
