usuario_id,administrador_id
US0020001,CL0000001
US0020002,CL0000002
US0020003,CL0000003
US0020004,CL0000004
US0020005,CL0000005
US0020006,CL0000006
US0020007,CL0000007
US0020008,CL0000008
US0020009,CL0000009
US0020010,CL0000010
US0020011,CL0000011
US0020012,CL0000012
US0020013,CL0000013
US0020014,CL0000014
US0020015,CL0000015
US0020016,CL0000016
US0020017,CL0000017
US0020018,CL0000018
US0020019,CL0000019
US0020020,CL0000020
US0020021,CL0000021
US0020022,CL0000022
US0020023,CL0000023
US0020024,CL0000024
US0020025,CL0000025
US0020026,CL0000026
US0020027,CL0000027
US0020028,CL0000028
US0020029,CL0000029
US0020030,CL0000030
US0020031,CL0000031
US0020032,CL0000032
US0020033,CL0000033
US0020034,CL0000034
US0020035,CL0000035
US0020036,CL0000036
US0020037,CL0000037
US0020038,CL0000038
US0020039,CL0000039
US0020040,CL0000040
US0020041,CL0000041
US0020042,CL0000042
US0020043,CL0000043
US0020044,CL0000044
US0020045,CL0000045
US0020046,CL0000046
US0020047,CL0000047
US0020048,CL0000048
US0020049,CL0000049
US0020050,CL0000050
US0020051,CL0000051
US0020052,CL0000052
US0020053,CL0000053
US0020054,CL0000054
US0020055,CL0000055
US0020056,CL0000056
US0020057,CL0000057
US0020058,CL0000058
US0020059,CL0000059
US0020060,CL0000060
US0020061,CL0000061
US0020062,CL0000062
US0020063,CL0000063
US0020064,CL0000064
US0020065,CL0000065
US0020066,CL0000066
US0020067,CL0000067
US0020068,CL0000068
US0020069,CL0000069
US0020070,CL0000070
US0020071,CL0000071
US0020072,CL0000072
US0020073,CL0000073
US0020074,CL0000074
US0020075,CL0000075
US0020076,CL0000076
US0020077,CL0000077
US0020078,CL0000078
US0020079,CL0000079
US0020080,CL0000080
US0020081,CL0000081
US0020082,CL0000082
US0020083,CL0000083
US0020084,CL0000084
US0020085,CL0000085
US0020086,CL0000086
US0020087,CL0000087
US0020088,CL0000088
US0020089,CL0000089
US0020090,CL0000090
US0020091,CL0000091
US0020092,CL0000092
US0020093,CL0000093
US0020094,CL0000094
US0020095,CL0000095
US0020096,CL0000096
US0020097,CL0000097
US0020098,CL0000098
US0020099,CL0000099
US0020100,CL0000100
US0020101,CL0000101
US0020102,CL0000102
US0020103,CL0000103
US0020104,CL0000104
US0020105,CL0000105
US0020106,CL0000106
US0020107,CL0000107
US0020108,CL0000108
US0020109,CL0000109
US0020110,CL0000110
US0020111,CL0000111
US0020112,CL0000112
US0020113,CL0000113
US0020114,CL0000114
US0020115,CL0000115
US0020116,CL0000116
US0020117,CL0000117
US0020118,CL0000118
US0020119,CL0000119
US0020120,CL0000120
US0020121,CL0000121
US0020122,CL0000122
US0020123,CL0000123
US0020124,CL0000124
US0020125,CL0000125
US0020126,CL0000126
US0020127,CL0000127
US0020128,CL0000128
US0020129,CL0000129
US0020130,CL0000130
US0020131,CL0000131
US0020132,CL0000132
US0020133,CL0000133
US0020134,CL0000134
US0020135,CL0000135
US0020136,CL0000136
US0020137,CL0000137
US0020138,CL0000138
US0020139,CL0000139
US0020140,CL0000140
US0020141,CL0000141
US0020142,CL0000142
US0020143,CL0000143
US0020144,CL0000144
US0020145,CL0000145
US0020146,CL0000146
US0020147,CL0000147
US0020148,CL0000148
US0020149,CL0000149
US0020150,CL0000150
US0020151,CL0000151
US0020152,CL0000152
US0020153,CL0000153
US0020154,CL0000154
US0020155,CL0000155
US0020156,CL0000156
US0020157,CL0000157
US0020158,CL0000158
US0020159,CL0000159
US0020160,CL0000160
US0020161,CL0000161
US0020162,CL0000162
US0020163,CL0000163
US0020164,CL0000164
US0020165,CL0000165
US0020166,CL0000166
US0020167,CL0000167
US0020168,CL0000168
US0020169,CL0000169
US0020170,CL0000170
