id,cliente_id,colaborador_id,sede_id,fecha,hora,qr_id
VE0000001,C00000112,CL0001482,S00009225,2020-12-03,18:02:34,HgNMSuzdVtMrFYTpwCwF
VE0000002,C00009607,CL0004968,S00006251,2020-05-11,12:06:35,hCFNZrBhRckhRbUjcHWN
VE0000003,C00009880,CL0006178,S00009940,2020-12-01,10:22:40,brLBiODYEsmGBnERiRzA
VE0000004,C00000942,CL0009076,S00003027,2020-05-28,14:41:29,mUJmMBWNkBCKlclPuDja
VE0000005,C00002743,CL0001999,S00007399,2020-01-01,22:25:19,donktIILEUCUwHTqizPI
VE0000006,C00003950,CL0008452,S00001972,2020-05-22,08:40:00,MmRomjrbjjVLhWPvLcns
VE0000007,C00006690,CL0009237,S00001429,2020-03-28,20:47:52,hiBQBzBhxebJkdPaGETm
VE0000008,C00004485,CL0009664,S00005804,2020-11-13,01:28:11,dyjOpNKjeIuYMfIPSgxh
VE0000009,C00006479,CL0002239,S00002002,2020-02-11,15:19:19,mLaFSnAutMimqWckvkzn
VE0000010,C00007568,CL0002037,S00008468,2020-10-03,19:15:30,SuqiRXofmsHaPrFENgkH
VE0000011,C00000041,CL0007877,S00001623,2020-04-26,03:09:10,HhSYJrSguPuiJKdzdwwe
VE0000012,C00009053,CL0002383,S00009553,2020-12-27,09:33:13,qPrDDFUFPKrgTaefrhUY
VE0000013,C00004654,CL0006982,S00008711,2020-03-24,10:59:31,rQoNRaAftAMwczYthIWz
VE0000014,C00009300,CL0007686,S00009184,2020-07-11,17:43:24,WdlucNSZXIhchPSnZQXW
VE0000015,C00002755,CL0002916,S00007588,2020-10-14,10:30:06,elCxcTzSKcXyUdQdUOhZ
VE0000016,C00008057,CL0006963,S00005238,2020-11-10,18:04:16,KQKhOUfPHUqomnFKrWfC
VE0000017,C00007600,CL0005838,S00008833,2020-04-30,02:03:43,JGSdgJeyyKgpTlRrSWnd
VE0000018,C00001627,CL0001692,S00007726,2020-08-19,01:28:27,UksmXJLeYLAphfnsjTPq
VE0000019,C00007194,CL0000889,S00009638,2020-12-20,22:14:24,WQFxSEbsxPVKzIANFMck
VE0000020,C00003234,CL0004337,S00001080,2020-03-16,10:43:19,CdufTDeCgCKhqDtcyJyG
VE0000021,C00002115,CL0007001,S00008311,2020-11-08,03:06:19,AmeHQhqAvgFeuwnNbEZm
VE0000022,C00008010,CL0006699,S00006683,2020-12-09,23:43:26,lmUcWAyeApODUjlsRImG
VE0000023,C00008778,CL0001647,S00006892,2021-01-10,09:25:36,HJXpYGxFbBiWUTdSIXVa
VE0000024,C00001580,CL0006584,S00008394,2020-02-14,01:38:46,aVOnNbOixMursYVfsdHz
VE0000025,C00006139,CL0006995,S00002103,2020-09-05,08:42:31,yRGMMxuhuSqlPmReLLeH
VE0000026,C00007327,CL0000574,S00004072,2021-02-12,15:16:04,KkCFGRxpFpZhVQSmpOKP
VE0000027,C00002874,CL0004607,S00008514,2020-12-09,22:30:47,NLfqghwwZWRSEoEkTFnR
VE0000028,C00000676,CL0000393,S00003380,2020-10-02,18:28:12,cNymBkdaLgdhGqSHBdqm
VE0000029,C00005726,CL0004445,S00007430,2021-01-31,21:35:47,OldDdzMZRQFjAokHLJeE
VE0000030,C00004662,CL0009407,S00007967,2020-01-28,12:40:32,hEjyGcbDUSKWjoLVsKTS
VE0000031,C00004463,CL0005310,S00001044,2020-12-19,22:15:47,CrWNBSLvivXVakvCYLDW
VE0000032,C00009620,CL0009622,S00006332,2020-02-10,02:56:18,kJZoXKLBFFzopWoLztlT
VE0000033,C00009923,CL0002127,S00009343,2020-07-12,03:54:26,gXgkXVseEzeQUhcbkRtQ
VE0000034,C00006325,CL0007518,S00003760,2020-08-08,05:59:45,jCQRImswBBMTMbbATFQY
VE0000035,C00000531,CL0000940,S00003738,2020-02-16,23:31:48,buCdqbQOVXhFECCKJqKV
VE0000036,C00009276,CL0005049,S00008292,2020-12-27,02:10:15,vwTNUtbgGUzZbAQpiJNQ
VE0000037,C00005916,CL0001751,S00007665,2020-06-19,15:32:21,vaZMJaSuzEdRuGFTpGSO
VE0000038,C00005570,CL0007759,S00004564,2020-11-20,19:23:10,mtDpELazFyQJeSdAClTF
VE0000039,C00003297,CL0000371,S00003145,2020-01-19,16:53:40,xQGhvFTrwLCZdVpGugUV
VE0000040,C00004201,CL0002940,S00001095,2020-08-12,20:23:46,ansObpxpnDwzSkThDOLD
VE0000041,C00007250,CL0003356,S00003579,2020-11-11,08:42:06,xeehBfOggFPHlHHKjjpm
VE0000042,C00004855,CL0005821,S00009835,2020-08-22,08:46:14,IZDYhIvPvGeACIchaZHc
VE0000043,C00009918,CL0002364,S00001323,2020-01-02,19:37:30,rqbHhBBPgiTdVTHMwFJo
VE0000044,C00003902,CL0005109,S00009804,2020-08-04,20:53:11,BZpOhUdfVtuVWtnOOPbO
VE0000045,C00005912,CL0006374,S00000981,2020-12-25,22:19:12,zONtproqVMsusWuNQOae
VE0000046,C00004430,CL0000425,S00000690,2020-05-03,20:22:39,KKbYqZdaNMJNKvYaJJKE
VE0000047,C00007583,CL0004273,S00007508,2020-06-24,06:10:36,DPzgsqmRtDHRnRdZUSeO
VE0000048,C00005694,CL0009170,S00004370,2020-10-30,18:04:41,pxQaZWfTVJrmkKnFNVoD
VE0000049,C00001523,CL0008389,S00004023,2020-11-01,18:46:05,GqkuYqbtCpPkzhoAItpy
VE0000050,C00004375,CL0003682,S00005057,2020-12-04,13:49:13,eYihSJiCHcanVWVziFyV
VE0000051,C00008221,CL0002818,S00005620,2020-01-12,20:11:21,TSENRmCsengUfOBCOjYo
VE0000052,C00001315,CL0009068,S00007198,2020-07-04,00:46:01,LpwisxiaCXlEyskIlHUi
VE0000053,C00007934,CL0001698,S00001633,2020-09-08,00:44:11,mHqqHVGROfkKQkoHpirC
VE0000054,C00002040,CL0000198,S00004541,2020-05-13,12:10:09,cRKZahrMcXNRFksTTkDd
VE0000055,C00008845,CL0001489,S00003120,2020-03-05,05:44:23,ZmMYUnWyGxXbHjmfdhFV
VE0000056,C00008724,CL0003425,S00004905,2021-01-18,16:57:13,CDJfTSCiTxuLJKTHRRfI
VE0000057,C00007575,CL0007842,S00006980,2021-02-27,06:55:20,smyZwqqnVaWsKVGaSOGZ
VE0000058,C00009968,CL0002777,S00006548,2021-01-10,09:42:54,OiSiRTtCYnTsDnpgPepP
VE0000059,C00002067,CL0002131,S00001443,2021-02-12,02:01:12,mwwoyteGhBCNcFJGAaFk
VE0000060,C00003841,CL0005593,S00001882,2020-04-30,17:07:24,bRHneafMudlWLSkpiwom
VE0000061,C00005546,CL0008162,S00001585,2020-03-23,14:06:17,hbKCGmTlgAnjRssaOcOY
VE0000062,C00009494,CL0007155,S00003230,2020-09-30,22:17:14,BZRRPgCrgaDckJMEcfwN
VE0000063,C00008692,CL0001862,S00001243,2020-06-12,12:19:56,lTUqQKxGEIwIolkOlKDR
VE0000064,C00007550,CL0009996,S00007343,2020-01-27,10:34:39,UobdYtrExJClzpQsFgQm
VE0000065,C00002350,CL0008827,S00006554,2020-09-04,04:37:09,tqQUjWzJsXylcXvBJhuO
VE0000066,C00001478,CL0004856,S00000468,2020-07-10,03:02:44,sgrddnhzTQmThmuhrXpL
VE0000067,C00004703,CL0006178,S00005816,2021-02-21,13:21:16,PdmaVEYwLJRkcbnkeKjy
VE0000068,C00005355,CL0003134,S00005886,2020-04-21,07:54:44,AdbVfSUGdSUPvIPmtZbx
VE0000069,C00006705,CL0009624,S00006656,2020-08-04,23:08:51,BrjCFMDtvvaDBwVeJnnA
VE0000070,C00009206,CL0009361,S00004497,2021-02-07,01:43:46,fVGolzOLPQPUOsXdkFOg
VE0000071,C00004992,CL0000960,S00001406,2020-10-19,13:06:13,FYtNQDtTFHHxQgAEjuHG
VE0000072,C00009301,CL0003737,S00003394,2020-03-10,07:22:22,rddKxKKlWuDGxZQknQcH
VE0000073,C00006134,CL0007338,S00003479,2020-07-17,12:43:18,AmNiUyFsUkRUWpOLMzDD
VE0000074,C00007020,CL0008614,S00008322,2020-04-21,07:46:37,cEzmFigAIecOxApgTMRj
VE0000075,C00001229,CL0005179,S00008463,2020-12-01,06:15:11,MJhRGtlWRsNqoASmbkhT
