id,nombre
DIR000001,Dodo Abashidze
DIR000002,George Abbott
DIR000003,Norman Abbott
DIR000004,Phil Abraham
DIR000005,Jim Abrahams
DIR000006,Abiola Abrams
DIR000007,J. J. Abrams
DIR000008,Ivan Abramson
DIR000009,Hany Abu-Assad
DIR000010,Tengiz Abuladze
DIR000011,Herbert Achternbusch
DIR000012,Andy Ackerman
DIR000013,Andrew Adamson
DIR000014,Anita W. Addison
DIR000015,Maren Ade
DIR000016,Carine Adler
DIR000017,Percy Adlon
DIR000018,John G. Adolfi
DIR000019,Franklin Adreon
DIR000020,Ben Affleck
DIR000021,Casey Affleck
DIR000022,Neil Affleck
DIR000023,Andrew Agnew
DIR000024,Alejandro Agresti
DIR000025,Joe Ahearne
DIR000026,Caroline Aherne
DIR000027,Abdel Rahim Ahmed
DIR000028,Aqeel Ahmed
DIR000029,Alexandre Aja
DIR000030,Chantal Akerman
DIR000031,Desiree Akhavan
DIR000032,Fatih Akın
DIR000033,Moustapha Akkad
DIR000034,R. Kan Albay
DIR000035,Barbara Albert
DIR000036,Félix Enríquez Alcalá
DIR000037,Alan Alda
DIR000038,Robert Aldrich
DIR000039,Tomás Gutiérrez Alea
DIR000040,Grigori Aleksandrov
DIR000041,Victoria Aleksanyan
DIR000042,Chris Alexander
DIR000043,David Alexander
DIR000044,Jason Alexander
DIR000045,John Alexander
DIR000046,Sherman Alexie
DIR000047,Ozzie Alfonso
DIR000048,Khalik Allah
DIR000049,Marc Allégret
DIR000050,Yves Allégret
DIR000051,Elizabeth Allen
DIR000052,Irwin Allen
DIR000053,Lewis Allen
DIR000054,Woody Allen
DIR000055,Syed Ali Raza Usama
DIR000056,Mairzee Almas
DIR000057,Pedro Almodóvar
DIR000058,Paul Almond
DIR000059,Robert Altman
DIR000060,Fede Álvarez
DIR000061,Silvio Amadio
DIR000062,Mathieu Amalric
DIR000063,Rod Amateau
DIR000064,Ned Ambler
DIR000065,Gianni Amelio
DIR000066,Alejandro Amenábar
DIR000067,Jon Amiel
DIR000068,Ana Lily Amirpour
DIR000069,Dev Anand
DIR000070,Sean Anders
DIR000071,Thom Andersen
DIR000072,Bob Anderson
DIR000073,Brad Anderson
DIR000074,Broncho Billy Anderson
DIR000075,Deborah Anderson
DIR000076,Gordon Anderson
DIR000077,Lindsay Anderson
DIR000078,Michael Anderson
DIR000079,Mitch Anderson
DIR000080,Paul Thomas Anderson
DIR000081,Paul W. S. Anderson
DIR000082,Wes Anderson
DIR000083,Roy Andersson
DIR000084,Metodi Andonov
DIR000085,Raoul André
DIR000086,Bryan Andrews
DIR000087,Kostas Andritsos
DIR000088,Theo Angelopoulos
DIR000089,Kenneth Anger
DIR000090,Threes Anna
DIR000091,Graham Annable
DIR000092,Ken Annakin
DIR000093,Jean-Jacques Annaud
DIR000094,Hideaki Anno
DIR000095,Arnold Antonin
DIR000096,Michelangelo Antonioni
DIR000097,Pan Anzi
DIR000098,Judd Apatow
DIR000099,Oscar Apfel
DIR000100,Michael Apted
