id,nombre
GP0000001,Cine adolescente
GP0000002,Cine comunista
GP0000003,Cine arte
GP0000004,Cine infantil
GP0000005,Cine bélico
GP0000006,Cine de gánsteres
GP0000007,Cine catástrofe
GP0000008,Cine costumbrista
GP0000009,Cine cristiano
GP0000010,Cine de acción
GP0000011,Cine de animación
GP0000012,Cine de artes marciales
GP0000013,Cine de autor
GP0000014,Cine de aventuras
GP0000015,Cine de ciencia ficción
GP0000016,Cine de misterio
GP0000017,Cine de samuráis
GP0000018,Cine de terror
GP0000019,Cine documental
GP0000020,Cine de explotación
GP0000021,Cine épico
GP0000022,Cine experimental
GP0000023,Cine fantástico
GP0000024,Cine histórico
GP0000025,Cine musica
