id,nombre,idioma,fecha_adquisicion,fecha_estreno,genero_id,duracion_h,resena,nivelpublico_id,id_directores
MOV000001,10 Cloverfield Lane,GB,2021-11-22,2021-12-13,GP0000020,1.0,Ago case peace should.,RE00000003,DIR000042
MOV000002,12 Angry Men,GB,2021-12-05,2021-12-26,GP0000017,1.5,Large point goal poor plant.,RE00000001,DIR000001
MOV000003,12 Monkeys,GB,2021-11-29,2021-12-27,GP0000013,1.0,Traditional election dinner.,RE00000002,DIR000093
MOV000004,2001 Maniacs,GB,2021-11-23,2021-12-20,GP0000019,1.0,Feeling smile those money choose life.,RE00000002,DIR000075
MOV000005,2001: A Space Odyssey,GB,2021-12-02,2021-12-22,GP0000006,1.75,One customer painting box watch start girl.,RE00000004,DIR000008
MOV000006,2010: The Year We Make Contact,GB,2021-11-25,2021-12-10,GP0000014,1.5,Spring mouth alone read fight.,RE00000003,DIR000055
MOV000007,25th Hour,GB,2021-12-01,2021-12-10,GP0000025,1.75,Crime weight rise make agent until level.,RE00000001,DIR000007
MOV000008,28 Weeks Later,GB,2021-11-30,2021-12-09,GP0000003,1.5,Clear mission do somebody.,RE00000003,DIR000070
MOV000009,3 Idiots (2009),GB,2021-11-22,2021-12-15,GP0000001,1.75,Finally military deal nature stuff.,RE00000004,DIR000005
MOV000010,300,GB,2021-11-24,2021-12-11,GP0000013,1.0,Week center imagine believe north message.,RE00000004,DIR000054
MOV000011,31,GB,2021-11-22,2021-12-09,GP0000007,1.75,Detail less wish today.,RE00000004,DIR000080
MOV000012,8 Women,GB,2021-11-24,2021-12-08,GP0000016,1.75,Door do level available control heart throughout though.,RE00000002,DIR000009
MOV000013,8½,GB,2021-11-21,2021-12-26,GP0000024,2.0,Few bar point finish.,RE00000002,DIR000056
MOV000014,A Nightmare on Elm Street (Freddy Krueger Series),GB,2021-11-21,2021-12-23,GP0000022,1.0,Front source line style PM least accept.,RE00000002,DIR000087
MOV000015,Abbott and Costello Meet Frankenstein,GB,2021-11-21,2021-12-21,GP0000025,1.0,Set natural rate trip man work.,RE00000002,DIR000049
MOV000016,Absentia,GB,2021-11-22,2021-12-16,GP0000010,1.0,Would nor write it.,RE00000004,DIR000039
MOV000017,Adaptation,GB,2021-12-05,2021-12-06,GP0000023,1.5,Entire size both threat everything.,RE00000003,DIR000017
MOV000018,"Addams Family, The",GB,2021-11-25,2021-12-09,GP0000018,1.75,Speak our lay test action already base.,RE00000003,DIR000057
MOV000019,"Adventures of Buckaroo Banzai, The",GB,2021-12-01,2021-12-26,GP0000025,1.75,Specific while throw ahead project.,RE00000004,DIR000002
MOV000020,After Hours,GB,2021-12-05,2021-12-19,GP0000020,1.5,From operation minute relate chance.,RE00000004,DIR000098
MOV000021,After Life,GB,2021-11-28,2021-12-20,GP0000002,1.5,Them total but certainly important less stand.,RE00000002,DIR000096
MOV000022,Against the Wall,GB,2021-11-26,2021-12-16,GP0000004,1.75,Leave themselves deep discover reflect particular reality conference.,RE00000002,DIR000006
MOV000023,"Aguirre, Wrath of God",GB,2021-12-03,2021-12-23,GP0000015,1.75,Financial better shake leave boy rich message.,RE00000002,DIR000059
MOV000024,Aiyyaa (2012),GB,2021-11-23,2021-12-19,GP0000004,2.0,Break window occur charge big most half.,RE00000004,DIR000050
MOV000025,Akira,GB,2021-11-23,2021-12-23,GP0000018,1.75,Piece admit him blue order.,RE00000003,DIR000054
MOV000026,Aladdin,GB,2021-11-24,2021-12-14,GP0000018,1.5,Accept simply raise box over community.,RE00000001,DIR000004
MOV000027,Alan Partridge Alpha Papa,GB,2021-12-01,2021-12-12,GP0000023,1.5,Several at early middle approach ask lawyer.,RE00000004,DIR000023
MOV000028,Alice in Wonderland,GB,2021-11-24,2021-12-07,GP0000019,1.75,Student rather political news.,RE00000003,DIR000057
MOV000029,Alien (Series),GB,2021-11-28,2021-12-16,GP0000001,1.5,Wish process partner course.,RE00000004,DIR000003
MOV000030,Alita Battle Angel,GB,2021-11-30,2021-12-14,GP0000023,2.0,Various message western seem moment dark some.,RE00000002,DIR000041
MOV000031,All About Eve,GB,2021-11-30,2021-12-25,GP0000009,1.0,Station bank return color quite century.,RE00000002,DIR000052
MOV000032,All Cheerleaders Die,GB,2021-11-25,2021-12-26,GP0000018,1.5,Seven bring fly camera to but.,RE00000004,DIR000029
MOV000033,All the Boys Love Mandy Lane,GB,2021-12-05,2021-12-21,GP0000012,2.0,Collection note statement station.,RE00000001,DIR000044
MOV000034,Alphaville,GB,2021-11-26,2021-12-22,GP0000006,1.0,As finally candidate in card.,RE00000004,DIR000096
MOV000035,Altered States,GB,2021-12-03,2021-12-29,GP0000016,1.75,Themselves what them instead up blue parent product.,RE00000003,DIR000010
MOV000036,Amadeus,GB,2021-12-02,2021-12-10,GP0000006,1.75,Never example watch real.,RE00000001,DIR000026
MOV000037,Amar Akbar Anthony (1977),GB,2021-12-05,2021-12-12,GP0000003,1.5,Our nothing sound tell smile.,RE00000002,DIR000019
MOV000038,Amazon Women on the Moon,GB,2021-11-30,2021-12-22,GP0000009,1.0,Across visit management leader marriage father when education.,RE00000001,DIR000082
MOV000039,Amelie,GB,2021-11-24,2021-12-20,GP0000012,2.0,Final walk and provide walk write.,RE00000001,DIR000041
MOV000040,American Beauty,GB,2021-12-01,2021-12-06,GP0000013,1.75,First star a there specific affect want above.,RE00000003,DIR000022
MOV000041,American Buffalo,GB,2021-12-01,2021-12-25,GP0000008,1.75,Away political trade also none which.,RE00000003,DIR000068
MOV000042,American History X,GB,2021-11-29,2021-12-15,GP0000007,1.75,Loss page accept impact determine source.,RE00000004,DIR000086
MOV000043,American Honey,GB,2021-11-26,2021-12-18,GP0000022,1.75,Drug ball stop view quality see.,RE00000003,DIR000021
MOV000044,American Mary,GB,2021-12-02,2021-12-23,GP0000005,1.75,Discussion agent model institution candidate catch other stuff.,RE00000002,DIR000065
MOV000045,American Movie,GB,2021-11-21,2021-12-13,GP0000021,1.75,Hear quality parent building total sea sit whose.,RE00000002,DIR000097
MOV000046,American Psycho,GB,2021-12-01,2021-12-06,GP0000013,2.0,Ago service prove believe dog rise news.,RE00000003,DIR000075
MOV000047,"American Scream, The",GB,2021-11-30,2021-12-27,GP0000020,2.0,To wrong those model management individual very.,RE00000001,DIR000042
MOV000048,American Sniper,GB,2021-11-24,2021-12-08,GP0000001,1.75,Debate trouble tree plan.,RE00000003,DIR000095
MOV000049,An American Werewolf in London,GB,2021-11-27,2021-12-08,GP0000005,1.75,His building second institution my pretty.,RE00000004,DIR000096
MOV000050,An Evening With Beverly Luff Linn,GB,2021-11-23,2021-12-08,GP0000012,1.0,Study community my in its whether manage.,RE00000001,DIR000019
MOV000051,Anand (1971),GB,2021-12-05,2021-12-29,GP0000004,1.0,Thousand system accept tonight.,RE00000001,DIR000062
MOV000052,Andaz Apna Apna (1994),GB,2021-11-25,2021-12-13,GP0000013,2.0,Line morning card likely.,RE00000001,DIR000013
MOV000053,Angst,GB,2021-11-25,2021-12-22,GP0000018,2.0,Area should rest.,RE00000004,DIR000036
MOV000054,Ankur (1974),GB,2021-11-27,2021-12-22,GP0000006,1.5,Pattern itself offer tree.,RE00000004,DIR000047
MOV000055,Annie Hall,GB,2021-11-22,2021-12-30,GP0000011,2.0,Phone plant tend public.,RE00000002,DIR000084
MOV000056,Anomalisa,GB,2021-11-21,2021-12-07,GP0000006,2.0,Direction soon bring side remain.,RE00000001,DIR000038
MOV000057,Antichrist,GB,2021-11-21,2021-12-30,GP0000002,2.0,Professor travel goal stage general health authority.,RE00000003,DIR000100
MOV000058,"Apartment, The",GB,2021-11-30,2021-12-18,GP0000011,1.75,Travel perform school attorney political play perhaps.,RE00000001,DIR000069
