id,nombre,descripcion,precio_venta
PR0000001,tofu,qtyfrwhjtvlvipdomaoe,16
PR0000002,melons,smrlfipoamrxletwfumi,37
PR0000003,cauliflower,fgszlgxntkdzpokpuhov,46
PR0000004,lima beans,zfsmubmccczsftvophcs,17
PR0000005,cucumbers,ykqroraxytyidgcjopar,45
PR0000006,kidney beans,cxprdcogotndydtmvuat,44
PR0000007,baking soda,tqpmtadwlsphtoghwgte,24
PR0000008,white beans,rkjqxwzqutyauypulviw,33
PR0000009,pico de gallo,inybqmurybebtqeycnjr,34
PR0000010,cornmeal,pezvelkgyejtstezkbqp,30
PR0000011,prosciutto,aschrnddewmakgwpwstn,23
PR0000012,pinto beans,qeptskgauzbknnekcmef,49
PR0000013,chestnuts,ulhcvidbrdphbeujemfr,17
PR0000014,pig's feet,hxvustucbfxdkpmvygxu,17
PR0000015,bean sauce,pkaeevmyssbbzeyntyxe,24
PR0000016,radishes,blzvxhexnrpaedzustaf,11
PR0000017,mussels,bsioygvewmaqqevwccqa,16
PR0000018,mustard,sxrycwbybtoslgsadrvu,34
PR0000019,sugar,fkyvttbskptvkrqylcox,31
PR0000020,swiss cheese,csdrertbcuhemtwipldz,18
PR0000021,anchovy paste,efpuugzpvkqnuizhdnxv,33
PR0000022,duck,zkojuebshxdpsokkvkux,35
PR0000023,geese,lolipnorbmgrokilocyx,38
PR0000024,amaretto,wisosdggrywctxemczuf,17
PR0000025,chaurice sausage,uqvogiibiaxttmfvnvhu,10
PR0000026,butter,xmmixlbilbgedniysiim,39
PR0000027,adobo,wlzrfzwjnfggnmjlerwm,38
PR0000028,oregano,smycstvhjqidjxznnzbo,42
PR0000029,bacon grease,lpeizoijkvfwtwaoxlvw,11
PR0000030,cheddar cheese,abutsejvyopmroghhwff,42
PR0000031,tomato juice,jaxemrfncaehgimtulfd,20
PR0000032,celery,clzxnakvjguzgmbngqyy,14
PR0000033,oranges,wyglbijfuhiologisspb,46
PR0000034,asiago cheese,dggmmtgghfypvroipjeq,24
PR0000035,snap peas,lwovktyiybnwacrtsyfu,15
PR0000036,honey,gaywpxrcvzxdbipzkiyp,15
PR0000037,plum tomatoes,qsqasmalsyeznxhwxfvx,30
PR0000038,chickpeas,wwqetohgszwkqzuzbgoj,44
PR0000039,artificial sweetener,qkepiwpmpfgqojzlgayq,17
PR0000040,blackberries,qqklvcgnawtqzxoywjwr,34
PR0000041,gorgonzola,hicfkhlfjkzzpzftwwhv,39
PR0000042,curry paste,gmjafssiivjfonllonxr,32
PR0000043,barbecue sauce,fotgwrvcbpboofpecrzx,39
PR0000044,mint,irwsdxggpaqeccghxuxm,31
PR0000045,provolone,qwkrubodbrmngujusyhk,32
PR0000046,ancho chile peppers,phtxfdefoitogeskdbwk,47
PR0000047,mackerel,rokhrgyhrfopkysgyyhi,17
PR0000048,almond paste,dsdbdvumxullxlxqfzzn,50
PR0000049,leeks,tlyrnadxgwsioaqtkzpb,37
PR0000050,olives,kacrspryepkdztpdpekb,21
PR0000051,creme fraiche,jvwdkemihuhqhbdbdykt,32
PR0000052,Goji berry,kjfvebdnnnsnwgaxdgwq,19
PR0000053,angelica,afnbkkyofxfdjtogsezy,10
PR0000054,cantaloupes,eqypzkaviduagelnbfvz,14
