id,nombre
PT0000001,"Therapist, sports"
PT0000002,Ceramics designer
PT0000003,"Designer, exhibition/display"
PT0000004,Charity fundraiser
PT0000005,Claims inspector/assessor
PT0000006,Film/video editor
PT0000007,"Therapist, sports"
PT0000008,Recycling officer
PT0000009,"Doctor, general practice"
PT0000010,Logistics and distribution manager
PT0000011,Sports development officer
PT0000012,"Therapist, music"
PT0000013,Senior tax professional/tax inspector
PT0000014,"Scientist, marine"
PT0000015,Medical technical officer
PT0000016,"Accountant, chartered certified"
PT0000017,Special educational needs teacher
PT0000018,Operational researcher
PT0000019,Psychiatric nurse
PT0000020,"Scientist, research (maths)"
PT0000021,Health promotion specialist
PT0000022,Research scientist (physical sciences)
PT0000023,Adult guidance worker
PT0000024,Higher education careers adviser
PT0000025,Banker
PT0000026,Equality and diversity officer
PT0000027,Web designer
PT0000028,Financial planner
PT0000029,Insurance broker
PT0000030,"Education officer, community"
PT0000031,Animator
PT0000032,"Teacher, special educational needs"
PT0000033,Academic librarian
PT0000034,"Buyer, industrial"
PT0000035,Computer games developer
PT0000036,Automotive engineer
PT0000037,"Embryologist, clinical"
PT0000038,Hotel manager
PT0000039,Comptroller
PT0000040,General practice doctor
PT0000041,Pensions consultant
PT0000042,Podiatrist
PT0000043,Sports therapist
PT0000044,Psychiatric nurse
PT0000045,"Engineer, electrical"
PT0000046,"Radiographer, therapeutic"
PT0000047,Waste management officer
PT0000048,Conference centre manager
PT0000049,"Engineer, automotive"
PT0000050,Armed forces technical officer
PT0000051,"Horticulturist, commercial"
PT0000052,"Designer, interior/spatial"
PT0000053,Insurance risk surveyor
PT0000054,Insurance underwriter
PT0000055,"Nurse, learning disability"
PT0000056,"Scientist, product/process development"
PT0000057,"Therapist, art"
PT0000058,Retail manager
PT0000059,Herbalist
PT0000060,Management consultant
PT0000061,Gaffer
PT0000062,Chiropodist
PT0000063,Haematologist
PT0000064,"Engineer, drilling"
PT0000065,Investment analyst
PT0000066,Bookseller
PT0000067,Fitness centre manager
PT0000068,"Merchandiser, retail"
PT0000069,Intelligence analyst
PT0000070,Hydrogeologist
PT0000071,Chief Operating Officer
PT0000072,Copy
PT0000073,Chartered certified accountant
PT0000074,"Conservator, furniture"
PT0000075,Barrister
PT0000076,Hydrographic surveyor
PT0000077,"Journalist, newspaper"
PT0000078,Midwife
PT0000079,Media planner
PT0000080,Occupational psychologist
PT0000081,Training and development officer
PT0000082,Equality and diversity officer
PT0000083,"Engineer, control and instrumentation"
PT0000084,Operational investment banker
PT0000085,"Psychologist, counselling"
PT0000086,Transport planner
PT0000087,Public affairs consultant
PT0000088,Chief of Staff
PT0000089,"Designer, fashion/clothing"
PT0000090,"Engineer, control and instrumentation"
PT0000091,"Teacher, English as a foreign language"
PT0000092,Systems analyst
PT0000093,Best boy
PT0000094,Research scientist (medical)
PT0000095,"Lecturer, higher education"
PT0000096,Financial risk analyst
PT0000097,Risk analyst
PT0000098,"Engineer, aeronautical"
PT0000099,Personnel officer
PT0000100,Civil Service fast streamer
