id,nombre,direccion,departamento,distrito,n_salas
S00000001,Cinemania Center,91632 Washington Haven,South Megan,Carlos Turnpike,70
S00000002,Cinemania Run,93395 Christopher Circles Apt. 027,Smithton,Long Union,50
S00000003,Cinemania Glen,4130 Palmer Court,Lake Daniel,Guerrero Road,50
S00000004,Cinemania Crossing,055 Lopez Center Suite 342,Blankenshipbury,Hall Parks,50
S00000005,Cinemania Spur,0585 Susan Drives Suite 186,West Matthewbury,Rachel Tunnel,30
S00000006,Cinemania Fall,5218 Mckenzie Park Apt. 613,South Tylerfort,Smith Park,70
S00000007,Cinemania Skyway,46396 Nelson Shoal,Braunfurt,Denise Throughway,50
S00000008,Cinemania Curve,239 Estrada Port,Allenfurt,Stevenson Ways,50
S00000009,Cinemania Grove,718 Reynolds Islands Suite 103,Joemouth,Maddox Valleys,50
S00000010,Cinemania Via,7338 Smith Wall,Parkerton,Thomas Ford,30
S00000011,Cinemania Ridge,44236 William Keys,Murphyburgh,Darren Brooks,30
S00000012,Cinemania Grove,041 Megan Canyon,Port Joseph,Robert Orchard,30
S00000013,Cinemania Curve,134 Holly Underpass Suite 225,East Robert,Johnson Orchard,50
S00000014,Cinemania Freeway,14079 Zimmerman Track,Lake Vincent,Barry Islands,50
S00000015,Cinemania Dale,875 Walker Creek Apt. 901,Bonniebury,Katrina Greens,50
S00000016,Cinemania Tunnel,5295 Potts Parkway Suite 571,New Rebeccaborough,Powell Wells,70
S00000017,Cinemania Mill,022 Krueger Rest,Butlerland,Love Estates,30
S00000018,Cinemania Locks,26619 Avery Tunnel,East Cory,Lucas Road,30
S00000019,Cinemania Ford,919 Benjamin Station,East Evan,Jessica Crossroad,30
S00000020,Cinemania Ports,4004 Lauren Isle,Port Annaside,Timothy Garden,50
S00000021,Cinemania Squares,6750 Perez Parkway Apt. 161,Reidborough,Marcus Course,50
S00000022,Cinemania Prairie,9753 Hampton Wall Suite 499,Hunterport,Mckenzie Extension,70
S00000023,Cinemania Glen,6364 Robert Forges Apt. 131,Valdezbury,Morgan Plaza,70
S00000024,Cinemania Throughway,19387 Brown Garden,Weberhaven,Gregory Point,30
S00000025,Cinemania Squares,39381 Berger Wells,Jeremymouth,Foster Springs,50
S00000026,Cinemania River,6782 Travis Well Suite 211,Port Timothyton,Rodriguez Expressway,30
S00000027,Cinemania Path,1744 Jonathan View Suite 358,West Michael,Curtis Parks,30
S00000028,Cinemania Estate,565 Adams Fields,North Susanborough,Chang Fall,30
S00000029,Cinemania Harbor,784 Johnny Springs Suite 572,South Kristina,Williams Stream,70
S00000030,Cinemania Ridge,9090 Jacobs Ville Suite 302,Lake Nathaniel,Lauren Village,50
S00000031,Cinemania Run,5377 Scott Islands,Danaland,Ellison Land,70
S00000032,Cinemania Ridge,700 Mackenzie Heights,Mooneyview,Rebecca Expressway,50
S00000033,Cinemania Meadow,279 Miller Well,Juliamouth,Lin River,30
S00000034,Cinemania Union,487 Katherine Burgs Suite 105,Cookside,Joseph Branch,30
S00000035,Cinemania Stream,237 Hudson Lake,Mcleanton,Cain Falls,50
S00000036,Cinemania Square,83732 Newman Crossroad Apt. 754,Donaldport,Williams Ranch,50
S00000037,Cinemania Avenue,89845 Rebecca Overpass,East Rebekah,Martin Shoal,70
S00000038,Cinemania Shoals,446 Roberto Drive Apt. 519,Madisonbury,David Loaf,70
S00000039,Cinemania Meadows,534 Hayes Walks Apt. 595,Michelleport,Kelly Pine,70
S00000040,Cinemania Club,92442 Erik Road Suite 168,Reyesmouth,Christine Garden,30
S00000041,Cinemania Estate,79937 Haley Plain Apt. 580,South Taylorside,Sarah Squares,50
S00000042,Cinemania Land,00028 Ronnie Mews,Jasonchester,Phillip Station,70
S00000043,Cinemania Viaduct,96079 Thomas Knolls,Lake Theresafort,Young Brooks,70
S00000044,Cinemania Streets,067 Erica Pine,Garzaberg,Brooks Street,50
S00000045,Cinemania Fork,967 Melissa Heights Suite 508,Stevenschester,Griffin Mall,30
S00000046,Cinemania Centers,8168 Stewart Union Suite 201,Port Summer,Warren Village,30
S00000047,Cinemania River,51442 Gibson Roads,Stevenshire,Scott Trail,70
S00000048,Cinemania Plain,162 Horton Fork Suite 746,South Melanieberg,Larry Bridge,30
S00000049,Cinemania Mountains,8659 Henderson Key,North Brandymouth,Macias Gateway,70
S00000050,Cinemania Estate,98315 Jason River,East Danielle,Thomas Forks,50
S00000051,Cinemania Crossroad,196 Cross Mall Suite 084,Bradleyville,Horne Island,30
S00000052,Cinemania Forest,65054 Johnson Cape,New Petershire,Michael Grove,30
S00000053,Cinemania Wall,0991 Laura Lock Suite 284,Shermanburgh,Julie Loaf,30
S00000054,Cinemania Cove,5156 Jaime Point Apt. 631,Kimberlyville,Jesse Cliff,50
S00000055,Cinemania Causeway,944 Watson Summit,Josebury,Day Plaza,70
S00000056,Cinemania Inlet,511 Laura Forks,Port John,Brown Trace,50
S00000057,Cinemania Point,708 Daniel Plain Apt. 025,Reneeberg,Smith Bypass,30
S00000058,Cinemania Village,031 Case Knolls Suite 868,North Jeffrey,Mcpherson Neck,50
S00000059,Cinemania Keys,1802 Terri Landing,Port Duane,Beasley Cliff,50
S00000060,Cinemania Spring,85422 Henry Lock,New Angel,Ortiz Loaf,70
S00000061,Cinemania Fork,287 Kimberly Highway,New Gregory,Steven Key,70
S00000062,Cinemania Parkways,994 Myers Locks Suite 788,Port Nicole,Barker Parks,30
S00000063,Cinemania Garden,30157 Welch Fields,East Ronnie,Erin Extensions,70
S00000064,Cinemania Key,843 Morgan Knoll,Nicholsonhaven,Webb Knolls,50
S00000065,Cinemania Field,054 Hill Springs Apt. 401,Sheliatown,Peter Place,70
S00000066,Cinemania Vista,695 Hall Glens Suite 630,Terriburgh,Huynh Squares,50
S00000067,Cinemania Crossing,911 Lindsay Plaza Apt. 984,New Sabrina,Timothy Brook,70
S00000068,Cinemania Orchard,7224 Thomas Avenue,Tannerfurt,Rosales Port,70
S00000069,Cinemania Lane,3730 Davis Forks Suite 568,New Melissaport,Ferguson Oval,50
S00000070,Cinemania Pass,257 Jennings Villages,Port Sandy,Smith Valley,30
S00000071,Cinemania Course,758 Mcclain Tunnel Suite 869,Stevensonberg,Murray Rue,70
S00000072,Cinemania Wall,066 Williams Park Suite 121,North Lisaburgh,Melendez Ferry,30
S00000073,Cinemania Key,1222 Taylor Gardens Apt. 149,Danielbury,Clark Haven,50
S00000074,Cinemania Fields,7504 Pope Drives Suite 807,South Joanneside,Davis Keys,50
S00000075,Cinemania Plaza,86387 Carroll Loop Suite 059,North Justinmouth,Richardson Trail,70
S00000076,Cinemania Turnpike,2781 John Oval,New Isaacport,Douglas Isle,50
S00000077,Cinemania Creek,9869 Yang Mission Suite 080,Lake Yvette,James Estates,50
S00000078,Cinemania Rapid,687 Harris Avenue Apt. 088,North Ashleyview,Michael Meadow,70
S00000079,Cinemania Branch,0558 Lisa Highway,East Moniquemouth,Bennett Harbor,50
S00000080,Cinemania Flat,6306 Nolan Brooks,Rodriguezton,Bowman Rapids,70
S00000081,Cinemania Knoll,357 Doyle Canyon,Harrisville,Jacqueline Lock,70
S00000082,Cinemania Rapids,748 Michael Locks Suite 347,East Theresaborough,Lisa Pine,30
S00000083,Cinemania Hill,151 Cathy Mills,New Jessicaside,Bradley Summit,50
S00000084,Cinemania Vista,536 Guzman Junction Apt. 566,Josephshire,Erin Skyway,50
S00000085,Cinemania Ramp,8863 James Gardens Apt. 172,Port Johnview,Jessica Route,30
S00000086,Cinemania Estates,722 Martin Crossing,Port Alexander,Andrew Fields,50
S00000087,Cinemania Ways,7213 Long Canyon Suite 978,North Carriemouth,West Shore,30
S00000088,Cinemania Mill,177 Laura Inlet Suite 882,New Mark,Evan Burg,50
S00000089,Cinemania Prairie,0366 Julie Rapid Apt. 673,East Bryanhaven,Heath Crest,70
S00000090,Cinemania Mews,943 Timothy Garden Apt. 570,New Shawn,Ashley Wells,30
S00000091,Cinemania Via,52791 Michael Lodge Suite 199,West Thomasville,Hinton Greens,30
S00000092,Cinemania Dale,89247 Stephen Motorway,Wardfort,Michele Islands,30
S00000093,Cinemania Mill,2792 Mitchell Springs Suite 958,North Catherine,Gaines Mall,70
S00000094,Cinemania Mountains,4887 Jesus Landing Apt. 865,North Jonathanland,Brendan Ridge,50
S00000095,Cinemania Rapids,49246 Riley Bridge,South Toddfurt,King Inlet,50
S00000096,Cinemania Parkway,680 Lee Key,Cameronchester,Wade Stream,50
S00000097,Cinemania Locks,306 Thompson Stream,Jenniferfort,Rhodes Summit,70
S00000098,Cinemania Court,9561 Nicholas Well Suite 770,Petersontown,Kristy Rest,30
S00000099,Cinemania Wells,574 Collier Center Apt. 739,East Shawn,Aimee Centers,70
S00000100,Cinemania Forest,6339 Ford Road,North Jane,Lamb Light,50
